Redshift	Log(M*)	alpha_1	Log(Phi^*_1)	alpha_2	Log(Phi^*_2)	chi^2_{\mathrm{red}}	
0.20<z<0.50	10.59+or-0.09	-1.08+or-0.23	-2.67+or-0.11	-2.00+or-0.49	-4.46+or-0.63	0.3	
0.50<z<0.75	10.65+or-0.23	-0.97+or-1.32	-2.97+or-0.28	-1.58+or-0.54	-3.34+or-0.67	0.3	
0.75<z<1.00	10.56+or-0.13	-0.46+or-0.63	-2.81+or-0.10	-1.61+or-0.17	-3.36+or-0.28	0.9	
1.00<z<1.25	10.44+or-0.11	0.53+or-0.73	-2.98+or-0.14	-1.44+or-0.11	-3.11+or-0.16	0.8	
1.25<z<1.50	10.69+or-0.12	-0.55+or-0.69	-3.04+or-0.12	-1.62+or-0.24	-3.59+or-0.35	0.2	
1.50<z<2.00	10.59+or-0.10	0.75+or-0.70	-3.37+or-0.16	-1.47+or-0.10	-3.28+or-0.13	0.9	
2.00<z<2.50	10.58+or-0.18	2.06+or-1.43	-4.30+or-0.39	-1.38+or-0.15	-3.28+or-0.18	0.7	
2.50<z<3.00	10.61+or-0.22	2.36+or-1.84	-4.95+or-0.49	-1.67+or-0.19	-3.71+or-0.25	0.8	
