Table A1 
Galaxy Sample


Galaxy	d	i	P.A.	r _25	r _disk	M _sstarf	SFR	H I Data	IR Data	UV Data	
	[Mpc]	[deg]	[deg]	[kpc]	[kpc]	[10^10 M _sun]	[M _sun yr^-1]				
(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	
NGC 4689	15.0	38.7	164.1	8.3	3.0	1.6	0.40	VLA:VIVA	IRAC & WISE	cdots	
NGC 4731	13.3	64.0	255.4	12.2	3.0	0.30	0.60	VLA:PHANGS	IRAC & WISE	FUV & NUV	
NGC 4781	11.3	59.0	290.0	6.1	1.1	0.44	0.48	VLA:PHANGS	IRAC & WISE	FUV & NUV	
NGC 4826	4.4	59.1	293.6	6.7	1.1	1.7	0.20	VLA:THINGS	IRAC & WISE	FUV & NUV	
NGC 4941	15.0	53.4	202.2	7.3	2.2	1.5	0.44	VLA:AM384	IRAC & WISE	FUV & NUV	
NGC 4951	15.0	70.2	91.2	6.9	1.9	0.62	0.35	VLA:PHANGS	IRAC & WISE	FUV & NUV	
NGC 5042	16.8	49.4	190.6	10.2	2.4	0.80	0.60	VLA:PHANGS	IRAC & WISE	FUV & NUV	
NGC 5068	5.2	35.7	342.4	5.7	1.3	0.25	0.28	VLA:PHANGS	IRAC & WISE	FUV & NUV	
NGC 5128	3.7	45.3	32.2	13.7	4.1	9.4	1.2	cdots	WISE	FUV & NUV	
NGC 5134	19.9	22.7	311.6	7.9	2.1	2.6	0.45	VLA:PHANGS	IRAC & WISE	FUV & NUV	
NGC 5236	4.9	24.0	225.0	9.7	2.4	3.4	4.2	VLA:THINGS	IRAC & WISE	FUV & NUV	
NGC 5248	14.9	47.4	109.2	8.8	2.0	2.5	2.3	VLA:AS787	IRAC & WISE	FUV & NUV	
NGC 5530	12.3	61.9	305.4	8.6	1.7	1.2	0.33	cdots	WISE	cdots	
NGC 5643	12.7	29.9	318.7	9.7	1.6	2.2	2.6	cdots	WISE	cdots	
NGC 6300	11.6	49.6	105.4	9.0	2.1	2.9	1.9	ATCA:literature	WISE	cdots	
NGC 6744	9.4	52.7	14.0	21.4	4.8	5.3	2.4	cdots	WISE	FUV & NUV	
NGC 7456	15.7	67.3	16.0	9.4	2.9	0.44	0.37	cdots	IRAC & WISE	FUV & NUV	
NGC 7496	18.7	35.9	193.7	9.1	1.5	0.99	2.3	cdots	IRAC & WISE	FUV & NUV	
NGC 7743	20.3	37.1	86.2	7.7	1.9	2.3	0.21	cdots	IRAC & WISE	FUV & NUV	
NGC 7793	3.6	50.0	290.0	5.5	1.1	0.23	0.27	VLA:THINGS	IRAC & WISE	FUV & NUV	
Note. (2) Distance (Anand et al. 2021); (3) inclination angle (Lang et al. 2020); (4) position angle (Lang et al. 2020); (5) isophotal radius at 25 mag/arcsec^2 in B band (LEDA); (6) stellar disk scale length (Leroy et al. 2021a); (7) global stellar mass (Leroy et al. 2021a); (9) H I data source (VLA:PHANGS - A. Sardone et al. 2022, in preparation; VLA:EveryTHINGS - I. Chiang et al. 2022, in preparation; VLA:THINGS - Walter et al. 2008; VLA:HERACLES - Leroy et al. 2009; VLA:VIVA - Chung et al. 2009; ATCA:LVHIS - Koribalski et al. 2018; ATCA:literature - Murugeshan et al. 2019); (10) IR data source (Spitzer IRAC - S^4G, Sheth et al. 2010; WISE - z0MGS, Leroy et al. 2019); (11) UV data source (GALEX FUV and NUV - z0MGS, Leroy et al. 2019).
