x, y
0.2502582564988128, -3.4330753779990393
0.7485352616485245, -2.8655531047060423
1.246650374664652, -2.7594669196929185
1.748947701131703, -2.7455669061379404
2.251002189398378, -2.655635790070363
2.753083659687317, -2.681303988860273
3.2518463412377807, -2.7438047590294636
3.747182305960714, -2.7019198777587463
4.249290758271917, -2.6138125223349067
4.749726325202751, -2.5527165407696764
5.252644238181874, -2.796077682345258
5.7552923309383575, -2.7034355707261772
6.253191587776373, -2.9519352811425614
6.753303370440038, -2.7224248622937486
