x, y
0.25195812390144623, -3.0122795775776026
0.7490749020938049, -2.5346144841098694
1.2494834870023743, -2.4256694310606157
1.748866755064911, -2.389810353538466
2.2540511579142124, -2.273545612500154
2.753677264177125, -2.220853717144583
3.2502274199019396, -2.2316114404012275
3.748450461007123, -2.2024435928084682
4.2496415245613495, -2.062593190472083
4.751237318449536, -1.792467129178938
5.752783002867804, -1.958256829860384
6.25230118104166, -1.7841369792115933
6.74909417496685, -2.236959495261919
5.255450368497333, -2.1575273256028886
