Redshift	Log(M*)	alpha_1	Log(Phi^*_1)	alpha_2	Log(Phi^*_2)	chi^2_{\mathrm{red}}	
0.20<z<0.50	10.75+or-0.10	-0.47+or-0.20	-2.76+or-0.09	-1.97+or-0.34	-5.21+or-0.48	0.2	
0.50<z<0.75	10.68+or-0.07	-0.10+or-0.27	-2.67+or-0.05	-1.69+or-0.24	-4.29+or-0.33	0.9	
0.75<z<1.00	10.63+or-0.12	0.04+or-0.44	-2.81+or-0.05	-1.51+or-0.67	-4.40+or-0.56	0.4	
1.00<z<1.25	10.63+or-0.12	0.11+or-0.44	-3.03+or-0.05	-1.57+or-0.81	-4.80+or-0.61	0.8	
1.25<z<1.50	10.49+or-0.11	0.85+or-1.07	-3.36+or-0.30	-0.54+or-0.66	-3.72+or-0.44	0.6	
1.50<z<2.00	10.77+or-0.18	-0.19+or-0.96	-3.41+or-0.23	-0.18+or-1.21	-3.91+or-0.51	1.9	
2.00<z<2.50	10.69+or-0.14	-0.37+or-0.52	-3.59+or-0.10	-3.07+or-16.13	-6.95+or-1.66	0.7	
2.50<z<3.00	9.95+or-0.23	-0.62+or-2.63	-4.22+or-0.41	2.51+or-2.43	-4.51+or-0.62	1.7	
