Redshift	Log(M*)	alpha	Log(Phi*)	$\chi^2_{\mathrm{red}}$	
0.20<z<0.50	11.05+or-0.10	-1.35+or-0.04	-2.96+or-0.10	3.3	
0.50<z<0.75	11.00+or-0.06	-1.35+or-0.04	-2.93+or-0.07	4.6	
0.75<z<1.00	11.16+or-0.12	-1.38+or-0.04	-3.17+or-0.11	4.5	
1.00<z<1.25	11.09+or-0.10	-1.33+or-0.05	-3.19+or-0.11	4.2	
1.25<z<1.50	10.88+or-0.05	-1.29+or-0.05	-3.11+or-0.08	5.6	
1.50<z<2.00	11.03+or-0.05	-1.33+or-0.05	-3.28+or-0.08	4.5	
2.00<z<2.50	11.13+or-0.13	-1.43+or-0.08	-3.59+or-0.14	0.3	
2.50<z<3.00	11.35+or-0.33	-1.74+or-0.12	-4.36+or-0.29	1.0
