Redshift	Log(M*)	alpha	Log(Phi*)	$\chi^2_{\mathrm{red}}$	
0.20<z<0.50	11.11+or-0.14	-0.98+or-0.07	-3.18+or-0.10	4.1	
0.50<z<0.75	11.03+or-0.08	-0.98+or-0.07	-3.15+or-0.09	9.9	
0.75<z<1.00	10.88+or-0.09	-0.59+or-0.10	-3.00+or-0.08	2.1	
1.00<z<1.25	10.84+or-0.09	-0.47+or-0.11	-3.16+or-0.07	2.1	
1.25<z<1.50	10.60+or-0.04	-0.03+or-0.14	-3.17+or-0.05	0.9	
1.50<z<2.00	10.76+or-0.05	-0.14+or-0.12	-3.29+or-0.05	1.8	
2.00<z<2.50	10.73+or-0.08	-0.49+or-0.18	-3.63+or-0.09	0.4	
2.50<z<3.00	10.65+or-0.19	-0.43+or-0.34	-3.92+or-0.14	1.6
