r_gal,Zprime,Sigma_mol,e_Sigma_mol,Sigma_atom,e_Sigma_atom,Sigma_star,e_Sigma_star,Sigma_SFR_FUVW4recal,e_Sigma_SFR_FUVW4recal
0.25,1.337e+00,4.574e+02,8.9e-01,8.564e+00,1.5e+00,8.689e+03,5.1e-01,3.529e-02,7.8e-05
0.75,1.312e+00,8.278e+01,4.9e-01,1.118e+01,9.0e-01,2.326e+03,2.9e-01,1.924e-02,6.9e-05
1.25,1.289e+00,3.189e+01,3.3e-01,1.094e+01,6.8e-01,1.252e+03,2.3e-01,1.061e-02,7.5e-05
1.75,1.265e+00,2.325e+01,2.4e-01,1.204e+01,5.5e-01,8.534e+02,1.9e-01,1.072e-02,7.5e-05
2.25,1.242e+00,2.350e+01,1.9e-01,1.338e+01,4.8e-01,6.875e+02,1.7e-01,1.645e-02,7.6e-05
2.75,1.220e+00,2.847e+01,1.7e-01,1.361e+01,4.2e-01,4.476e+02,1.2e-01,2.379e-02,7.4e-05
3.25,1.198e+00,5.301e+01,1.6e-01,1.426e+01,3.5e-01,3.592e+02,9.8e-02,2.966e-02,6.9e-05
3.75,1.176e+00,4.742e+01,1.5e-01,1.568e+01,3.0e-01,3.172e+02,9.2e-02,2.708e-02,6.4e-05
4.25,1.155e+00,4.456e+01,1.4e-01,1.635e+01,2.7e-01,2.646e+02,9.2e-02,1.776e-02,6.0e-05
4.75,1.134e+00,2.366e+01,1.2e-01,1.568e+01,2.4e-01,2.157e+02,9.6e-02,1.052e-02,5.3e-05
5.25,1.113e+00,2.073e+01,1.2e-01,1.393e+01,2.1e-01,1.934e+02,9.3e-02,8.485e-03,5.3e-05
5.75,1.093e+00,2.246e+01,1.2e-01,1.289e+01,2.0e-01,1.638e+02,8.3e-02,9.221e-03,5.2e-05
6.25,1.073e+00,1.501e+01,1.2e-01,1.153e+01,1.8e-01,1.481e+02,8.9e-02,6.031e-03,4.9e-05
6.75,1.054e+00,1.218e+01,1.3e-01,1.040e+01,1.7e-01,1.357e+02,9.5e-02,3.451e-03,4.4e-05
7.25,1.035e+00,8.921e+00,1.3e-01,8.570e+00,1.6e-01,1.140e+02,9.5e-02,2.026e-03,3.9e-05
7.75,1.016e+00,8.228e+00,1.3e-01,7.390e+00,1.5e-01,9.316e+01,9.2e-02,1.556e-03,3.5e-05
8.25,9.977e-01,1.177e+01,1.5e-01,6.658e+00,1.4e-01,7.939e+01,8.7e-02,1.561e-03,3.4e-05
8.75,9.797e-01,5.172e+00,1.4e-01,5.596e+00,1.3e-01,6.630e+01,8.8e-02,1.254e-03,3.3e-05
