r_gal,Zprime,Sigma_mol,e_Sigma_mol,Sigma_atom,e_Sigma_atom,Sigma_star,e_Sigma_star,Sigma_SFR_FUVW4recal,e_Sigma_SFR_FUVW4recal
0.25,1.313e+00,1.240e+03,6.1e-01,0.000e+00,2.4e-01,4.396e+03,8.5e-02,1.891e-01,1.5e-05
0.75,1.281e+00,2.135e+02,3.6e-01,0.000e+00,2.7e-01,7.762e+02,3.8e-02,9.808e-02,1.2e-05
1.25,1.250e+00,6.773e+01,2.7e-01,2.793e+00,2.5e-01,5.403e+02,3.4e-02,5.343e-02,1.1e-05
1.75,1.220e+00,3.550e+01,2.1e-01,5.464e+00,2.4e-01,6.646e+02,4.4e-02,1.519e-02,9.9e-06
2.25,1.190e+00,3.769e+01,1.7e-01,7.099e+00,2.2e-01,6.138e+02,3.9e-02,7.125e-03,1.0e-05
2.75,1.162e+00,4.326e+01,1.4e-01,7.998e+00,2.1e-01,6.049e+02,3.5e-02,1.373e-02,1.0e-05
3.25,1.133e+00,3.989e+01,1.3e-01,8.583e+00,1.9e-01,5.110e+02,3.2e-02,1.359e-02,9.3e-06
3.75,1.106e+00,2.800e+01,1.1e-01,8.860e+00,1.7e-01,3.465e+02,3.0e-02,8.123e-03,8.4e-06
4.25,1.079e+00,1.827e+01,1.0e-01,8.881e+00,1.5e-01,2.561e+02,2.8e-02,6.001e-03,8.7e-06
4.75,1.053e+00,1.313e+01,9.8e-02,8.640e+00,1.3e-01,2.009e+02,2.7e-02,4.471e-03,8.7e-06
5.25,1.027e+00,9.404e+00,9.0e-02,8.260e+00,1.2e-01,1.621e+02,2.5e-02,4.245e-03,9.4e-06
5.75,1.003e+00,6.815e+00,8.3e-02,7.824e+00,1.1e-01,1.340e+02,2.4e-02,3.765e-03,9.6e-06
6.25,9.782e-01,5.292e+00,7.8e-02,7.398e+00,1.0e-01,1.070e+02,2.3e-02,2.782e-03,9.1e-06
6.75,9.545e-01,4.230e+00,7.3e-02,7.037e+00,9.8e-02,9.062e+01,2.2e-02,2.427e-03,9.2e-06
7.25,9.314e-01,3.764e+00,6.9e-02,6.784e+00,9.2e-02,8.031e+01,2.2e-02,2.419e-03,9.4e-06
7.75,9.088e-01,3.220e+00,6.7e-02,6.596e+00,8.7e-02,7.090e+01,2.1e-02,2.359e-03,9.3e-06
8.25,8.868e-01,3.494e+00,6.7e-02,6.416e+00,8.2e-02,6.282e+01,2.0e-02,1.967e-03,8.6e-06
8.75,8.653e-01,2.775e+00,6.8e-02,6.204e+00,7.9e-02,5.379e+01,2.0e-02,1.584e-03,8.5e-06
9.25,8.443e-01,2.316e+00,6.9e-02,5.932e+00,7.6e-02,4.337e+01,1.9e-02,1.218e-03,8.2e-06
9.75,8.239e-01,1.587e+00,6.5e-02,5.624e+00,7.3e-02,3.570e+01,1.9e-02,1.138e-03,8.4e-06
10.25,8.039e-01,1.674e+00,6.1e-02,5.222e+00,7.0e-02,3.024e+01,1.8e-02,1.117e-03,8.5e-06
10.75,7.844e-01,1.291e+00,5.8e-02,4.660e+00,6.8e-02,2.426e+01,1.8e-02,9.082e-04,8.3e-06
11.25,7.654e-01,5.640e-01,6.4e-02,3.901e+00,6.5e-02,1.859e+01,1.8e-02,5.251e-04,7.5e-06
11.75,7.468e-01,2.621e-01,6.6e-02,3.108e+00,6.3e-02,1.442e+01,1.7e-02,4.207e-04,7.2e-06
12.25,7.287e-01,0.000e+00,6.9e-02,2.391e+00,5.8e-02,1.141e+01,1.7e-02,3.302e-04,6.8e-06
12.75,7.111e-01,0.000e+00,7.8e-02,1.826e+00,5.5e-02,9.167e+00,1.7e-02,2.777e-04,6.6e-06
13.25,6.938e-01,0.000e+00,9.6e-02,1.374e+00,5.2e-02,7.468e+00,1.7e-02,2.352e-04,6.2e-06
13.75,6.770e-01,0.000e+00,1.3e-01,1.036e+00,4.8e-02,6.222e+00,1.7e-02,1.973e-04,6.0e-06
14.25,6.606e-01,0.000e+00,1.8e-01,7.927e-01,4.4e-02,5.262e+00,1.7e-02,1.785e-04,5.9e-06
14.75,6.446e-01,0.000e+00,2.8e-01,6.116e-01,4.1e-02,4.486e+00,1.6e-02,1.464e-04,5.9e-06
15.25,6.290e-01,0.000e+00,6.9e-01,4.750e-01,3.7e-02,3.929e+00,1.6e-02,1.404e-04,5.8e-06
15.75,6.137e-01,nan,nan,3.801e-01,3.4e-02,3.444e+00,1.6e-02,1.226e-04,5.7e-06
16.25,5.989e-01,nan,nan,3.178e-01,3.1e-02,3.046e+00,1.6e-02,1.123e-04,5.5e-06
16.75,5.843e-01,nan,nan,2.657e-01,2.9e-02,2.756e+00,1.5e-02,9.809e-05,5.5e-06
17.25,5.702e-01,nan,nan,2.230e-01,2.7e-02,2.479e+00,1.5e-02,8.449e-05,5.5e-06
17.75,5.564e-01,nan,nan,1.874e-01,2.5e-02,2.234e+00,1.5e-02,7.828e-05,5.4e-06
18.25,5.429e-01,nan,nan,1.671e-01,2.4e-02,2.047e+00,1.5e-02,7.453e-05,5.3e-06
18.75,5.297e-01,nan,nan,1.526e-01,2.4e-02,1.873e+00,1.5e-02,7.291e-05,5.4e-06
19.25,5.169e-01,nan,nan,1.428e-01,2.5e-02,1.670e+00,1.4e-02,6.590e-05,5.4e-06
19.75,5.044e-01,nan,nan,1.325e-01,2.4e-02,1.536e+00,1.4e-02,4.981e-05,5.1e-06
20.25,4.921e-01,nan,nan,1.215e-01,2.4e-02,1.422e+00,1.4e-02,4.603e-05,5.0e-06
20.75,4.802e-01,nan,nan,1.089e-01,2.4e-02,1.336e+00,1.4e-02,4.267e-05,4.9e-06
21.25,4.686e-01,nan,nan,9.617e-02,2.3e-02,1.245e+00,1.4e-02,3.588e-05,4.9e-06
21.75,4.572e-01,nan,nan,8.640e-02,2.3e-02,1.162e+00,1.4e-02,2.986e-05,4.9e-06
