r_gal,Zprime,Sigma_mol,e_Sigma_mol,Sigma_atom,e_Sigma_atom,Sigma_star,e_Sigma_star,Sigma_SFR_FUVW4recal,e_Sigma_SFR_FUVW4recal
0.25,1.245e+00,1.089e+01,2.0e-01,nan,nan,6.880e+03,4.8e-01,5.628e-03,7.6e-05
0.75,1.187e+00,6.718e+00,1.0e-01,nan,nan,1.407e+03,2.8e-01,2.520e-03,6.9e-05
1.25,1.131e+00,1.959e+00,6.2e-02,nan,nan,5.757e+02,2.2e-01,1.323e-03,5.5e-05
1.75,1.078e+00,4.012e-01,5.9e-02,nan,nan,3.255e+02,1.8e-01,6.646e-04,5.2e-05
2.25,1.027e+00,0.000e+00,7.4e-02,nan,nan,2.091e+02,1.6e-01,3.122e-04,4.4e-05
2.75,9.787e-01,0.000e+00,1.0e-01,nan,nan,9.256e+01,1.0e-01,0.000e+00,3.6e-05
3.25,9.327e-01,6.972e-01,1.7e-01,nan,nan,5.715e+01,9.5e-02,0.000e+00,3.1e-05
3.75,8.888e-01,0.000e+00,7.2e-01,nan,nan,3.481e+01,8.8e-02,0.000e+00,3.0e-05
4.25,8.470e-01,nan,nan,nan,nan,2.293e+01,8.4e-02,0.000e+00,2.8e-05
4.75,8.072e-01,nan,nan,nan,nan,1.549e+01,7.9e-02,0.000e+00,2.8e-05
5.25,7.692e-01,nan,nan,nan,nan,1.102e+01,7.5e-02,0.000e+00,2.8e-05
5.75,7.330e-01,nan,nan,nan,nan,8.116e+00,7.2e-02,0.000e+00,2.7e-05
6.25,6.985e-01,nan,nan,nan,nan,6.078e+00,6.9e-02,0.000e+00,2.7e-05
6.75,6.657e-01,nan,nan,nan,nan,4.900e+00,6.5e-02,0.000e+00,2.3e-05
7.25,6.344e-01,nan,nan,nan,nan,3.734e+00,6.3e-02,0.000e+00,2.4e-05
7.75,6.045e-01,nan,nan,nan,nan,3.236e+00,6.1e-02,0.000e+00,2.3e-05
8.25,5.761e-01,nan,nan,nan,nan,2.494e+00,5.9e-02,0.000e+00,2.5e-05
8.75,5.490e-01,nan,nan,nan,nan,2.180e+00,5.8e-02,0.000e+00,2.6e-05
