r_gal,Zprime,Sigma_mol,e_Sigma_mol,Sigma_atom,e_Sigma_atom,Sigma_star,e_Sigma_star,Sigma_SFR_FUVW4recal,e_Sigma_SFR_FUVW4recal
0.25,8.877e-01,1.983e+00,1.5e-01,5.709e+00,8.7e-02,1.784e+02,1.1e-01,2.815e-03,4.8e-05
0.75,8.438e-01,1.744e+00,1.0e-01,6.128e+00,9.3e-02,1.095e+02,6.4e-02,3.055e-03,3.2e-05
1.25,8.019e-01,1.946e+00,9.8e-02,6.660e+00,9.3e-02,7.088e+01,4.5e-02,2.404e-03,2.5e-05
1.75,7.622e-01,2.522e+00,8.9e-02,7.144e+00,9.4e-02,4.430e+01,3.1e-02,3.263e-03,2.4e-05
2.25,7.244e-01,2.259e+00,8.8e-02,7.479e+00,8.6e-02,2.725e+01,2.3e-02,3.299e-03,2.2e-05
2.75,6.885e-01,3.800e-01,9.9e-02,7.678e+00,7.8e-02,2.153e+01,2.6e-02,1.353e-03,1.9e-05
3.25,6.544e-01,0.000e+00,1.5e-01,7.836e+00,7.1e-02,1.535e+01,2.2e-02,1.321e-03,1.9e-05
3.75,6.220e-01,0.000e+00,4.5e-01,7.980e+00,6.6e-02,1.183e+01,2.0e-02,1.099e-03,1.7e-05
4.25,5.912e-01,nan,nan,8.136e+00,6.1e-02,9.605e+00,2.1e-02,6.397e-04,1.6e-05
4.75,5.619e-01,nan,nan,8.259e+00,5.6e-02,7.343e+00,1.9e-02,5.151e-04,1.5e-05
5.25,5.340e-01,nan,nan,8.285e+00,5.2e-02,4.123e+00,1.4e-02,6.026e-04,1.5e-05
5.75,5.076e-01,nan,nan,8.082e+00,4.8e-02,2.443e+00,1.2e-02,5.296e-04,1.4e-05
6.25,4.824e-01,nan,nan,7.534e+00,4.4e-02,2.277e+00,1.6e-02,0.000e+00,1.3e-05
6.75,4.585e-01,nan,nan,6.680e+00,4.1e-02,1.576e+00,1.6e-02,0.000e+00,1.3e-05
7.25,4.358e-01,nan,nan,5.671e+00,3.8e-02,9.776e-01,1.7e-02,0.000e+00,1.2e-05
7.75,4.142e-01,nan,nan,4.701e+00,3.5e-02,5.202e-01,1.6e-02,0.000e+00,1.1e-05
8.25,3.937e-01,nan,nan,3.899e+00,3.3e-02,2.596e-01,1.6e-02,0.000e+00,9.8e-06
8.75,3.742e-01,nan,nan,3.283e+00,3.0e-02,1.090e-01,1.6e-02,0.000e+00,8.6e-06
