r_gal,Zprime,Sigma_mol,e_Sigma_mol,Sigma_atom,e_Sigma_atom,Sigma_star,e_Sigma_star,Sigma_SFR_FUVW4recal,e_Sigma_SFR_FUVW4recal
0.25,1.174e+00,1.244e+02,3.6e-01,nan,nan,7.601e+02,2.6e-01,nan,nan
0.75,1.130e+00,1.640e+01,2.0e-01,nan,nan,1.579e+02,1.5e-01,nan,nan
1.25,1.088e+00,1.731e+01,1.2e-01,nan,nan,1.505e+02,1.7e-01,nan,nan
1.75,1.048e+00,1.294e+01,9.0e-02,nan,nan,1.193e+02,1.5e-01,nan,nan
2.25,1.009e+00,8.514e+00,7.5e-02,nan,nan,9.095e+01,1.4e-01,nan,nan
2.75,9.720e-01,7.459e+00,6.9e-02,nan,nan,9.324e+01,1.5e-01,nan,nan
3.25,9.361e-01,7.660e+00,7.0e-02,nan,nan,8.239e+01,1.2e-01,nan,nan
3.75,9.014e-01,5.563e+00,7.4e-02,nan,nan,6.513e+01,1.2e-01,nan,nan
4.25,8.681e-01,3.310e+00,7.3e-02,nan,nan,5.151e+01,1.3e-01,nan,nan
4.75,8.359e-01,2.026e+00,8.4e-02,nan,nan,3.293e+01,1.2e-01,nan,nan
5.25,8.050e-01,1.652e+00,1.2e-01,nan,nan,1.869e+01,1.2e-01,nan,nan
5.75,7.752e-01,6.566e-01,1.5e-01,nan,nan,9.202e+00,1.1e-01,nan,nan
6.25,7.465e-01,0.000e+00,3.0e-01,nan,nan,4.931e+00,1.1e-01,nan,nan
6.75,7.189e-01,0.000e+00,1.7e+00,nan,nan,3.330e+00,1.0e-01,nan,nan
7.25,6.923e-01,nan,nan,nan,nan,2.462e+00,9.8e-02,nan,nan
7.75,6.667e-01,nan,nan,nan,nan,1.933e+00,9.6e-02,nan,nan
8.25,6.420e-01,nan,nan,nan,nan,1.540e+00,9.2e-02,nan,nan
