r_gal,Zprime,Sigma_mol,e_Sigma_mol,Sigma_atom,e_Sigma_atom,Sigma_star,e_Sigma_star,Sigma_SFR_FUVW4recal,e_Sigma_SFR_FUVW4recal
0.25,1.205e+00,1.783e+01,1.6e-01,8.667e+00,5.8e-01,6.459e+02,3.8e-01,9.179e-03,9.3e-05
0.75,1.164e+00,1.722e+01,9.8e-02,8.496e+00,4.0e-01,4.627e+02,2.2e-01,8.779e-03,6.4e-05
1.25,1.125e+00,1.562e+01,7.7e-02,9.321e+00,3.0e-01,3.312e+02,1.7e-01,8.557e-03,5.0e-05
1.75,1.086e+00,1.982e+01,6.6e-02,1.056e+01,2.6e-01,2.693e+02,1.4e-01,1.044e-02,4.8e-05
2.25,1.049e+00,1.907e+01,5.9e-02,1.141e+01,2.3e-01,2.016e+02,1.2e-01,1.162e-02,4.3e-05
2.75,1.014e+00,1.273e+01,5.4e-02,1.182e+01,2.0e-01,1.399e+02,1.1e-01,7.673e-03,4.0e-05
3.25,9.794e-01,1.061e+01,5.1e-02,1.210e+01,1.8e-01,1.046e+02,1.1e-01,5.376e-03,3.6e-05
3.75,9.462e-01,6.455e+00,4.7e-02,1.185e+01,1.6e-01,7.651e+01,9.9e-02,4.756e-03,3.8e-05
4.25,9.140e-01,5.195e+00,4.8e-02,1.129e+01,1.5e-01,5.378e+01,8.3e-02,4.398e-03,3.9e-05
4.75,8.830e-01,4.567e+00,5.5e-02,1.127e+01,1.3e-01,3.882e+01,7.8e-02,3.560e-03,3.6e-05
5.25,8.530e-01,3.097e+00,6.1e-02,1.137e+01,1.2e-01,3.137e+01,8.8e-02,2.182e-03,3.3e-05
5.75,8.240e-01,2.662e+00,7.1e-02,1.094e+01,1.1e-01,2.197e+01,9.6e-02,1.603e-03,3.2e-05
6.25,7.961e-01,2.607e+00,1.0e-01,1.057e+01,1.0e-01,1.718e+01,9.1e-02,1.421e-03,3.4e-05
6.75,7.690e-01,2.376e+00,1.6e-01,1.017e+01,9.6e-02,1.513e+01,9.1e-02,1.141e-03,3.2e-05
7.25,7.429e-01,2.538e+00,2.4e-01,9.528e+00,9.1e-02,1.265e+01,9.3e-02,8.769e-04,3.1e-05
7.75,7.177e-01,3.146e+00,3.5e-01,8.592e+00,8.7e-02,9.468e+00,8.6e-02,7.511e-04,3.1e-05
8.25,6.933e-01,0.000e+00,7.4e-01,7.747e+00,8.3e-02,6.904e+00,8.2e-02,4.972e-04,3.1e-05
8.75,6.698e-01,nan,nan,7.254e+00,7.9e-02,4.969e+00,7.4e-02,3.788e-04,2.8e-05
9.25,6.470e-01,nan,nan,7.093e+00,7.7e-02,4.253e+00,7.7e-02,2.980e-04,2.7e-05
9.75,6.251e-01,nan,nan,6.923e+00,7.4e-02,3.424e+00,7.0e-02,3.259e-04,2.8e-05
10.25,6.038e-01,nan,nan,6.785e+00,7.1e-02,3.030e+00,6.5e-02,2.857e-04,2.8e-05
10.75,5.833e-01,nan,nan,6.731e+00,6.8e-02,2.813e+00,6.5e-02,2.234e-04,2.7e-05
11.25,5.635e-01,nan,nan,6.709e+00,6.7e-02,2.480e+00,6.3e-02,2.365e-04,2.6e-05
11.75,5.444e-01,nan,nan,6.914e+00,6.5e-02,2.240e+00,5.1e-02,3.369e-04,2.6e-05
12.25,5.259e-01,nan,nan,7.186e+00,6.4e-02,2.423e+00,5.1e-02,3.155e-04,2.5e-05
12.75,5.080e-01,nan,nan,7.480e+00,6.2e-02,1.722e+00,4.5e-02,0.000e+00,2.4e-05
13.25,4.908e-01,nan,nan,7.736e+00,6.1e-02,1.557e+00,4.5e-02,0.000e+00,2.4e-05
13.75,4.741e-01,nan,nan,7.728e+00,6.1e-02,1.486e+00,4.4e-02,0.000e+00,2.4e-05
14.25,4.580e-01,nan,nan,7.390e+00,6.1e-02,1.374e+00,4.2e-02,0.000e+00,2.4e-05
14.75,4.425e-01,nan,nan,7.056e+00,6.1e-02,2.139e+00,4.1e-02,0.000e+00,2.3e-05
