r_gal,Zprime,Sigma_mol,e_Sigma_mol,Sigma_atom,e_Sigma_atom,Sigma_star,e_Sigma_star,Sigma_SFR_FUVW4recal,e_Sigma_SFR_FUVW4recal
0.25,1.311e+00,2.609e+01,3.1e-01,0.000e+00,7.3e-02,6.242e+03,8.7e-01,4.957e-03,1.4e-04
0.75,1.288e+00,3.471e-01,6.7e-02,0.000e+00,7.3e-02,1.701e+03,5.0e-01,2.069e-03,1.2e-04
1.25,1.265e+00,0.000e+00,4.3e-02,0.000e+00,7.3e-02,8.770e+02,3.9e-01,7.904e-04,8.5e-05
1.75,1.242e+00,0.000e+00,5.7e-02,0.000e+00,6.1e-02,3.628e+02,2.3e-01,0.000e+00,7.8e-05
2.25,1.220e+00,0.000e+00,9.6e-02,0.000e+00,5.4e-02,2.188e+02,2.0e-01,0.000e+00,6.7e-05
2.75,1.198e+00,0.000e+00,2.8e-01,0.000e+00,4.9e-02,1.505e+02,1.8e-01,0.000e+00,5.6e-05
3.25,1.176e+00,nan,nan,0.000e+00,4.5e-02,1.222e+02,1.7e-01,0.000e+00,5.2e-05
3.75,1.155e+00,nan,nan,0.000e+00,4.1e-02,1.090e+02,1.6e-01,0.000e+00,5.2e-05
4.25,1.135e+00,nan,nan,0.000e+00,3.9e-02,9.411e+01,1.5e-01,0.000e+00,4.4e-05
4.75,1.114e+00,nan,nan,0.000e+00,3.7e-02,7.409e+01,1.4e-01,0.000e+00,4.4e-05
5.25,1.094e+00,nan,nan,0.000e+00,3.5e-02,6.045e+01,1.4e-01,0.000e+00,4.3e-05
5.75,1.075e+00,nan,nan,0.000e+00,3.3e-02,5.106e+01,1.3e-01,0.000e+00,4.1e-05
6.25,1.055e+00,nan,nan,0.000e+00,3.2e-02,4.270e+01,1.2e-01,0.000e+00,4.0e-05
6.75,1.036e+00,nan,nan,0.000e+00,3.0e-02,3.765e+01,1.2e-01,0.000e+00,3.6e-05
7.25,1.018e+00,nan,nan,0.000e+00,2.9e-02,3.385e+01,1.1e-01,0.000e+00,3.6e-05
7.75,9.996e-01,nan,nan,0.000e+00,2.8e-02,3.015e+01,1.1e-01,0.000e+00,3.5e-05
8.25,9.817e-01,nan,nan,0.000e+00,2.7e-02,2.615e+01,1.1e-01,0.000e+00,3.4e-05
8.75,9.640e-01,nan,nan,0.000e+00,2.7e-02,2.144e+01,1.1e-01,0.000e+00,3.3e-05
9.25,9.468e-01,nan,nan,0.000e+00,2.5e-02,1.708e+01,1.0e-01,0.000e+00,3.0e-05
9.75,9.298e-01,nan,nan,0.000e+00,2.5e-02,1.336e+01,1.0e-01,0.000e+00,3.1e-05
10.25,9.131e-01,nan,nan,0.000e+00,2.4e-02,1.082e+01,1.0e-01,0.000e+00,3.0e-05
10.75,8.967e-01,nan,nan,0.000e+00,2.4e-02,8.580e+00,9.7e-02,0.000e+00,3.1e-05
11.25,8.806e-01,nan,nan,0.000e+00,2.3e-02,7.017e+00,9.4e-02,0.000e+00,3.3e-05
11.75,8.648e-01,nan,nan,0.000e+00,2.3e-02,5.669e+00,9.3e-02,0.000e+00,3.5e-05
12.25,8.493e-01,nan,nan,0.000e+00,2.2e-02,4.710e+00,9.2e-02,0.000e+00,3.3e-05
12.75,8.341e-01,nan,nan,0.000e+00,2.2e-02,3.857e+00,9.1e-02,0.000e+00,3.2e-05
13.25,8.191e-01,nan,nan,0.000e+00,2.1e-02,3.150e+00,9.0e-02,0.000e+00,3.3e-05
