r_gal,Zprime,Sigma_mol,e_Sigma_mol,Sigma_atom,e_Sigma_atom,Sigma_star,e_Sigma_star,Sigma_SFR_FUVW4recal,e_Sigma_SFR_FUVW4recal
0.25,1.280e+00,6.278e+02,4.4e-01,0.000e+00,9.5e-01,9.344e+03,5.5e-01,1.251e-01,6.4e-05
0.75,1.249e+00,1.905e+02,2.7e-01,0.000e+00,9.3e-01,1.453e+03,2.6e-01,1.008e-01,7.3e-05
1.25,1.218e+00,4.256e+01,2.2e-01,4.568e+00,9.2e-01,2.507e+02,1.5e-01,6.777e-02,9.2e-05
1.75,1.188e+00,2.348e+01,1.8e-01,6.807e+00,7.9e-01,1.223e+02,1.2e-01,3.506e-02,8.6e-05
2.25,1.159e+00,1.191e+01,1.5e-01,7.701e+00,6.7e-01,8.561e+01,1.1e-01,1.881e-02,8.0e-05
2.75,1.130e+00,7.034e+00,1.2e-01,8.564e+00,5.5e-01,1.026e+02,1.6e-01,6.094e-03,7.5e-05
3.25,1.103e+00,5.574e+00,1.1e-01,8.666e+00,4.7e-01,9.496e+01,1.6e-01,4.190e-03,7.8e-05
3.75,1.075e+00,4.608e+00,9.6e-02,8.327e+00,4.0e-01,9.573e+01,1.6e-01,2.163e-03,6.4e-05
4.25,1.049e+00,3.740e+00,8.5e-02,8.144e+00,3.7e-01,9.066e+01,1.5e-01,2.312e-03,6.6e-05
4.75,1.023e+00,4.106e+00,7.5e-02,8.112e+00,3.1e-01,8.709e+01,1.5e-01,2.065e-03,6.7e-05
5.25,9.979e-01,4.511e+00,6.9e-02,8.033e+00,2.9e-01,8.093e+01,1.4e-01,2.120e-03,7.0e-05
5.75,9.733e-01,3.718e+00,6.3e-02,8.276e+00,2.6e-01,7.223e+01,1.3e-01,2.230e-03,6.4e-05
6.25,9.493e-01,2.851e+00,5.8e-02,8.365e+00,2.4e-01,6.411e+01,1.3e-01,2.113e-03,6.8e-05
6.75,9.260e-01,3.230e+00,5.4e-02,8.164e+00,2.2e-01,5.910e+01,1.2e-01,1.986e-03,6.8e-05
7.25,9.032e-01,2.641e+00,5.2e-02,7.832e+00,2.1e-01,4.996e+01,1.2e-01,1.874e-03,6.4e-05
7.75,8.809e-01,1.502e+00,5.0e-02,7.516e+00,2.0e-01,3.613e+01,1.1e-01,1.720e-03,6.5e-05
8.25,8.592e-01,1.252e+00,4.7e-02,7.122e+00,1.8e-01,2.850e+01,1.1e-01,1.392e-03,6.3e-05
8.75,8.381e-01,1.170e+00,4.4e-02,6.966e+00,1.7e-01,2.436e+01,1.0e-01,1.241e-03,6.3e-05
9.25,8.174e-01,1.171e+00,4.3e-02,6.649e+00,1.6e-01,2.207e+01,9.8e-02,1.192e-03,6.1e-05
9.75,7.973e-01,1.373e+00,4.4e-02,6.632e+00,1.6e-01,1.983e+01,9.2e-02,1.174e-03,6.1e-05
10.25,7.777e-01,1.546e+00,4.7e-02,6.432e+00,1.5e-01,1.900e+01,9.4e-02,9.377e-04,5.6e-05
10.75,7.585e-01,1.559e+00,5.7e-02,6.089e+00,1.5e-01,1.607e+01,9.0e-02,8.350e-04,5.2e-05
11.25,7.398e-01,1.076e+00,6.2e-02,6.068e+00,1.4e-01,1.475e+01,9.2e-02,6.733e-04,5.3e-05
11.75,7.216e-01,8.033e-01,6.9e-02,5.895e+00,1.4e-01,1.388e+01,9.1e-02,6.366e-04,5.4e-05
12.25,7.039e-01,9.412e-01,8.3e-02,5.822e+00,1.3e-01,1.342e+01,8.8e-02,6.748e-04,5.3e-05
12.75,6.865e-01,9.789e-01,9.4e-02,5.819e+00,1.3e-01,1.294e+01,8.5e-02,7.082e-04,5.2e-05
13.25,6.696e-01,9.038e-01,1.1e-01,5.813e+00,1.3e-01,1.155e+01,8.0e-02,7.210e-04,5.4e-05
13.75,6.531e-01,7.563e-01,1.3e-01,5.617e+00,1.2e-01,1.086e+01,7.8e-02,6.865e-04,5.6e-05
14.25,6.370e-01,0.000e+00,1.5e-01,5.396e+00,1.2e-01,1.014e+01,7.7e-02,6.075e-04,5.5e-05
14.75,6.214e-01,0.000e+00,1.7e-01,5.070e+00,1.2e-01,8.600e+00,7.7e-02,5.129e-04,5.2e-05
15.25,6.061e-01,0.000e+00,2.0e-01,4.901e+00,1.2e-01,7.302e+00,7.6e-02,4.423e-04,5.2e-05
15.75,5.911e-01,0.000e+00,2.5e-01,4.766e+00,1.1e-01,5.751e+00,7.3e-02,4.260e-04,5.1e-05
16.25,5.766e-01,0.000e+00,3.1e-01,4.304e+00,1.1e-01,4.538e+00,6.8e-02,4.261e-04,5.1e-05
16.75,5.624e-01,0.000e+00,4.0e-01,3.724e+00,1.0e-01,3.836e+00,6.8e-02,3.372e-04,5.3e-05
17.25,5.485e-01,0.000e+00,5.8e-01,2.973e+00,1.0e-01,3.202e+00,6.9e-02,2.628e-04,4.7e-05
17.75,5.350e-01,0.000e+00,1.0e+00,2.468e+00,9.9e-02,2.080e+00,5.5e-02,0.000e+00,4.5e-05
18.25,5.219e-01,0.000e+00,2.4e+00,2.056e+00,9.5e-02,1.774e+00,5.4e-02,0.000e+00,4.2e-05
18.75,5.090e-01,nan,nan,1.671e+00,9.1e-02,1.489e+00,5.3e-02,0.000e+00,4.2e-05
19.25,4.965e-01,nan,nan,1.468e+00,8.7e-02,1.225e+00,5.4e-02,0.000e+00,3.8e-05
19.75,4.842e-01,nan,nan,1.274e+00,8.4e-02,1.031e+00,5.4e-02,0.000e+00,3.8e-05
