r_gal,Zprime,Sigma_mol,e_Sigma_mol,Sigma_atom,e_Sigma_atom,Sigma_star,e_Sigma_star,Sigma_SFR_FUVW4recal,e_Sigma_SFR_FUVW4recal
0.25,1.345e+00,2.588e+02,9.6e-01,nan,nan,8.455e+03,1.1e+00,2.495e-02,1.1e-04
0.75,1.332e+00,1.127e+02,5.4e-01,nan,nan,2.239e+03,6.2e-01,1.604e-02,1.1e-04
1.25,1.319e+00,4.043e+01,4.0e-01,nan,nan,7.456e+02,4.8e-01,5.182e-03,7.1e-05
1.75,1.306e+00,9.128e+00,3.0e-01,nan,nan,4.867e+02,4.1e-01,1.388e-03,5.3e-05
2.25,1.293e+00,3.119e+00,1.8e-01,nan,nan,3.587e+02,3.6e-01,6.117e-04,4.5e-05
2.75,1.280e+00,1.428e+00,1.2e-01,nan,nan,2.780e+02,3.2e-01,4.422e-04,4.2e-05
3.25,1.267e+00,1.082e+00,8.8e-02,nan,nan,2.218e+02,3.0e-01,4.482e-04,4.6e-05
3.75,1.255e+00,6.644e-01,8.0e-02,nan,nan,1.833e+02,2.8e-01,4.368e-04,4.2e-05
4.25,1.242e+00,6.852e-01,7.4e-02,nan,nan,1.589e+02,2.6e-01,5.105e-04,4.3e-05
4.75,1.230e+00,1.038e+00,6.9e-02,nan,nan,1.433e+02,2.5e-01,6.981e-04,4.6e-05
5.25,1.218e+00,1.002e+00,6.9e-02,nan,nan,1.375e+02,2.3e-01,9.730e-04,4.6e-05
5.75,1.206e+00,1.917e+00,7.1e-02,nan,nan,1.334e+02,2.2e-01,1.104e-03,4.6e-05
6.25,1.194e+00,2.327e+00,7.4e-02,nan,nan,1.305e+02,2.1e-01,1.340e-03,4.6e-05
6.75,1.182e+00,2.435e+00,8.0e-02,nan,nan,1.221e+02,2.1e-01,1.659e-03,4.7e-05
7.25,1.170e+00,2.937e+00,8.6e-02,nan,nan,1.102e+02,2.0e-01,1.714e-03,4.8e-05
7.75,1.159e+00,2.878e+00,1.0e-01,nan,nan,9.584e+01,1.9e-01,1.662e-03,4.5e-05
8.25,1.147e+00,2.975e+00,1.1e-01,nan,nan,8.347e+01,1.8e-01,1.584e-03,4.6e-05
8.75,1.136e+00,3.173e+00,1.1e-01,nan,nan,7.196e+01,1.7e-01,1.522e-03,4.5e-05
9.25,1.125e+00,2.531e+00,1.1e-01,nan,nan,6.289e+01,1.7e-01,1.379e-03,4.5e-05
9.75,1.114e+00,2.824e+00,1.1e-01,nan,nan,5.605e+01,1.7e-01,1.261e-03,4.3e-05
10.25,1.103e+00,2.177e+00,1.1e-01,nan,nan,4.729e+01,1.7e-01,1.002e-03,4.2e-05
10.75,1.092e+00,1.128e+00,1.0e-01,nan,nan,4.107e+01,1.7e-01,7.680e-04,4.1e-05
11.25,1.081e+00,6.573e-01,1.1e-01,nan,nan,3.428e+01,1.6e-01,5.530e-04,3.9e-05
11.75,1.070e+00,7.623e-01,1.3e-01,nan,nan,3.064e+01,1.6e-01,4.802e-04,3.7e-05
12.25,1.060e+00,6.555e-01,1.6e-01,nan,nan,2.889e+01,1.6e-01,4.056e-04,3.6e-05
12.75,1.049e+00,7.786e-01,2.1e-01,nan,nan,2.675e+01,1.6e-01,3.358e-04,3.4e-05
13.25,1.039e+00,8.964e-01,2.7e-01,nan,nan,2.550e+01,1.6e-01,3.802e-04,3.5e-05
13.75,1.029e+00,0.000e+00,3.9e-01,nan,nan,2.460e+01,1.6e-01,3.625e-04,3.5e-05
14.25,1.018e+00,0.000e+00,6.1e-01,nan,nan,2.307e+01,1.5e-01,3.225e-04,3.5e-05
14.75,1.008e+00,0.000e+00,1.1e+00,nan,nan,2.194e+01,1.5e-01,2.721e-04,3.4e-05
15.25,9.985e-01,0.000e+00,5.5e+00,nan,nan,2.063e+01,1.5e-01,2.546e-04,3.2e-05
15.75,9.886e-01,nan,nan,nan,nan,1.322e+01,1.0e-01,0.000e+00,3.4e-05
16.25,9.788e-01,nan,nan,nan,nan,1.209e+01,9.9e-02,0.000e+00,3.4e-05
16.75,9.692e-01,nan,nan,nan,nan,1.060e+01,9.9e-02,0.000e+00,3.2e-05
17.25,9.596e-01,nan,nan,nan,nan,9.218e+00,9.6e-02,0.000e+00,3.3e-05
17.75,9.501e-01,nan,nan,nan,nan,8.071e+00,9.6e-02,0.000e+00,3.1e-05
