r_gal,Zprime,Sigma_mol,e_Sigma_mol,Sigma_atom,e_Sigma_atom,Sigma_star,e_Sigma_star,Sigma_SFR_FUVW4recal,e_Sigma_SFR_FUVW4recal
0.25,1.285e+00,5.183e+01,1.5e+00,nan,nan,9.269e+03,1.0e+00,nan,nan
0.75,1.244e+00,2.912e+01,7.4e-01,nan,nan,1.502e+03,5.9e-01,nan,nan
1.25,1.205e+00,1.751e+01,4.4e-01,nan,nan,6.579e+02,4.6e-01,nan,nan
1.75,1.166e+00,3.882e+00,2.4e-01,nan,nan,4.514e+02,3.9e-01,nan,nan
2.25,1.129e+00,4.448e-01,1.2e-01,nan,nan,2.908e+02,3.4e-01,nan,nan
2.75,1.093e+00,0.000e+00,1.2e-01,nan,nan,1.312e+02,2.2e-01,nan,nan
3.25,1.058e+00,0.000e+00,1.3e-01,nan,nan,9.223e+01,2.0e-01,nan,nan
3.75,1.025e+00,0.000e+00,1.5e-01,nan,nan,6.959e+01,1.8e-01,nan,nan
4.25,9.921e-01,0.000e+00,2.0e-01,nan,nan,5.802e+01,1.8e-01,nan,nan
4.75,9.605e-01,0.000e+00,2.6e-01,nan,nan,4.530e+01,1.6e-01,nan,nan
5.25,9.299e-01,0.000e+00,3.7e-01,nan,nan,3.352e+01,1.6e-01,nan,nan
5.75,9.002e-01,0.000e+00,6.1e-01,nan,nan,2.545e+01,1.5e-01,nan,nan
6.25,8.716e-01,0.000e+00,1.7e+00,nan,nan,2.119e+01,1.4e-01,nan,nan
6.75,8.438e-01,nan,nan,nan,nan,1.745e+01,1.4e-01,nan,nan
7.25,8.169e-01,nan,nan,nan,nan,1.380e+01,1.4e-01,nan,nan
7.75,7.909e-01,nan,nan,nan,nan,1.102e+01,1.3e-01,nan,nan
8.25,7.657e-01,nan,nan,nan,nan,8.643e+00,1.3e-01,nan,nan
8.75,7.413e-01,nan,nan,nan,nan,6.342e+00,1.2e-01,nan,nan
9.25,7.177e-01,nan,nan,nan,nan,4.923e+00,1.2e-01,nan,nan
9.75,6.948e-01,nan,nan,nan,nan,3.975e+00,1.2e-01,nan,nan
10.25,6.727e-01,nan,nan,nan,nan,2.900e+00,1.1e-01,nan,nan
10.75,6.513e-01,nan,nan,nan,nan,2.045e+00,1.1e-01,nan,nan
11.25,6.305e-01,nan,nan,nan,nan,1.664e+00,1.1e-01,nan,nan
11.75,6.104e-01,nan,nan,nan,nan,1.290e+00,1.1e-01,nan,nan
12.25,5.910e-01,nan,nan,nan,nan,8.690e-01,1.0e-01,nan,nan
12.75,5.721e-01,nan,nan,nan,nan,5.088e-01,1.0e-01,nan,nan
