r_gal,Zprime,Sigma_mol,e_Sigma_mol,Sigma_atom,e_Sigma_atom,Sigma_star,e_Sigma_star,Sigma_SFR_FUVW4recal,e_Sigma_SFR_FUVW4recal
0.25,1.309e+00,1.855e+02,6.7e-01,nan,nan,6.769e+03,2.2e+00,1.513e-02,9.6e-05
0.75,1.272e+00,6.164e+01,3.6e-01,nan,nan,2.586e+03,1.2e+00,2.189e-02,1.4e-04
1.25,1.237e+00,5.255e+01,2.5e-01,nan,nan,8.478e+02,8.4e-01,2.103e-02,1.3e-04
1.75,1.203e+00,1.238e+01,1.8e-01,nan,nan,4.549e+02,7.5e-01,7.875e-03,1.0e-04
2.25,1.169e+00,3.363e+00,1.4e-01,nan,nan,2.914e+02,6.9e-01,1.745e-03,6.3e-05
2.75,1.137e+00,6.158e-01,9.5e-02,nan,nan,2.069e+02,6.3e-01,4.741e-04,4.4e-05
3.25,1.105e+00,0.000e+00,8.9e-02,nan,nan,1.577e+02,5.8e-01,2.636e-04,3.9e-05
3.75,1.075e+00,5.685e-01,1.2e-01,nan,nan,1.292e+02,5.4e-01,2.313e-04,3.8e-05
4.25,1.045e+00,0.000e+00,1.8e-01,nan,nan,1.086e+02,5.1e-01,2.722e-04,4.4e-05
4.75,1.016e+00,0.000e+00,4.3e-01,nan,nan,9.721e+01,4.8e-01,3.015e-04,4.5e-05
5.25,9.874e-01,nan,nan,nan,nan,8.283e+01,4.6e-01,2.354e-04,4.1e-05
5.75,9.600e-01,nan,nan,nan,nan,6.545e+01,4.3e-01,1.525e-04,3.7e-05
6.25,9.333e-01,nan,nan,nan,nan,3.469e+01,3.0e-01,0.000e+00,3.2e-05
6.75,9.074e-01,nan,nan,nan,nan,2.698e+01,2.9e-01,0.000e+00,3.0e-05
7.25,8.822e-01,nan,nan,nan,nan,2.105e+01,2.8e-01,0.000e+00,3.1e-05
7.75,8.577e-01,nan,nan,nan,nan,1.753e+01,2.7e-01,0.000e+00,3.0e-05
8.25,8.339e-01,nan,nan,nan,nan,1.529e+01,2.6e-01,0.000e+00,2.8e-05
8.75,8.107e-01,nan,nan,nan,nan,1.299e+01,2.5e-01,0.000e+00,2.5e-05
9.25,7.882e-01,nan,nan,nan,nan,1.127e+01,2.4e-01,0.000e+00,2.7e-05
9.75,7.663e-01,nan,nan,nan,nan,9.897e+00,2.4e-01,0.000e+00,2.6e-05
10.25,7.450e-01,nan,nan,nan,nan,9.085e+00,2.3e-01,0.000e+00,2.7e-05
10.75,7.243e-01,nan,nan,nan,nan,8.971e+00,2.3e-01,0.000e+00,2.8e-05
11.25,7.042e-01,nan,nan,nan,nan,8.516e+00,2.2e-01,0.000e+00,2.8e-05
11.75,6.846e-01,nan,nan,nan,nan,7.153e+00,2.2e-01,0.000e+00,2.7e-05
12.25,6.656e-01,nan,nan,nan,nan,6.296e+00,2.2e-01,0.000e+00,2.6e-05
12.75,6.471e-01,nan,nan,nan,nan,5.822e+00,2.2e-01,0.000e+00,2.8e-05
