r_gal,Zprime,Sigma_mol,e_Sigma_mol,Sigma_atom,e_Sigma_atom,Sigma_star,e_Sigma_star,Sigma_SFR_FUVW4recal,e_Sigma_SFR_FUVW4recal
0.25,1.329e+00,nan,nan,nan,nan,2.253e+03,6.6e-01,1.745e-03,7.5e-05
0.75,1.310e+00,nan,nan,nan,nan,8.531e+02,3.8e-01,9.195e-04,4.8e-05
1.25,1.292e+00,nan,nan,nan,nan,4.210e+02,3.0e-01,4.693e-04,4.1e-05
1.75,1.274e+00,nan,nan,nan,nan,2.628e+02,2.5e-01,4.563e-04,3.5e-05
2.25,1.256e+00,5.062e+00,9.4e-01,nan,nan,2.039e+02,2.2e-01,6.336e-04,3.6e-05
2.75,1.238e+00,4.500e+00,3.3e-01,nan,nan,1.688e+02,2.1e-01,8.496e-04,3.8e-05
3.25,1.220e+00,4.286e+00,2.4e-01,nan,nan,1.571e+02,2.0e-01,1.196e-03,3.9e-05
3.75,1.203e+00,5.795e+00,2.1e-01,nan,nan,1.525e+02,1.9e-01,2.083e-03,3.8e-05
4.25,1.186e+00,9.906e+00,1.8e-01,nan,nan,1.538e+02,1.8e-01,3.097e-03,3.9e-05
4.75,1.169e+00,8.675e+00,1.5e-01,nan,nan,1.431e+02,1.8e-01,3.725e-03,4.2e-05
5.25,1.153e+00,7.506e+00,1.4e-01,nan,nan,1.192e+02,1.8e-01,3.493e-03,3.9e-05
5.75,1.136e+00,6.980e+00,1.3e-01,nan,nan,1.048e+02,1.7e-01,3.149e-03,3.8e-05
6.25,1.120e+00,6.667e+00,1.2e-01,nan,nan,9.661e+01,1.8e-01,2.845e-03,3.5e-05
6.75,1.104e+00,8.979e+00,1.2e-01,nan,nan,8.894e+01,1.7e-01,2.743e-03,3.5e-05
7.25,1.089e+00,6.683e+00,1.1e-01,nan,nan,7.699e+01,1.4e-01,2.599e-03,3.4e-05
7.75,1.073e+00,4.092e+00,1.1e-01,nan,nan,6.807e+01,1.3e-01,2.652e-03,3.4e-05
8.25,1.058e+00,6.072e+00,1.4e-01,nan,nan,5.982e+01,1.2e-01,2.350e-03,3.4e-05
8.75,1.043e+00,6.747e+00,1.6e-01,nan,nan,5.478e+01,1.2e-01,2.126e-03,3.3e-05
9.25,1.029e+00,6.028e+00,1.8e-01,nan,nan,5.077e+01,1.2e-01,1.869e-03,3.1e-05
9.75,1.014e+00,5.404e+00,2.2e-01,nan,nan,4.398e+01,1.1e-01,1.727e-03,3.1e-05
