r_gal,Zprime,Sigma_mol,e_Sigma_mol,Sigma_atom,e_Sigma_atom,Sigma_star,e_Sigma_star,Sigma_SFR_FUVW4recal,e_Sigma_SFR_FUVW4recal
0.25,1.275e+00,2.785e+02,7.9e-01,4.410e+00,4.2e-01,4.738e+03,6.9e-01,7.347e-02,1.3e-04
0.75,1.232e+00,2.232e+02,4.8e-01,3.922e+00,4.0e-01,1.532e+03,3.6e-01,4.898e-02,1.3e-04
1.25,1.190e+00,8.352e+01,3.6e-01,3.488e+00,3.2e-01,5.498e+02,2.5e-01,2.015e-02,9.5e-05
1.75,1.150e+00,2.712e+01,2.9e-01,3.043e+00,2.4e-01,3.407e+02,2.4e-01,9.285e-03,7.9e-05
2.25,1.111e+00,2.752e+01,2.4e-01,2.830e+00,1.9e-01,2.636e+02,2.1e-01,8.151e-03,9.5e-05
2.75,1.073e+00,2.834e+01,2.1e-01,2.835e+00,1.5e-01,2.250e+02,1.8e-01,9.331e-03,9.7e-05
3.25,1.037e+00,2.224e+01,1.8e-01,2.953e+00,1.3e-01,1.714e+02,1.6e-01,9.790e-03,8.7e-05
3.75,1.002e+00,1.787e+01,1.7e-01,3.013e+00,1.1e-01,1.390e+02,1.4e-01,9.384e-03,8.7e-05
4.25,9.677e-01,1.890e+01,1.6e-01,3.002e+00,9.2e-02,1.207e+02,1.3e-01,8.108e-03,7.9e-05
4.75,9.349e-01,1.323e+01,1.5e-01,2.938e+00,8.2e-02,1.037e+02,1.3e-01,6.301e-03,7.3e-05
5.25,9.032e-01,1.150e+01,1.4e-01,2.831e+00,7.3e-02,8.211e+01,1.2e-01,5.669e-03,7.2e-05
5.75,8.725e-01,1.113e+01,1.3e-01,2.680e+00,6.5e-02,7.001e+01,1.2e-01,4.619e-03,7.0e-05
6.25,8.429e-01,1.029e+01,1.6e-01,2.403e+00,5.7e-02,5.403e+01,1.1e-01,3.433e-03,6.0e-05
6.75,8.143e-01,8.742e+00,1.7e-01,2.165e+00,5.2e-02,4.324e+01,1.1e-01,2.122e-03,5.7e-05
7.25,7.867e-01,9.196e+00,1.8e-01,1.875e+00,4.6e-02,3.571e+01,1.0e-01,2.164e-03,5.4e-05
7.75,7.600e-01,8.590e+00,1.9e-01,1.679e+00,4.3e-02,2.548e+01,8.4e-02,2.510e-03,5.0e-05
8.25,7.342e-01,9.199e+00,2.1e-01,1.524e+00,4.0e-02,1.800e+01,6.7e-02,2.804e-03,5.1e-05
8.75,7.093e-01,4.348e+00,2.8e-01,1.336e+00,3.7e-02,1.266e+01,7.0e-02,1.884e-03,4.8e-05
9.25,6.853e-01,1.302e+00,3.3e-01,1.221e+00,3.5e-02,1.175e+01,8.8e-02,8.825e-04,4.6e-05
9.75,6.620e-01,0.000e+00,3.8e-01,1.206e+00,3.3e-02,1.113e+01,1.0e-01,4.434e-04,4.4e-05
10.25,6.396e-01,0.000e+00,4.8e-01,1.262e+00,3.2e-02,1.004e+01,1.1e-01,3.359e-04,4.5e-05
10.75,6.179e-01,0.000e+00,5.9e-01,1.209e+00,3.0e-02,8.618e+00,1.0e-01,3.098e-04,4.3e-05
11.25,5.969e-01,0.000e+00,7.9e-01,1.396e+00,3.0e-02,7.309e+00,9.1e-02,3.567e-04,4.3e-05
11.75,5.766e-01,0.000e+00,1.2e+00,1.400e+00,2.7e-02,6.343e+00,8.0e-02,4.380e-04,4.4e-05
12.25,5.571e-01,0.000e+00,3.0e+00,1.365e+00,2.6e-02,5.870e+00,7.7e-02,4.225e-04,4.5e-05
12.75,5.382e-01,nan,nan,1.340e+00,2.5e-02,5.173e+00,7.7e-02,3.832e-04,4.6e-05
13.25,5.199e-01,nan,nan,1.382e+00,2.3e-02,4.878e+00,7.7e-02,3.358e-04,4.6e-05
