r_gal,Zprime,Sigma_mol,e_Sigma_mol,Sigma_atom,e_Sigma_atom,Sigma_star,e_Sigma_star,Sigma_SFR_FUVW4recal,e_Sigma_SFR_FUVW4recal
0.25,1.304e+00,3.550e+02,1.0e+00,2.358e+00,3.2e-01,1.710e+03,5.4e-01,8.056e-02,2.7e-04
0.75,1.281e+00,3.909e+01,5.7e-01,2.159e+00,3.4e-01,2.188e+02,2.3e-01,4.113e-02,2.3e-04
1.25,1.257e+00,1.136e+01,3.8e-01,2.062e+00,3.5e-01,1.894e+02,2.5e-01,1.019e-02,1.5e-04
1.75,1.235e+00,6.840e+00,2.4e-01,2.020e+00,3.4e-01,1.980e+02,3.1e-01,2.560e-03,1.6e-04
2.25,1.212e+00,3.947e+00,1.6e-01,2.159e+00,3.2e-01,1.660e+02,2.7e-01,2.116e-03,1.4e-04
2.75,1.190e+00,3.360e+00,1.5e-01,2.490e+00,2.8e-01,1.566e+02,2.5e-01,2.226e-03,1.4e-04
3.25,1.169e+00,8.035e+00,1.5e-01,2.865e+00,2.6e-01,1.575e+02,2.2e-01,2.909e-03,1.2e-04
3.75,1.148e+00,1.995e+01,1.5e-01,3.395e+00,2.4e-01,1.615e+02,2.0e-01,3.609e-03,1.2e-04
4.25,1.127e+00,9.639e+00,1.5e-01,3.979e+00,2.1e-01,1.400e+02,1.9e-01,3.841e-03,1.2e-04
4.75,1.107e+00,8.237e+00,1.4e-01,4.527e+00,2.0e-01,1.229e+02,1.8e-01,3.692e-03,1.2e-04
5.25,1.087e+00,1.019e+01,1.3e-01,5.062e+00,1.8e-01,1.077e+02,1.6e-01,4.047e-03,1.2e-04
5.75,1.067e+00,1.004e+01,1.3e-01,5.458e+00,1.7e-01,9.364e+01,1.4e-01,4.621e-03,1.2e-04
6.25,1.048e+00,1.061e+01,1.4e-01,5.849e+00,1.6e-01,8.212e+01,1.2e-01,5.390e-03,1.2e-04
6.75,1.029e+00,1.233e+01,1.5e-01,6.129e+00,1.5e-01,7.596e+01,1.2e-01,4.670e-03,1.1e-04
7.25,1.010e+00,9.679e+00,1.8e-01,6.208e+00,1.5e-01,6.760e+01,1.2e-01,3.791e-03,1.1e-04
7.75,9.920e-01,6.861e+00,1.9e-01,6.216e+00,1.4e-01,6.190e+01,1.2e-01,2.852e-03,9.9e-05
8.25,9.741e-01,6.879e+00,2.1e-01,6.169e+00,1.3e-01,5.528e+01,1.2e-01,2.160e-03,1.0e-04
8.75,9.565e-01,4.693e+00,2.2e-01,6.195e+00,1.3e-01,4.789e+01,1.2e-01,1.749e-03,9.3e-05
9.25,9.392e-01,4.692e+00,2.8e-01,6.347e+00,1.2e-01,4.202e+01,1.2e-01,1.536e-03,9.6e-05
9.75,9.222e-01,4.003e+00,3.8e-01,6.538e+00,1.2e-01,3.740e+01,1.1e-01,1.565e-03,9.4e-05
10.25,9.056e-01,1.612e+00,4.6e-01,6.764e+00,1.1e-01,3.343e+01,1.1e-01,1.561e-03,9.8e-05
10.75,8.892e-01,0.000e+00,6.6e-01,6.890e+00,1.1e-01,2.748e+01,9.9e-02,1.488e-03,9.4e-05
11.25,8.731e-01,0.000e+00,1.6e+00,6.862e+00,1.0e-01,2.389e+01,9.6e-02,1.396e-03,9.6e-05
11.75,8.574e-01,nan,nan,6.763e+00,1.0e-01,2.185e+01,8.8e-02,1.628e-03,1.1e-04
12.25,8.419e-01,nan,nan,6.526e+00,9.7e-02,1.829e+01,8.5e-02,1.418e-03,1.0e-04
12.75,8.267e-01,nan,nan,6.268e+00,9.4e-02,1.639e+01,8.9e-02,9.968e-04,9.9e-05
13.25,8.117e-01,nan,nan,5.929e+00,9.0e-02,1.372e+01,9.2e-02,6.963e-04,8.6e-05
13.75,7.970e-01,nan,nan,5.591e+00,9.0e-02,1.184e+01,9.2e-02,5.292e-04,8.3e-05
14.25,7.826e-01,nan,nan,5.260e+00,8.7e-02,8.684e+00,7.7e-02,0.000e+00,8.2e-05
14.75,7.685e-01,nan,nan,4.884e+00,8.4e-02,7.309e+00,7.5e-02,0.000e+00,8.4e-05
15.25,7.546e-01,nan,nan,4.524e+00,8.4e-02,5.978e+00,7.5e-02,0.000e+00,8.0e-05
15.75,7.410e-01,nan,nan,4.082e+00,8.0e-02,5.081e+00,7.3e-02,0.000e+00,7.9e-05
16.25,7.276e-01,nan,nan,3.582e+00,7.7e-02,4.523e+00,7.3e-02,0.000e+00,7.3e-05
16.75,7.144e-01,nan,nan,3.085e+00,7.7e-02,3.930e+00,7.1e-02,0.000e+00,6.9e-05
17.25,7.015e-01,nan,nan,2.638e+00,7.4e-02,3.480e+00,7.0e-02,0.000e+00,6.7e-05
17.75,6.889e-01,nan,nan,2.216e+00,7.2e-02,3.141e+00,6.9e-02,0.000e+00,6.7e-05
18.25,6.764e-01,nan,nan,1.867e+00,7.1e-02,2.874e+00,6.8e-02,0.000e+00,7.0e-05
18.75,6.642e-01,nan,nan,1.550e+00,6.7e-02,2.699e+00,6.8e-02,0.000e+00,6.5e-05
19.25,6.522e-01,nan,nan,1.347e+00,6.5e-02,2.440e+00,6.7e-02,0.000e+00,6.3e-05
19.75,6.404e-01,nan,nan,1.147e+00,6.4e-02,2.276e+00,6.6e-02,0.000e+00,5.6e-05
20.25,6.288e-01,nan,nan,1.034e+00,6.2e-02,2.026e+00,6.5e-02,0.000e+00,5.2e-05
20.75,6.175e-01,nan,nan,9.708e-01,5.9e-02,1.882e+00,6.5e-02,0.000e+00,5.3e-05
21.25,6.063e-01,nan,nan,8.604e-01,5.7e-02,1.856e+00,6.5e-02,0.000e+00,5.4e-05
21.75,5.953e-01,nan,nan,7.711e-01,5.5e-02,1.652e+00,6.4e-02,0.000e+00,5.5e-05
22.25,5.846e-01,nan,nan,6.890e-01,5.3e-02,1.441e+00,6.3e-02,0.000e+00,6.0e-05
22.75,5.740e-01,nan,nan,5.866e-01,5.0e-02,1.224e+00,6.2e-02,0.000e+00,7.0e-05
23.25,5.636e-01,nan,nan,4.952e-01,4.9e-02,1.149e+00,6.1e-02,0.000e+00,6.8e-05
23.75,5.535e-01,nan,nan,4.370e-01,4.7e-02,9.980e-01,6.0e-02,0.000e+00,6.7e-05
24.25,5.435e-01,nan,nan,3.681e-01,4.6e-02,8.352e-01,6.0e-02,0.000e+00,5.7e-05
24.75,5.336e-01,nan,nan,3.083e-01,4.4e-02,7.390e-01,5.9e-02,0.000e+00,5.6e-05
25.25,5.240e-01,nan,nan,2.862e-01,4.0e-02,7.391e-01,5.9e-02,0.000e+00,5.0e-05
25.75,5.145e-01,nan,nan,2.673e-01,3.8e-02,5.901e-01,5.9e-02,0.000e+00,5.0e-05
