r_gal,Zprime,Sigma_mol,e_Sigma_mol,Sigma_atom,e_Sigma_atom,Sigma_star,e_Sigma_star,Sigma_SFR_FUVW4recal,e_Sigma_SFR_FUVW4recal
0.25,1.333e+00,4.255e+02,1.1e+00,nan,nan,9.246e+03,1.0e+00,8.166e-02,9.2e-05
0.75,1.310e+00,7.556e+01,5.9e-01,nan,nan,1.931e+03,5.3e-01,3.698e-02,8.0e-05
1.25,1.287e+00,1.524e+01,3.9e-01,nan,nan,1.134e+03,4.4e-01,1.327e-02,5.6e-05
1.75,1.264e+00,2.160e+01,2.8e-01,nan,nan,7.146e+02,3.8e-01,1.086e-02,6.4e-05
2.25,1.242e+00,3.384e+01,2.4e-01,nan,nan,4.859e+02,2.7e-01,1.915e-02,6.8e-05
2.75,1.220e+00,5.349e+01,2.3e-01,nan,nan,3.951e+02,2.1e-01,2.340e-02,6.7e-05
3.25,1.199e+00,3.901e+01,2.1e-01,nan,nan,2.935e+02,1.9e-01,1.969e-02,6.3e-05
3.75,1.178e+00,2.946e+01,1.9e-01,nan,nan,2.184e+02,1.7e-01,1.788e-02,6.0e-05
4.25,1.157e+00,2.078e+01,1.7e-01,nan,nan,1.794e+02,1.6e-01,1.505e-02,5.4e-05
4.75,1.137e+00,2.244e+01,1.5e-01,nan,nan,1.467e+02,1.4e-01,1.448e-02,5.4e-05
5.25,1.117e+00,2.172e+01,1.4e-01,nan,nan,1.312e+02,1.4e-01,1.210e-02,5.0e-05
5.75,1.098e+00,1.123e+01,1.3e-01,nan,nan,1.060e+02,1.3e-01,1.091e-02,5.0e-05
6.25,1.078e+00,9.573e+00,1.2e-01,nan,nan,7.484e+01,1.0e-01,1.175e-02,5.2e-05
6.75,1.060e+00,1.010e+01,1.1e-01,nan,nan,6.092e+01,9.3e-02,1.007e-02,5.3e-05
7.25,1.041e+00,7.499e+00,1.0e-01,nan,nan,5.950e+01,1.0e-01,6.635e-03,4.5e-05
7.75,1.023e+00,6.184e+00,1.1e-01,nan,nan,5.601e+01,1.1e-01,4.998e-03,4.4e-05
8.25,1.005e+00,4.315e+00,1.2e-01,nan,nan,5.141e+01,1.1e-01,4.001e-03,4.4e-05
8.75,9.874e-01,3.305e+00,1.2e-01,nan,nan,4.422e+01,1.1e-01,3.250e-03,4.3e-05
9.25,9.701e-01,3.661e+00,1.2e-01,nan,nan,3.864e+01,1.1e-01,2.708e-03,4.1e-05
9.75,9.531e-01,2.375e+00,1.2e-01,nan,nan,3.325e+01,1.1e-01,2.422e-03,4.1e-05
10.25,9.365e-01,1.812e+00,1.2e-01,nan,nan,2.773e+01,1.1e-01,2.024e-03,4.0e-05
10.75,9.201e-01,1.914e+00,1.5e-01,nan,nan,2.353e+01,1.1e-01,1.706e-03,4.0e-05
11.25,9.040e-01,2.013e+00,2.0e-01,nan,nan,1.977e+01,1.0e-01,1.551e-03,3.8e-05
11.75,8.882e-01,1.098e+00,2.5e-01,nan,nan,1.647e+01,1.0e-01,1.279e-03,3.9e-05
12.25,8.726e-01,0.000e+00,3.4e-01,nan,nan,1.380e+01,1.0e-01,9.440e-04,3.5e-05
12.75,8.574e-01,0.000e+00,4.5e-01,nan,nan,1.230e+01,1.1e-01,7.216e-04,3.4e-05
13.25,8.424e-01,0.000e+00,6.0e-01,nan,nan,1.033e+01,1.0e-01,6.421e-04,3.5e-05
13.75,8.276e-01,0.000e+00,9.9e-01,nan,nan,8.722e+00,9.8e-02,6.015e-04,3.3e-05
14.25,8.132e-01,0.000e+00,3.4e+00,nan,nan,8.582e+00,9.8e-02,5.606e-04,3.2e-05
14.75,7.989e-01,nan,nan,nan,nan,7.656e+00,9.4e-02,5.713e-04,3.4e-05
15.25,7.850e-01,nan,nan,nan,nan,6.857e+00,8.8e-02,5.854e-04,3.3e-05
15.75,7.712e-01,nan,nan,nan,nan,6.798e+00,8.9e-02,5.874e-04,3.3e-05
16.25,7.577e-01,nan,nan,nan,nan,6.563e+00,8.6e-02,5.917e-04,3.3e-05
16.75,7.445e-01,nan,nan,nan,nan,6.487e+00,8.6e-02,5.648e-04,3.3e-05
17.25,7.315e-01,nan,nan,nan,nan,6.120e+00,8.3e-02,6.368e-04,3.4e-05
17.75,7.187e-01,nan,nan,nan,nan,5.735e+00,7.8e-02,5.998e-04,3.4e-05
18.25,7.061e-01,nan,nan,nan,nan,5.372e+00,8.0e-02,5.260e-04,3.3e-05
18.75,6.937e-01,nan,nan,nan,nan,5.189e+00,8.2e-02,4.679e-04,3.1e-05
19.25,6.816e-01,nan,nan,nan,nan,4.682e+00,7.9e-02,4.386e-04,3.1e-05
19.75,6.697e-01,nan,nan,nan,nan,4.329e+00,7.7e-02,3.873e-04,3.2e-05
20.25,6.580e-01,nan,nan,nan,nan,4.097e+00,7.9e-02,3.277e-04,3.1e-05
