r_gal,Zprime,Sigma_mol,e_Sigma_mol,Sigma_atom,e_Sigma_atom,Sigma_star,e_Sigma_star,Sigma_SFR_FUVW4recal,e_Sigma_SFR_FUVW4recal
0.25,1.328e+00,3.812e+02,6.2e-01,5.407e+00,2.2e-01,2.820e+03,9.0e-01,1.011e-01,2.7e-04
0.75,1.306e+00,1.411e+02,3.6e-01,5.161e+00,2.2e-01,8.639e+02,4.6e-01,4.888e-02,1.9e-04
1.25,1.284e+00,3.391e+01,2.5e-01,4.720e+00,2.2e-01,3.959e+02,3.9e-01,1.206e-02,1.4e-04
1.75,1.263e+00,1.847e+01,1.7e-01,4.464e+00,2.1e-01,3.443e+02,4.3e-01,4.302e-03,1.1e-04
2.25,1.241e+00,1.320e+01,1.3e-01,4.472e+00,2.0e-01,2.750e+02,3.8e-01,3.228e-03,1.0e-04
2.75,1.221e+00,1.120e+01,1.1e-01,4.681e+00,2.0e-01,2.299e+02,3.3e-01,3.860e-03,1.0e-04
3.25,1.200e+00,1.736e+01,9.6e-02,5.015e+00,1.9e-01,2.017e+02,2.8e-01,5.447e-03,9.7e-05
3.75,1.180e+00,1.721e+01,9.2e-02,5.484e+00,1.7e-01,1.785e+02,2.3e-01,7.268e-03,9.8e-05
4.25,1.160e+00,1.549e+01,8.8e-02,5.924e+00,1.5e-01,1.595e+02,2.4e-01,7.414e-03,9.7e-05
4.75,1.141e+00,1.521e+01,8.5e-02,6.372e+00,1.4e-01,1.373e+02,2.4e-01,7.883e-03,9.0e-05
5.25,1.121e+00,1.616e+01,8.2e-02,6.891e+00,1.3e-01,1.075e+02,2.2e-01,7.577e-03,9.4e-05
5.75,1.103e+00,1.324e+01,7.9e-02,7.448e+00,1.2e-01,9.591e+01,1.8e-01,8.835e-03,9.5e-05
6.25,1.084e+00,1.268e+01,7.8e-02,8.107e+00,1.2e-01,9.611e+01,1.7e-01,7.626e-03,8.5e-05
6.75,1.066e+00,1.966e+01,7.7e-02,8.800e+00,1.1e-01,9.466e+01,1.6e-01,7.555e-03,8.1e-05
7.25,1.048e+00,1.783e+01,7.5e-02,9.328e+00,1.0e-01,9.582e+01,1.5e-01,8.942e-03,8.2e-05
7.75,1.030e+00,1.564e+01,7.3e-02,9.817e+00,9.9e-02,8.448e+01,1.4e-01,1.000e-02,8.3e-05
8.25,1.013e+00,1.155e+01,7.5e-02,1.004e+01,9.5e-02,7.552e+01,1.4e-01,7.881e-03,8.0e-05
8.75,9.962e-01,9.493e+00,9.3e-02,1.009e+01,9.0e-02,5.845e+01,1.3e-01,7.202e-03,7.9e-05
9.25,9.794e-01,1.208e+01,9.5e-02,1.006e+01,8.5e-02,5.261e+01,1.2e-01,6.891e-03,7.9e-05
9.75,9.630e-01,6.601e+00,9.4e-02,9.874e+00,8.2e-02,3.913e+01,1.2e-01,5.529e-03,7.9e-05
10.25,9.468e-01,6.286e+00,1.1e-01,9.577e+00,7.9e-02,3.403e+01,1.2e-01,3.968e-03,7.6e-05
10.75,9.309e-01,6.071e+00,1.3e-01,9.310e+00,7.5e-02,3.015e+01,1.3e-01,3.081e-03,7.2e-05
11.25,9.153e-01,6.612e+00,1.5e-01,9.035e+00,7.3e-02,2.734e+01,1.3e-01,2.599e-03,7.0e-05
11.75,8.999e-01,5.478e+00,1.7e-01,8.788e+00,7.0e-02,2.718e+01,1.2e-01,2.491e-03,6.9e-05
12.25,8.848e-01,5.663e+00,2.2e-01,8.603e+00,6.8e-02,2.586e+01,1.3e-01,2.110e-03,6.7e-05
