r_gal,Zprime,Sigma_mol,e_Sigma_mol,Sigma_atom,e_Sigma_atom,Sigma_star,e_Sigma_star,Sigma_SFR_FUVW4recal,e_Sigma_SFR_FUVW4recal
0.25,1.332e+00,5.521e+02,9.5e-01,nan,nan,6.250e+03,4.7e-01,2.805e-01,9.8e-05
0.75,1.310e+00,4.857e+02,5.6e-01,nan,nan,3.635e+03,2.4e-01,2.519e-01,1.0e-04
1.25,1.289e+00,1.732e+02,4.0e-01,nan,nan,9.060e+02,1.6e-01,1.177e-01,7.3e-05
1.75,1.269e+00,3.708e+01,2.8e-01,nan,nan,4.867e+02,1.6e-01,2.971e-02,4.8e-05
2.25,1.249e+00,1.641e+01,2.0e-01,nan,nan,4.700e+02,2.1e-01,7.995e-03,4.6e-05
2.75,1.229e+00,1.293e+01,1.5e-01,nan,nan,3.546e+02,2.0e-01,4.072e-03,4.7e-05
3.25,1.209e+00,8.412e+00,1.2e-01,nan,nan,2.686e+02,1.9e-01,3.263e-03,4.6e-05
3.75,1.190e+00,6.402e+00,9.9e-02,nan,nan,2.152e+02,1.8e-01,3.442e-03,4.9e-05
4.25,1.171e+00,6.791e+00,8.6e-02,nan,nan,1.823e+02,1.6e-01,3.454e-03,4.5e-05
4.75,1.152e+00,6.468e+00,8.0e-02,nan,nan,1.564e+02,1.5e-01,3.352e-03,4.3e-05
5.25,1.134e+00,7.885e+00,7.6e-02,nan,nan,1.340e+02,1.4e-01,3.425e-03,4.5e-05
5.75,1.115e+00,5.300e+00,7.1e-02,nan,nan,1.137e+02,1.3e-01,3.450e-03,4.3e-05
6.25,1.098e+00,6.318e+00,6.6e-02,nan,nan,9.599e+01,1.2e-01,3.277e-03,4.2e-05
6.75,1.080e+00,6.763e+00,6.1e-02,nan,nan,8.191e+01,1.1e-01,3.078e-03,4.2e-05
7.25,1.063e+00,4.696e+00,6.2e-02,nan,nan,6.389e+01,1.0e-01,2.773e-03,4.3e-05
7.75,1.046e+00,2.518e+00,6.6e-02,nan,nan,4.788e+01,9.8e-02,2.294e-03,4.2e-05
8.25,1.029e+00,2.025e+00,6.8e-02,nan,nan,4.081e+01,9.8e-02,1.822e-03,4.1e-05
8.75,1.013e+00,2.238e+00,7.1e-02,nan,nan,3.799e+01,9.8e-02,1.522e-03,4.0e-05
9.25,9.966e-01,2.853e+00,7.9e-02,nan,nan,3.460e+01,9.6e-02,1.339e-03,3.7e-05
9.75,9.807e-01,3.813e+00,1.0e-01,nan,nan,3.287e+01,9.6e-02,1.131e-03,3.4e-05
