r_gal,Zprime,Sigma_mol,e_Sigma_mol,Sigma_atom,e_Sigma_atom,Sigma_star,e_Sigma_star,Sigma_SFR_FUVW4recal,e_Sigma_SFR_FUVW4recal
0.25,1.316e+00,3.530e+02,4.8e-01,5.204e+00,4.5e-01,4.682e+03,3.1e-01,2.037e-01,1.1e-04
0.75,1.291e+00,7.580e+01,2.8e-01,5.968e+00,4.3e-01,1.020e+03,1.6e-01,1.015e-01,9.0e-05
1.25,1.266e+00,2.816e+01,2.0e-01,6.042e+00,3.4e-01,6.092e+02,1.5e-01,3.370e-02,6.7e-05
1.75,1.242e+00,2.309e+01,1.6e-01,6.548e+00,2.9e-01,5.367e+02,1.5e-01,1.281e-02,5.7e-05
2.25,1.218e+00,3.129e+01,1.3e-01,7.387e+00,2.6e-01,4.421e+02,1.3e-01,8.999e-03,5.3e-05
2.75,1.195e+00,2.175e+01,1.2e-01,7.843e+00,2.4e-01,3.972e+02,1.2e-01,8.559e-03,4.8e-05
3.25,1.172e+00,2.263e+01,1.1e-01,7.940e+00,2.2e-01,3.872e+02,1.1e-01,8.426e-03,4.5e-05
3.75,1.150e+00,1.768e+01,9.7e-02,7.986e+00,2.0e-01,3.055e+02,1.0e-01,8.767e-03,4.3e-05
4.25,1.128e+00,1.876e+01,8.8e-02,8.236e+00,1.7e-01,2.619e+02,9.3e-02,8.418e-03,4.3e-05
4.75,1.106e+00,1.840e+01,8.0e-02,8.489e+00,1.6e-01,2.262e+02,8.6e-02,7.772e-03,3.7e-05
5.25,1.085e+00,1.213e+01,7.3e-02,8.229e+00,1.4e-01,1.802e+02,8.4e-02,5.947e-03,3.8e-05
5.75,1.064e+00,9.670e+00,6.8e-02,8.398e+00,1.3e-01,1.487e+02,8.0e-02,4.662e-03,3.7e-05
6.25,1.044e+00,6.226e+00,6.4e-02,8.641e+00,1.2e-01,1.155e+02,7.7e-02,3.747e-03,3.7e-05
6.75,1.024e+00,5.310e+00,6.3e-02,8.415e+00,1.2e-01,9.707e+01,7.4e-02,3.017e-03,3.7e-05
7.25,1.004e+00,4.418e+00,6.2e-02,7.650e+00,1.1e-01,7.893e+01,7.2e-02,2.054e-03,3.4e-05
7.75,9.851e-01,3.441e+00,6.2e-02,6.834e+00,1.0e-01,6.893e+01,7.0e-02,1.674e-03,3.2e-05
8.25,9.662e-01,2.882e+00,6.7e-02,6.147e+00,9.3e-02,5.566e+01,6.7e-02,1.558e-03,3.3e-05
8.75,9.478e-01,2.449e+00,6.7e-02,5.546e+00,8.8e-02,4.702e+01,6.5e-02,1.390e-03,3.2e-05
9.25,9.296e-01,1.924e+00,7.1e-02,4.929e+00,8.3e-02,3.950e+01,6.3e-02,1.073e-03,3.2e-05
9.75,9.118e-01,2.047e+00,8.7e-02,4.645e+00,7.8e-02,3.225e+01,6.2e-02,7.696e-04,2.9e-05
10.25,8.944e-01,1.836e+00,1.0e-01,4.441e+00,7.3e-02,2.704e+01,6.0e-02,5.910e-04,2.7e-05
10.75,8.773e-01,1.093e+00,9.9e-02,4.356e+00,6.9e-02,2.369e+01,5.9e-02,5.460e-04,2.8e-05
11.25,8.605e-01,1.360e+00,1.1e-01,4.380e+00,6.6e-02,2.104e+01,5.8e-02,4.947e-04,2.8e-05
11.75,8.440e-01,1.340e+00,1.4e-01,4.404e+00,6.2e-02,1.909e+01,5.7e-02,4.582e-04,2.8e-05
12.25,8.279e-01,1.100e+00,1.4e-01,4.508e+00,5.9e-02,1.745e+01,5.6e-02,4.484e-04,2.9e-05
12.75,8.121e-01,1.025e+00,1.6e-01,4.717e+00,5.7e-02,1.557e+01,5.4e-02,3.931e-04,2.7e-05
13.25,7.965e-01,6.747e-01,1.9e-01,4.939e+00,5.4e-02,1.319e+01,5.3e-02,3.297e-04,2.7e-05
13.75,7.813e-01,1.269e+00,2.5e-01,5.107e+00,5.2e-02,1.133e+01,5.3e-02,3.196e-04,2.7e-05
14.25,7.663e-01,1.680e+00,3.1e-01,5.191e+00,5.1e-02,9.638e+00,5.2e-02,3.172e-04,2.7e-05
14.75,7.517e-01,0.000e+00,3.6e-01,5.265e+00,5.0e-02,8.157e+00,5.1e-02,2.890e-04,2.7e-05
15.25,7.373e-01,0.000e+00,4.9e-01,5.366e+00,4.9e-02,6.867e+00,5.0e-02,3.062e-04,2.9e-05
15.75,7.232e-01,0.000e+00,7.6e-01,5.450e+00,4.7e-02,5.805e+00,4.8e-02,2.980e-04,2.9e-05
16.25,7.093e-01,0.000e+00,1.8e+00,5.283e+00,4.6e-02,4.730e+00,4.6e-02,2.530e-04,2.9e-05
16.75,6.958e-01,nan,nan,4.882e+00,4.5e-02,3.773e+00,4.5e-02,2.109e-04,2.7e-05
17.25,6.825e-01,nan,nan,4.503e+00,4.4e-02,3.071e+00,4.4e-02,1.822e-04,2.6e-05
17.75,6.694e-01,nan,nan,4.235e+00,4.3e-02,2.682e+00,4.3e-02,1.683e-04,2.6e-05
18.25,6.566e-01,nan,nan,4.072e+00,4.2e-02,2.296e+00,4.2e-02,1.481e-04,2.6e-05
18.75,6.440e-01,nan,nan,3.873e+00,4.1e-02,2.192e+00,4.6e-02,1.297e-04,2.4e-05
19.25,6.317e-01,nan,nan,3.706e+00,4.0e-02,2.017e+00,4.7e-02,1.208e-04,2.4e-05
19.75,6.196e-01,nan,nan,3.571e+00,3.8e-02,1.762e+00,4.4e-02,1.090e-04,2.4e-05
20.25,6.078e-01,nan,nan,3.509e+00,3.8e-02,1.510e+00,4.2e-02,1.127e-04,2.4e-05
20.75,5.962e-01,nan,nan,3.406e+00,3.7e-02,1.146e+00,3.4e-02,0.000e+00,2.3e-05
21.25,5.847e-01,nan,nan,3.362e+00,3.6e-02,9.574e-01,3.3e-02,0.000e+00,2.3e-05
21.75,5.736e-01,nan,nan,3.303e+00,3.5e-02,8.048e-01,3.3e-02,0.000e+00,2.3e-05
22.25,5.626e-01,nan,nan,3.208e+00,3.5e-02,7.560e-01,3.3e-02,0.000e+00,2.4e-05
22.75,5.518e-01,nan,nan,2.986e+00,3.4e-02,7.070e-01,3.3e-02,0.000e+00,2.2e-05
23.25,5.413e-01,nan,nan,2.746e+00,3.4e-02,6.388e-01,3.3e-02,0.000e+00,2.2e-05
23.75,5.309e-01,nan,nan,2.528e+00,3.3e-02,5.438e-01,3.3e-02,0.000e+00,2.1e-05
24.25,5.208e-01,nan,nan,2.329e+00,3.2e-02,4.936e-01,3.3e-02,0.000e+00,2.2e-05
24.75,5.108e-01,nan,nan,2.143e+00,3.2e-02,4.830e-01,3.2e-02,0.000e+00,2.0e-05
25.25,5.010e-01,nan,nan,1.978e+00,3.1e-02,5.413e-01,3.8e-02,6.508e-05,1.8e-05
25.75,4.914e-01,nan,nan,1.821e+00,3.1e-02,3.847e-01,3.2e-02,0.000e+00,1.8e-05
26.25,4.820e-01,nan,nan,1.677e+00,3.1e-02,4.044e-01,3.2e-02,0.000e+00,1.9e-05
