r_gal,Zprime,Sigma_mol,e_Sigma_mol,Sigma_atom,e_Sigma_atom,Sigma_star,e_Sigma_star,Sigma_SFR_FUVW4recal,e_Sigma_SFR_FUVW4recal
0.25,1.173e+00,1.803e+02,9.2e-01,1.479e+01,5.6e-01,9.484e+02,5.1e-01,7.684e-02,2.4e-04
0.75,1.135e+00,5.266e+01,5.3e-01,1.501e+01,5.6e-01,2.933e+02,2.5e-01,5.073e-02,2.4e-04
1.25,1.099e+00,3.123e+01,3.8e-01,1.543e+01,5.4e-01,2.135e+02,2.0e-01,3.560e-02,2.0e-04
1.75,1.063e+00,1.821e+01,2.8e-01,1.570e+01,4.6e-01,1.731e+02,1.7e-01,2.643e-02,1.8e-04
2.25,1.029e+00,1.343e+01,2.3e-01,1.590e+01,4.0e-01,1.250e+02,1.6e-01,1.857e-02,1.6e-04
2.75,9.956e-01,1.212e+01,2.0e-01,1.619e+01,3.5e-01,1.123e+02,1.6e-01,1.242e-02,1.5e-04
3.25,9.634e-01,1.327e+01,1.8e-01,1.615e+01,3.3e-01,9.245e+01,1.5e-01,1.011e-02,1.3e-04
3.75,9.324e-01,1.041e+01,1.7e-01,1.574e+01,3.2e-01,7.093e+01,1.4e-01,7.340e-03,1.2e-04
4.25,9.023e-01,7.903e+00,1.5e-01,1.482e+01,2.8e-01,5.692e+01,1.3e-01,5.934e-03,1.2e-04
4.75,8.731e-01,6.238e+00,1.3e-01,1.314e+01,2.6e-01,4.094e+01,1.3e-01,3.506e-03,1.0e-04
5.25,8.450e-01,1.990e+00,1.1e-01,1.126e+01,2.4e-01,2.902e+01,1.4e-01,1.856e-03,9.5e-05
5.75,8.177e-01,7.628e-01,9.1e-02,9.066e+00,2.2e-01,2.280e+01,1.4e-01,1.104e-03,8.5e-05
6.25,7.913e-01,5.343e-01,1.0e-01,6.929e+00,2.1e-01,1.658e+01,1.4e-01,8.174e-04,8.3e-05
6.75,7.658e-01,0.000e+00,1.3e-01,5.039e+00,1.8e-01,1.175e+01,1.4e-01,5.249e-04,7.6e-05
7.25,7.411e-01,0.000e+00,1.8e-01,3.477e+00,1.8e-01,7.109e+00,1.1e-01,0.000e+00,6.9e-05
7.75,7.171e-01,0.000e+00,2.5e-01,2.226e+00,1.7e-01,5.099e+00,1.1e-01,0.000e+00,6.4e-05
8.25,6.940e-01,0.000e+00,3.3e-01,1.469e+00,1.5e-01,3.914e+00,1.1e-01,0.000e+00,6.4e-05
8.75,6.716e-01,0.000e+00,4.6e-01,1.125e+00,1.5e-01,2.719e+00,1.0e-01,0.000e+00,6.0e-05
9.25,6.499e-01,0.000e+00,8.7e-01,9.428e-01,1.4e-01,1.911e+00,9.9e-02,0.000e+00,5.9e-05
9.75,6.290e-01,0.000e+00,nan,7.051e-01,1.2e-01,1.580e+00,9.5e-02,0.000e+00,5.8e-05
10.25,6.087e-01,nan,nan,5.003e-01,1.2e-01,1.225e+00,9.3e-02,0.000e+00,5.7e-05
