r_gal,Zprime,Sigma_mol,e_Sigma_mol,Sigma_atom,e_Sigma_atom,Sigma_star,e_Sigma_star,Sigma_SFR_FUVW4recal,e_Sigma_SFR_FUVW4recal
0.25,8.403e-01,0.000e+00,2.6e-01,nan,nan,3.216e+01,2.5e-01,2.199e-02,2.4e-04
0.75,8.125e-01,0.000e+00,1.6e-01,nan,nan,3.041e+01,1.9e-01,8.960e-03,1.8e-04
1.25,7.855e-01,0.000e+00,1.4e-01,nan,nan,3.141e+01,1.9e-01,4.105e-03,1.4e-04
1.75,7.594e-01,0.000e+00,1.5e-01,nan,nan,2.725e+01,1.6e-01,3.490e-03,1.3e-04
2.25,7.342e-01,0.000e+00,1.8e-01,nan,nan,2.409e+01,1.3e-01,4.097e-03,1.0e-04
2.75,7.099e-01,0.000e+00,1.8e-01,nan,nan,1.890e+01,1.2e-01,2.652e-03,1.0e-04
3.25,6.863e-01,0.000e+00,2.0e-01,nan,nan,1.781e+01,1.2e-01,2.324e-03,9.2e-05
3.75,6.636e-01,0.000e+00,2.6e-01,nan,nan,1.133e+02,1.5e-01,2.092e-03,6.5e-05
4.25,6.416e-01,0.000e+00,3.7e-01,nan,nan,1.994e+02,1.4e-01,2.097e-03,5.2e-05
4.75,6.203e-01,0.000e+00,5.0e-01,nan,nan,1.014e+02,1.4e-01,2.704e-03,6.0e-05
5.25,5.997e-01,0.000e+00,6.7e-01,nan,nan,1.146e+01,7.7e-02,2.753e-03,7.2e-05
5.75,5.798e-01,1.034e+01,1.1e+00,nan,nan,2.741e+00,5.0e-02,2.070e-03,6.7e-05
6.25,5.606e-01,1.173e+01,1.6e+00,nan,nan,2.094e+00,4.8e-02,1.309e-03,6.7e-05
6.75,5.420e-01,0.000e+00,1.9e+00,nan,nan,2.753e+00,6.8e-02,6.776e-04,6.2e-05
7.25,5.240e-01,0.000e+00,nan,nan,nan,2.497e+00,7.9e-02,0.000e+00,6.1e-05
7.75,5.066e-01,nan,nan,nan,nan,2.252e+00,7.7e-02,0.000e+00,5.8e-05
8.25,4.898e-01,nan,nan,nan,nan,1.913e+00,7.6e-02,0.000e+00,5.7e-05
8.75,4.736e-01,nan,nan,nan,nan,1.613e+00,7.3e-02,0.000e+00,5.3e-05
