r_gal,Zprime,Sigma_mol,e_Sigma_mol,Sigma_atom,e_Sigma_atom,Sigma_star,e_Sigma_star,Sigma_SFR_FUVW4recal,e_Sigma_SFR_FUVW4recal
0.25,1.297e+00,6.437e+02,3.0e-01,4.147e+00,5.3e-01,3.190e+03,1.1e-01,1.212e+00,1.2e-04
0.75,1.261e+00,1.033e+02,1.7e-01,5.720e+00,2.9e-01,8.264e+02,1.0e-01,4.880e-02,4.6e-05
1.25,1.226e+00,4.310e+01,1.2e-01,5.008e+00,2.0e-01,5.793e+02,9.8e-02,2.120e-02,4.3e-05
1.75,1.192e+00,3.477e+01,9.2e-02,5.248e+00,1.7e-01,3.872e+02,7.3e-02,2.359e-02,4.1e-05
2.25,1.159e+00,5.099e+01,7.2e-02,8.247e+00,1.6e-01,3.046e+02,5.6e-02,2.506e-02,3.5e-05
2.75,1.127e+00,6.038e+01,6.8e-02,1.031e+01,1.4e-01,2.474e+02,3.9e-02,4.584e-02,3.9e-05
3.25,1.095e+00,3.174e+01,7.3e-02,9.991e+00,1.3e-01,1.969e+02,3.9e-02,3.201e-02,3.7e-05
3.75,1.065e+00,2.603e+01,6.6e-02,9.503e+00,1.2e-01,1.578e+02,3.8e-02,2.331e-02,3.4e-05
4.25,1.035e+00,1.971e+01,6.2e-02,9.026e+00,1.1e-01,1.345e+02,3.9e-02,1.630e-02,3.3e-05
4.75,1.007e+00,1.887e+01,6.1e-02,9.018e+00,1.1e-01,1.163e+02,3.8e-02,1.290e-02,3.1e-05
5.25,9.788e-01,1.514e+01,6.5e-02,9.198e+00,1.0e-01,1.004e+02,3.8e-02,9.557e-03,2.8e-05
5.75,9.516e-01,1.893e+01,7.5e-02,8.954e+00,9.5e-02,9.476e+01,4.0e-02,6.462e-03,2.5e-05
6.25,9.252e-01,1.100e+01,1.0e-01,7.278e+00,8.5e-02,8.278e+01,4.3e-02,3.761e-03,2.2e-05
6.75,8.995e-01,5.474e+00,1.5e-01,5.231e+00,7.5e-02,6.823e+01,4.4e-02,2.485e-03,2.1e-05
7.25,8.745e-01,1.692e+00,2.2e-01,3.805e+00,6.8e-02,6.092e+01,4.8e-02,1.407e-03,2.0e-05
7.75,8.502e-01,0.000e+00,5.5e-01,3.178e+00,6.6e-02,5.024e+01,4.8e-02,9.777e-04,1.9e-05
8.25,8.266e-01,nan,nan,2.706e+00,6.8e-02,4.035e+01,4.8e-02,6.788e-04,1.8e-05
8.75,8.036e-01,nan,nan,2.756e+00,7.0e-02,3.294e+01,4.9e-02,4.351e-04,1.7e-05
9.25,7.813e-01,nan,nan,3.437e+00,7.0e-02,2.364e+01,4.4e-02,4.311e-04,1.6e-05
9.75,7.596e-01,nan,nan,3.911e+00,6.7e-02,2.024e+01,4.5e-02,3.193e-04,1.6e-05
10.25,7.385e-01,nan,nan,4.235e+00,6.5e-02,1.629e+01,4.4e-02,2.738e-04,1.6e-05
10.75,7.180e-01,nan,nan,4.511e+00,6.5e-02,1.373e+01,4.2e-02,2.415e-04,1.6e-05
11.25,6.981e-01,nan,nan,4.563e+00,6.6e-02,1.214e+01,4.3e-02,2.039e-04,1.6e-05
11.75,6.787e-01,nan,nan,4.596e+00,6.6e-02,1.043e+01,4.4e-02,1.529e-04,1.6e-05
12.25,6.599e-01,nan,nan,4.736e+00,6.3e-02,8.051e+00,4.1e-02,1.622e-04,1.6e-05
12.75,6.415e-01,nan,nan,4.894e+00,6.0e-02,6.332e+00,4.1e-02,1.250e-04,1.5e-05
13.25,6.237e-01,nan,nan,4.263e+00,5.8e-02,4.094e+00,3.8e-02,1.202e-04,1.5e-05
13.75,6.064e-01,nan,nan,3.508e+00,5.7e-02,2.658e+00,3.4e-02,1.168e-04,1.4e-05
14.25,5.896e-01,nan,nan,3.034e+00,5.6e-02,1.820e+00,3.3e-02,1.061e-04,1.5e-05
14.75,5.732e-01,nan,nan,2.862e+00,5.2e-02,1.242e+00,2.8e-02,0.000e+00,1.5e-05
