r_gal,Zprime,Sigma_mol,e_Sigma_mol,Sigma_atom,e_Sigma_atom,Sigma_star,e_Sigma_star,Sigma_SFR_FUVW4recal,e_Sigma_SFR_FUVW4recal
0.25,1.191e+00,7.514e+01,3.5e-01,6.202e+00,3.0e-01,9.033e+02,6.5e-01,1.302e-02,1.3e-04
0.75,1.141e+00,2.557e+01,2.1e-01,6.075e+00,3.0e-01,4.210e+02,3.8e-01,8.325e-03,1.3e-04
1.25,1.093e+00,2.530e+01,1.6e-01,5.889e+00,3.0e-01,3.101e+02,2.9e-01,6.281e-03,1.1e-04
1.75,1.047e+00,2.418e+01,1.3e-01,5.822e+00,2.6e-01,2.394e+02,2.5e-01,5.268e-03,9.3e-05
2.25,1.004e+00,1.786e+01,1.2e-01,5.737e+00,2.2e-01,1.883e+02,2.2e-01,4.618e-03,9.1e-05
2.75,9.616e-01,1.591e+01,1.1e-01,5.641e+00,1.9e-01,1.500e+02,2.0e-01,3.563e-03,7.9e-05
3.25,9.213e-01,1.265e+01,1.0e-01,5.367e+00,1.7e-01,1.219e+02,1.8e-01,2.969e-03,8.2e-05
3.75,8.827e-01,1.302e+01,9.5e-02,5.079e+00,1.5e-01,1.028e+02,1.7e-01,2.649e-03,7.5e-05
4.25,8.457e-01,9.703e+00,9.3e-02,4.718e+00,1.4e-01,7.959e+01,1.6e-01,1.999e-03,7.1e-05
4.75,8.103e-01,8.078e+00,9.8e-02,4.087e+00,1.3e-01,6.029e+01,1.5e-01,1.354e-03,6.8e-05
5.25,7.764e-01,5.674e+00,1.0e-01,3.349e+00,1.2e-01,4.226e+01,1.5e-01,9.719e-04,5.9e-05
5.75,7.439e-01,3.348e+00,1.0e-01,2.541e+00,1.1e-01,2.858e+01,1.4e-01,5.652e-04,5.7e-05
6.25,7.127e-01,1.436e+00,1.1e-01,1.801e+00,1.0e-01,1.979e+01,1.4e-01,2.653e-04,5.0e-05
6.75,6.829e-01,9.441e-01,1.3e-01,1.177e+00,9.9e-02,1.015e+01,9.4e-02,0.000e+00,4.2e-05
7.25,6.543e-01,7.616e-01,1.7e-01,7.827e-01,9.4e-02,7.716e+00,9.2e-02,0.000e+00,3.7e-05
7.75,6.269e-01,0.000e+00,2.4e-01,5.337e-01,9.0e-02,6.112e+00,9.2e-02,0.000e+00,3.6e-05
8.25,6.006e-01,0.000e+00,4.2e-01,3.890e-01,8.4e-02,4.940e+00,9.1e-02,0.000e+00,3.7e-05
