r_gal,Zprime,Sigma_mol,e_Sigma_mol,Sigma_atom,e_Sigma_atom,Sigma_star,e_Sigma_star,Sigma_SFR_FUVW4recal,e_Sigma_SFR_FUVW4recal
0.25,1.259e+00,3.545e+02,6.2e-01,nan,nan,1.391e+03,1.1e+00,nan,nan
0.75,1.208e+00,5.729e+01,3.6e-01,nan,nan,3.238e+02,6.6e-01,nan,nan
1.25,1.158e+00,2.526e+01,2.6e-01,nan,nan,1.668e+02,5.6e-01,nan,nan
1.75,1.111e+00,2.051e+01,1.9e-01,nan,nan,1.512e+02,5.7e-01,nan,nan
2.25,1.065e+00,2.358e+01,1.7e-01,nan,nan,1.504e+02,5.6e-01,nan,nan
2.75,1.021e+00,2.365e+01,1.6e-01,nan,nan,1.336e+02,4.9e-01,nan,nan
3.25,9.796e-01,2.576e+01,1.5e-01,nan,nan,8.587e+01,3.5e-01,nan,nan
3.75,9.394e-01,2.177e+01,1.4e-01,nan,nan,7.829e+01,3.1e-01,nan,nan
4.25,9.009e-01,2.035e+01,1.4e-01,nan,nan,6.076e+01,3.0e-01,nan,nan
4.75,8.640e-01,1.428e+01,1.3e-01,nan,nan,4.297e+01,2.7e-01,nan,nan
5.25,8.286e-01,8.859e+00,1.3e-01,nan,nan,4.082e+01,2.7e-01,nan,nan
5.75,7.946e-01,6.529e+00,1.4e-01,nan,nan,3.790e+01,2.9e-01,nan,nan
6.25,7.620e-01,6.154e+00,1.8e-01,nan,nan,3.037e+01,3.0e-01,nan,nan
6.75,7.308e-01,4.280e+00,2.0e-01,nan,nan,2.741e+01,3.1e-01,nan,nan
7.25,7.009e-01,2.827e+00,2.3e-01,nan,nan,1.916e+01,2.9e-01,nan,nan
7.75,6.721e-01,1.323e+00,3.1e-01,nan,nan,1.467e+01,2.9e-01,nan,nan
8.25,6.446e-01,0.000e+00,4.9e-01,nan,nan,1.457e+01,3.3e-01,nan,nan
8.75,6.182e-01,0.000e+00,7.4e-01,nan,nan,1.078e+01,3.0e-01,nan,nan
9.25,5.928e-01,0.000e+00,1.7e+00,nan,nan,9.762e+00,3.1e-01,nan,nan
9.75,5.685e-01,nan,nan,nan,nan,6.267e+00,2.7e-01,nan,nan
10.25,5.452e-01,nan,nan,nan,nan,5.833e+00,2.8e-01,nan,nan
10.75,5.229e-01,nan,nan,nan,nan,4.265e+00,2.4e-01,nan,nan
11.25,5.014e-01,nan,nan,nan,nan,5.075e+00,2.9e-01,nan,nan
11.75,4.809e-01,nan,nan,nan,nan,5.102e+00,3.0e-01,nan,nan
12.25,4.612e-01,nan,nan,nan,nan,3.652e+00,3.1e-01,nan,nan
12.75,4.423e-01,nan,nan,nan,nan,2.153e+00,2.1e-01,nan,nan
13.25,4.242e-01,nan,nan,nan,nan,3.224e+00,3.0e-01,nan,nan
13.75,4.068e-01,nan,nan,nan,nan,2.885e+00,2.8e-01,nan,nan
14.25,3.901e-01,nan,nan,nan,nan,2.854e+00,2.7e-01,nan,nan
14.75,3.741e-01,nan,nan,nan,nan,4.658e+00,2.6e-01,nan,nan
