r_gal,Zprime,Sigma_mol,e_Sigma_mol,Sigma_atom,e_Sigma_atom,Sigma_star,e_Sigma_star,Sigma_SFR_FUVW4recal,e_Sigma_SFR_FUVW4recal
0.25,1.266e+00,1.205e+02,3.9e-01,nan,nan,4.832e+03,1.1e+00,1.106e-02,1.6e-04
0.75,1.221e+00,5.272e+00,2.0e-01,nan,nan,9.614e+02,6.4e-01,6.129e-03,1.5e-04
1.25,1.177e+00,1.679e+00,1.4e-01,nan,nan,4.727e+02,5.0e-01,2.101e-03,1.3e-04
1.75,1.134e+00,0.000e+00,5.1e-02,nan,nan,2.035e+02,3.0e-01,0.000e+00,8.0e-05
2.25,1.094e+00,0.000e+00,5.7e-02,nan,nan,1.380e+02,2.6e-01,0.000e+00,9.1e-05
2.75,1.054e+00,0.000e+00,8.7e-02,nan,nan,1.057e+02,2.3e-01,0.000e+00,8.5e-05
3.25,1.016e+00,0.000e+00,1.7e-01,nan,nan,9.034e+01,2.2e-01,0.000e+00,8.7e-05
3.75,9.796e-01,nan,nan,nan,nan,7.917e+01,2.0e-01,0.000e+00,8.6e-05
4.25,9.444e-01,nan,nan,nan,nan,7.047e+01,1.9e-01,0.000e+00,7.5e-05
4.75,9.104e-01,nan,nan,nan,nan,6.121e+01,1.8e-01,0.000e+00,5.9e-05
5.25,8.776e-01,nan,nan,nan,nan,4.763e+01,1.7e-01,0.000e+00,6.3e-05
5.75,8.460e-01,nan,nan,nan,nan,3.460e+01,1.6e-01,0.000e+00,6.9e-05
6.25,8.155e-01,nan,nan,nan,nan,2.504e+01,1.6e-01,0.000e+00,7.2e-05
6.75,7.861e-01,nan,nan,nan,nan,1.840e+01,1.6e-01,0.000e+00,7.3e-05
7.25,7.578e-01,nan,nan,nan,nan,1.317e+01,1.5e-01,0.000e+00,7.3e-05
7.75,7.305e-01,nan,nan,nan,nan,1.007e+01,1.5e-01,0.000e+00,7.9e-05
8.25,7.042e-01,nan,nan,nan,nan,7.694e+00,1.4e-01,0.000e+00,7.5e-05
8.75,6.789e-01,nan,nan,nan,nan,6.163e+00,1.4e-01,0.000e+00,7.4e-05
9.25,6.544e-01,nan,nan,nan,nan,5.091e+00,1.3e-01,0.000e+00,6.2e-05
9.75,6.309e-01,nan,nan,nan,nan,4.728e+00,1.3e-01,0.000e+00,7.3e-05
10.25,6.081e-01,nan,nan,nan,nan,3.903e+00,1.3e-01,0.000e+00,6.9e-05
10.75,5.863e-01,nan,nan,nan,nan,2.838e+00,1.2e-01,0.000e+00,8.2e-05
11.25,5.651e-01,nan,nan,nan,nan,3.023e+00,1.2e-01,0.000e+00,8.6e-05
11.75,5.448e-01,nan,nan,nan,nan,2.058e+00,1.2e-01,0.000e+00,8.0e-05
