r_gal,Zprime,Sigma_mol,e_Sigma_mol,Sigma_atom,e_Sigma_atom,Sigma_star,e_Sigma_star,Sigma_SFR_FUVW4recal,e_Sigma_SFR_FUVW4recal
0.25,1.286e+00,2.522e+02,8.8e-01,nan,nan,1.443e+03,9.0e-01,nan,nan
0.75,1.245e+00,6.317e+01,4.8e-01,nan,nan,4.556e+02,5.2e-01,nan,nan
1.25,1.206e+00,2.642e+01,3.2e-01,nan,nan,2.764e+02,5.1e-01,nan,nan
1.75,1.167e+00,1.360e+01,2.2e-01,nan,nan,2.284e+02,5.6e-01,nan,nan
2.25,1.130e+00,2.617e+01,1.8e-01,nan,nan,2.026e+02,4.7e-01,nan,nan
2.75,1.094e+00,1.876e+01,1.6e-01,nan,nan,1.781e+02,4.2e-01,nan,nan
3.25,1.059e+00,1.721e+01,1.4e-01,nan,nan,1.341e+02,3.8e-01,nan,nan
3.75,1.025e+00,1.622e+01,1.3e-01,nan,nan,1.041e+02,3.6e-01,nan,nan
4.25,9.925e-01,1.324e+01,1.2e-01,nan,nan,8.949e+01,3.6e-01,nan,nan
4.75,9.609e-01,7.787e+00,1.1e-01,nan,nan,7.124e+01,3.7e-01,nan,nan
5.25,9.302e-01,4.893e+00,1.2e-01,nan,nan,6.196e+01,4.4e-01,nan,nan
5.75,9.006e-01,3.551e+00,1.4e-01,nan,nan,4.815e+01,5.1e-01,nan,nan
6.25,8.718e-01,2.767e+00,1.7e-01,nan,nan,3.844e+01,6.1e-01,nan,nan
6.75,8.440e-01,1.659e+00,2.0e-01,nan,nan,3.356e+01,5.7e-01,nan,nan
7.25,8.171e-01,8.628e-01,2.5e-01,nan,nan,2.726e+01,5.6e-01,nan,nan
7.75,7.911e-01,0.000e+00,3.3e-01,nan,nan,2.083e+01,4.9e-01,nan,nan
8.25,7.658e-01,0.000e+00,5.1e-01,nan,nan,1.759e+01,4.6e-01,nan,nan
8.75,7.414e-01,0.000e+00,1.1e+00,nan,nan,1.687e+01,4.6e-01,nan,nan
9.25,7.178e-01,nan,nan,nan,nan,1.248e+01,4.0e-01,nan,nan
9.75,6.949e-01,nan,nan,nan,nan,9.860e+00,3.8e-01,nan,nan
10.25,6.727e-01,nan,nan,nan,nan,7.748e+00,3.3e-01,nan,nan
10.75,6.513e-01,nan,nan,nan,nan,5.615e+00,3.2e-01,nan,nan
11.25,6.305e-01,nan,nan,nan,nan,4.350e+00,3.1e-01,nan,nan
11.75,6.104e-01,nan,nan,nan,nan,3.404e+00,3.1e-01,nan,nan
12.25,5.909e-01,nan,nan,nan,nan,4.056e+00,3.1e-01,nan,nan
12.75,5.721e-01,nan,nan,nan,nan,4.627e+00,2.9e-01,nan,nan
13.25,5.538e-01,nan,nan,nan,nan,2.809e+00,2.8e-01,nan,nan
