r_gal,Zprime,Sigma_mol,e_Sigma_mol,Sigma_atom,e_Sigma_atom,Sigma_star,e_Sigma_star,Sigma_SFR_FUVW4recal,e_Sigma_SFR_FUVW4recal
0.25,1.276e+00,1.966e+02,6.9e-01,8.032e+00,3.2e-01,3.286e+03,6.7e-01,4.501e-02,1.9e-04
0.75,1.227e+00,1.048e+02,4.1e-01,8.157e+00,3.0e-01,1.251e+03,3.3e-01,4.232e-02,1.7e-04
1.25,1.180e+00,9.591e+01,3.0e-01,8.717e+00,2.2e-01,7.108e+02,2.3e-01,3.676e-02,1.4e-04
1.75,1.136e+00,8.459e+01,2.4e-01,1.008e+01,1.9e-01,4.253e+02,1.8e-01,2.783e-02,1.2e-04
2.25,1.092e+00,6.943e+01,2.1e-01,1.131e+01,1.6e-01,3.062e+02,1.5e-01,2.436e-02,1.2e-04
2.75,1.051e+00,5.347e+01,2.0e-01,1.192e+01,1.4e-01,2.320e+02,1.3e-01,2.183e-02,1.1e-04
3.25,1.011e+00,4.902e+01,1.9e-01,1.232e+01,1.3e-01,1.843e+02,1.2e-01,1.752e-02,1.1e-04
3.75,9.725e-01,3.626e+01,1.9e-01,1.266e+01,1.1e-01,1.252e+02,1.0e-01,1.557e-02,1.0e-04
4.25,9.355e-01,3.393e+01,1.8e-01,1.285e+01,1.0e-01,1.049e+02,9.8e-02,1.310e-02,1.0e-04
4.75,9.000e-01,2.649e+01,1.9e-01,1.292e+01,9.3e-02,7.940e+01,8.8e-02,1.176e-02,9.9e-05
5.25,8.658e-01,2.696e+01,2.0e-01,1.280e+01,9.0e-02,6.906e+01,8.7e-02,9.141e-03,9.6e-05
5.75,8.329e-01,2.016e+01,1.9e-01,1.247e+01,8.3e-02,5.214e+01,8.4e-02,6.616e-03,8.5e-05
6.25,8.012e-01,1.140e+01,1.8e-01,1.201e+01,8.0e-02,4.177e+01,8.4e-02,5.039e-03,8.6e-05
6.75,7.707e-01,1.075e+01,1.8e-01,1.152e+01,7.6e-02,3.507e+01,7.4e-02,5.232e-03,9.4e-05
7.25,7.414e-01,1.072e+01,2.1e-01,1.092e+01,7.4e-02,2.974e+01,7.1e-02,4.386e-03,8.5e-05
7.75,7.133e-01,1.353e+01,2.6e-01,1.019e+01,7.2e-02,2.747e+01,7.5e-02,3.255e-03,8.1e-05
8.25,6.861e-01,8.962e+00,2.7e-01,9.266e+00,6.8e-02,2.138e+01,7.6e-02,2.371e-03,7.3e-05
8.75,6.601e-01,9.126e+00,2.8e-01,8.413e+00,6.6e-02,1.689e+01,7.6e-02,1.801e-03,7.3e-05
9.25,6.350e-01,1.140e+01,3.2e-01,7.465e+00,6.3e-02,1.402e+01,7.8e-02,1.335e-03,7.0e-05
9.75,6.108e-01,5.858e+00,4.0e-01,6.527e+00,6.0e-02,9.940e+00,7.9e-02,9.458e-04,6.9e-05
10.25,5.876e-01,9.365e+00,5.9e-01,5.595e+00,5.8e-02,7.255e+00,7.5e-02,6.960e-04,6.5e-05
10.75,5.653e-01,8.891e+00,9.0e-01,4.762e+00,5.6e-02,4.414e+00,6.8e-02,5.355e-04,6.1e-05
11.25,5.438e-01,0.000e+00,1.1e+00,3.910e+00,5.3e-02,3.056e+00,6.7e-02,3.823e-04,6.1e-05
11.75,5.231e-01,0.000e+00,4.4e+00,3.231e+00,5.1e-02,1.984e+00,6.2e-02,3.148e-04,6.0e-05
12.25,5.032e-01,nan,nan,2.625e+00,5.0e-02,1.655e+00,6.8e-02,2.356e-04,5.7e-05
12.75,4.841e-01,nan,nan,2.078e+00,4.7e-02,1.340e+00,7.5e-02,0.000e+00,5.7e-05
13.25,4.657e-01,nan,nan,1.718e+00,4.4e-02,9.883e-01,7.3e-02,0.000e+00,5.4e-05
13.75,4.480e-01,nan,nan,1.430e+00,4.0e-02,7.101e-01,7.2e-02,0.000e+00,5.2e-05
14.25,4.310e-01,nan,nan,1.168e+00,3.9e-02,5.389e-01,7.0e-02,0.000e+00,5.2e-05
