r_gal,Zprime,Sigma_mol,e_Sigma_mol,Sigma_atom,e_Sigma_atom,Sigma_star,e_Sigma_star,Sigma_SFR_FUVW4recal,e_Sigma_SFR_FUVW4recal
0.25,1.190e+00,6.841e+01,9.0e-01,2.021e+01,3.4e-01,9.062e+02,5.1e-01,1.084e-01,2.7e-04
0.75,1.158e+00,4.218e+01,5.2e-01,2.027e+01,3.4e-01,4.552e+02,2.8e-01,7.340e-02,2.5e-04
1.25,1.128e+00,3.284e+01,3.9e-01,2.040e+01,3.4e-01,3.298e+02,2.2e-01,5.490e-02,2.0e-04
1.75,1.098e+00,3.992e+01,3.1e-01,2.008e+01,3.4e-01,2.441e+02,1.7e-01,4.807e-02,2.0e-04
2.25,1.069e+00,2.942e+01,2.7e-01,1.989e+01,3.3e-01,1.659e+02,1.5e-01,3.442e-02,1.7e-04
2.75,1.041e+00,1.895e+01,2.4e-01,1.899e+01,3.2e-01,9.846e+01,1.3e-01,2.165e-02,1.5e-04
3.25,1.014e+00,1.186e+01,2.1e-01,1.778e+01,3.1e-01,7.708e+01,1.3e-01,1.450e-02,1.4e-04
3.75,9.870e-01,9.279e+00,1.8e-01,1.636e+01,2.7e-01,6.118e+01,1.3e-01,9.993e-03,1.3e-04
4.25,9.610e-01,6.475e+00,1.4e-01,1.459e+01,2.6e-01,5.015e+01,1.3e-01,7.061e-03,1.3e-04
4.75,9.357e-01,4.292e+00,1.3e-01,1.279e+01,2.4e-01,3.721e+01,1.2e-01,5.702e-03,1.2e-04
5.25,9.111e-01,3.254e+00,1.1e-01,1.089e+01,2.1e-01,3.108e+01,1.3e-01,3.652e-03,1.1e-04
5.75,8.871e-01,1.843e+00,9.7e-02,9.056e+00,2.0e-01,2.297e+01,1.3e-01,1.891e-03,9.9e-05
6.25,8.637e-01,3.675e-01,8.6e-02,7.388e+00,1.9e-01,1.818e+01,1.4e-01,9.616e-04,8.1e-05
6.75,8.410e-01,0.000e+00,1.0e-01,5.813e+00,1.8e-01,1.533e+01,1.6e-01,5.047e-04,7.4e-05
7.25,8.189e-01,0.000e+00,1.4e-01,4.533e+00,1.6e-01,1.303e+01,1.6e-01,2.891e-04,6.6e-05
7.75,7.973e-01,0.000e+00,1.6e-01,3.499e+00,1.5e-01,9.601e+00,1.5e-01,2.648e-04,6.3e-05
8.25,7.763e-01,0.000e+00,1.8e-01,2.729e+00,1.4e-01,5.904e+00,1.1e-01,0.000e+00,6.2e-05
8.75,7.559e-01,0.000e+00,2.3e-01,2.189e+00,1.4e-01,4.736e+00,1.1e-01,0.000e+00,6.0e-05
9.25,7.360e-01,0.000e+00,3.2e-01,1.774e+00,1.3e-01,3.645e+00,1.1e-01,0.000e+00,5.8e-05
9.75,7.166e-01,0.000e+00,4.5e-01,1.521e+00,1.2e-01,2.639e+00,1.0e-01,0.000e+00,5.6e-05
10.25,6.978e-01,0.000e+00,6.4e-01,1.327e+00,1.2e-01,2.427e+00,1.0e-01,0.000e+00,5.4e-05
10.75,6.794e-01,0.000e+00,1.1e+00,1.200e+00,1.1e-01,1.824e+00,9.8e-02,0.000e+00,5.5e-05
11.25,6.615e-01,0.000e+00,7.6e+00,1.083e+00,1.1e-01,1.328e+00,9.5e-02,0.000e+00,5.7e-05
11.75,6.441e-01,nan,nan,9.733e-01,1.1e-01,1.090e+00,9.4e-02,0.000e+00,5.5e-05
12.25,6.272e-01,nan,nan,8.550e-01,9.7e-02,8.808e-01,9.3e-02,0.000e+00,5.2e-05
12.75,6.107e-01,nan,nan,7.312e-01,9.2e-02,5.811e-01,9.2e-02,0.000e+00,5.5e-05
