r_gal,Zprime,Sigma_mol,e_Sigma_mol,Sigma_atom,e_Sigma_atom,Sigma_star,e_Sigma_star,Sigma_SFR_FUVW4recal,e_Sigma_SFR_FUVW4recal
0.25,1.234e+00,5.597e+01,5.5e-01,1.624e+00,1.5e-01,3.171e+03,6.9e-01,3.126e-02,1.1e-04
0.75,1.196e+00,9.858e+00,2.8e-01,1.669e+00,1.6e-01,3.940e+02,3.3e-01,1.518e-02,1.1e-04
1.25,1.158e+00,1.779e+00,1.6e-01,1.698e+00,1.6e-01,2.367e+02,2.8e-01,5.814e-03,9.4e-05
1.75,1.122e+00,2.518e+00,1.1e-01,1.698e+00,1.5e-01,1.978e+02,2.7e-01,1.894e-03,8.1e-05
2.25,1.087e+00,5.161e+00,9.7e-02,1.669e+00,1.4e-01,1.587e+02,2.4e-01,1.442e-03,9.1e-05
2.75,1.053e+00,5.797e+00,8.9e-02,1.663e+00,1.3e-01,1.379e+02,2.2e-01,1.562e-03,8.8e-05
3.25,1.020e+00,4.655e+00,8.2e-02,1.639e+00,1.3e-01,1.189e+02,2.0e-01,1.672e-03,9.0e-05
3.75,9.885e-01,4.383e+00,7.8e-02,1.637e+00,1.2e-01,1.001e+02,1.8e-01,1.635e-03,8.3e-05
4.25,9.576e-01,3.907e+00,7.7e-02,1.581e+00,1.2e-01,7.527e+01,1.7e-01,1.195e-03,7.4e-05
4.75,9.277e-01,2.275e+00,8.3e-02,1.537e+00,1.1e-01,5.225e+01,1.6e-01,8.010e-04,7.0e-05
5.25,8.987e-01,1.474e+00,1.0e-01,1.508e+00,1.0e-01,3.574e+01,1.6e-01,5.261e-04,6.9e-05
5.75,8.707e-01,1.099e+00,1.3e-01,1.399e+00,1.0e-01,1.855e+01,1.0e-01,0.000e+00,6.1e-05
6.25,8.435e-01,0.000e+00,1.7e-01,1.340e+00,9.6e-02,1.550e+01,1.0e-01,0.000e+00,5.0e-05
6.75,8.172e-01,0.000e+00,3.1e-01,1.256e+00,9.0e-02,1.380e+01,9.7e-02,0.000e+00,4.3e-05
7.25,7.917e-01,0.000e+00,1.5e+00,1.144e+00,8.6e-02,1.267e+01,9.4e-02,0.000e+00,4.8e-05
7.75,7.669e-01,nan,nan,1.041e+00,8.2e-02,1.088e+01,9.2e-02,0.000e+00,4.9e-05
8.25,7.430e-01,nan,nan,9.363e-01,7.9e-02,9.456e+00,8.9e-02,0.000e+00,4.9e-05
8.75,7.198e-01,nan,nan,8.136e-01,7.7e-02,7.648e+00,8.7e-02,0.000e+00,5.1e-05
9.25,6.973e-01,nan,nan,6.852e-01,7.1e-02,5.986e+00,8.4e-02,0.000e+00,5.0e-05
9.75,6.756e-01,nan,nan,5.724e-01,6.7e-02,4.449e+00,8.1e-02,0.000e+00,4.4e-05
10.25,6.545e-01,nan,nan,4.679e-01,6.4e-02,3.248e+00,7.9e-02,0.000e+00,4.5e-05
10.75,6.340e-01,nan,nan,3.632e-01,5.9e-02,2.257e+00,7.7e-02,0.000e+00,4.9e-05
