r_gal,Zprime,Sigma_mol,e_Sigma_mol,Sigma_atom,e_Sigma_atom,Sigma_star,e_Sigma_star,Sigma_SFR_FUVW4recal,e_Sigma_SFR_FUVW4recal
0.25,1.279e+00,2.728e+02,1.1e+00,7.229e+00,6.5e-01,1.005e+04,9.1e-01,4.131e-02,1.8e-04
0.75,1.239e+00,7.635e+01,5.5e-01,7.204e+00,6.4e-01,1.414e+03,4.9e-01,2.297e-02,1.7e-04
1.25,1.200e+00,3.674e+01,3.4e-01,7.012e+00,4.7e-01,6.433e+02,4.1e-01,8.629e-03,1.7e-04
1.75,1.163e+00,2.774e+01,2.2e-01,6.330e+00,4.1e-01,3.888e+02,3.4e-01,4.282e-03,1.4e-04
2.25,1.127e+00,1.043e+01,1.6e-01,5.226e+00,3.4e-01,2.538e+02,3.0e-01,2.117e-03,1.1e-04
2.75,1.092e+00,1.586e+00,1.3e-01,4.001e+00,3.0e-01,1.556e+02,2.7e-01,6.847e-04,8.5e-05
3.25,1.057e+00,6.266e-01,1.5e-01,2.851e+00,2.7e-01,6.606e+01,1.8e-01,0.000e+00,7.4e-05
3.75,1.025e+00,0.000e+00,2.7e-01,2.098e+00,2.5e-01,4.429e+01,1.7e-01,0.000e+00,6.4e-05
4.25,9.926e-01,0.000e+00,7.8e-01,1.498e+00,2.1e-01,3.680e+01,1.6e-01,0.000e+00,5.9e-05
4.75,9.617e-01,nan,nan,1.177e+00,1.9e-01,3.423e+01,1.5e-01,0.000e+00,5.3e-05
5.25,9.317e-01,nan,nan,9.673e-01,1.7e-01,3.079e+01,1.4e-01,0.000e+00,5.1e-05
5.75,9.027e-01,nan,nan,8.541e-01,1.5e-01,2.568e+01,1.4e-01,0.000e+00,4.9e-05
6.25,8.745e-01,nan,nan,6.865e-01,1.4e-01,1.905e+01,1.3e-01,0.000e+00,4.6e-05
6.75,8.473e-01,nan,nan,5.295e-01,1.1e-01,1.428e+01,1.3e-01,0.000e+00,4.7e-05
7.25,8.209e-01,nan,nan,3.889e-01,8.9e-02,1.137e+01,1.2e-01,0.000e+00,4.1e-05
7.75,7.953e-01,nan,nan,2.805e-01,7.9e-02,9.592e+00,1.2e-01,0.000e+00,4.1e-05
8.25,7.705e-01,nan,nan,0.000e+00,6.7e-02,8.450e+00,1.2e-01,0.000e+00,3.7e-05
8.75,7.465e-01,nan,nan,0.000e+00,5.1e-02,7.467e+00,1.2e-01,0.000e+00,3.4e-05
9.25,7.232e-01,nan,nan,0.000e+00,4.4e-02,6.245e+00,1.1e-01,0.000e+00,3.6e-05
