r_gal,Zprime,Sigma_mol,e_Sigma_mol,Sigma_atom,e_Sigma_atom,Sigma_star,e_Sigma_star,Sigma_SFR_FUVW4recal,e_Sigma_SFR_FUVW4recal
0.25,1.355e+00,0.000e+00,3.3e-01,0.000e+00,3.9e-01,9.389e+03,1.2e+00,2.782e-03,1.2e-04
0.75,1.332e+00,0.000e+00,1.9e-01,0.000e+00,4.9e-01,3.289e+03,7.1e-01,1.922e-03,1.2e-04
1.25,1.310e+00,0.000e+00,1.5e-01,0.000e+00,5.8e-01,1.761e+03,5.5e-01,1.240e-03,1.2e-04
1.75,1.289e+00,0.000e+00,1.3e-01,0.000e+00,6.0e-01,1.154e+03,4.7e-01,1.024e-03,1.1e-04
2.25,1.268e+00,9.618e-01,1.3e-01,0.000e+00,5.9e-01,8.341e+02,4.1e-01,9.984e-04,9.7e-05
2.75,1.247e+00,2.701e+00,1.7e-01,0.000e+00,5.7e-01,6.502e+02,3.7e-01,1.486e-03,9.3e-05
3.25,1.226e+00,7.485e+00,2.2e-01,2.014e+00,5.3e-01,5.405e+02,3.4e-01,2.258e-03,1.1e-04
3.75,1.206e+00,1.097e+01,2.4e-01,2.620e+00,4.8e-01,4.656e+02,3.2e-01,3.092e-03,1.3e-04
4.25,1.186e+00,1.267e+01,2.4e-01,2.975e+00,4.7e-01,4.159e+02,3.0e-01,3.556e-03,1.1e-04
4.75,1.167e+00,1.312e+01,2.3e-01,3.229e+00,4.5e-01,3.621e+02,2.8e-01,3.522e-03,1.1e-04
5.25,1.148e+00,1.264e+01,2.1e-01,3.319e+00,4.2e-01,3.052e+02,2.7e-01,3.024e-03,1.1e-04
5.75,1.129e+00,7.738e+00,1.9e-01,3.358e+00,4.0e-01,2.541e+02,2.6e-01,2.427e-03,1.0e-04
6.25,1.110e+00,5.194e+00,1.5e-01,3.354e+00,3.8e-01,2.111e+02,2.5e-01,1.673e-03,9.3e-05
6.75,1.092e+00,3.581e+00,1.2e-01,3.157e+00,3.6e-01,1.776e+02,2.4e-01,1.101e-03,8.2e-05
7.25,1.074e+00,1.906e+00,1.0e-01,3.014e+00,3.3e-01,1.498e+02,2.3e-01,8.658e-04,8.2e-05
7.75,1.056e+00,7.532e-01,1.2e-01,2.688e+00,3.2e-01,1.244e+02,2.2e-01,6.022e-04,7.6e-05
8.25,1.039e+00,5.204e-01,1.6e-01,2.215e+00,2.9e-01,1.036e+02,2.1e-01,4.094e-04,7.0e-05
8.75,1.022e+00,7.149e-01,2.0e-01,1.475e+00,2.6e-01,6.034e+01,1.5e-01,0.000e+00,5.6e-05
9.25,1.005e+00,0.000e+00,2.3e-01,9.120e-01,2.4e-01,5.151e+01,1.4e-01,0.000e+00,5.1e-05
9.75,9.885e-01,0.000e+00,2.7e-01,0.000e+00,2.1e-01,4.525e+01,1.4e-01,0.000e+00,4.9e-05
10.25,9.723e-01,0.000e+00,3.4e-01,0.000e+00,1.8e-01,4.041e+01,1.4e-01,0.000e+00,4.7e-05
10.75,9.563e-01,0.000e+00,4.2e-01,0.000e+00,1.5e-01,3.570e+01,1.3e-01,0.000e+00,4.7e-05
11.25,9.405e-01,0.000e+00,5.4e-01,0.000e+00,1.4e-01,3.193e+01,1.3e-01,0.000e+00,4.2e-05
11.75,9.251e-01,0.000e+00,6.9e-01,0.000e+00,1.2e-01,2.886e+01,1.3e-01,0.000e+00,4.4e-05
12.25,9.099e-01,0.000e+00,8.7e-01,0.000e+00,1.0e-01,2.561e+01,1.3e-01,0.000e+00,4.3e-05
12.75,8.949e-01,0.000e+00,1.1e+00,0.000e+00,9.6e-02,2.343e+01,1.2e-01,0.000e+00,4.3e-05
13.25,8.802e-01,0.000e+00,1.5e+00,0.000e+00,8.5e-02,2.166e+01,1.2e-01,0.000e+00,4.5e-05
13.75,8.657e-01,0.000e+00,2.2e+00,0.000e+00,6.5e-02,1.923e+01,1.2e-01,0.000e+00,4.5e-05
14.25,8.515e-01,0.000e+00,nan,0.000e+00,6.0e-02,1.757e+01,1.2e-01,0.000e+00,4.8e-05
14.75,8.375e-01,nan,nan,0.000e+00,6.1e-02,1.615e+01,1.2e-01,0.000e+00,4.5e-05
15.25,8.237e-01,nan,nan,0.000e+00,5.9e-02,1.451e+01,1.1e-01,0.000e+00,4.6e-05
15.75,8.102e-01,nan,nan,0.000e+00,5.8e-02,1.348e+01,1.1e-01,0.000e+00,4.2e-05
16.25,7.968e-01,nan,nan,0.000e+00,5.7e-02,1.230e+01,1.1e-01,0.000e+00,4.0e-05
16.75,7.837e-01,nan,nan,0.000e+00,5.7e-02,1.073e+01,1.1e-01,0.000e+00,3.9e-05
