r_gal,Zprime,Sigma_mol,e_Sigma_mol,Sigma_atom,e_Sigma_atom,Sigma_star,e_Sigma_star,Sigma_SFR_FUVW4recal,e_Sigma_SFR_FUVW4recal
0.25,1.078e+00,4.056e+01,4.3e-01,nan,nan,6.087e+02,5.1e-01,2.585e-02,1.2e-04
0.75,1.031e+00,2.396e+01,2.4e-01,nan,nan,2.771e+02,2.8e-01,1.633e-02,1.0e-04
1.25,9.859e-01,1.776e+01,1.8e-01,nan,nan,1.883e+02,2.2e-01,1.083e-02,8.0e-05
1.75,9.429e-01,1.231e+01,1.5e-01,nan,nan,1.407e+02,1.9e-01,7.636e-03,7.1e-05
2.25,9.018e-01,7.828e+00,1.2e-01,nan,nan,1.006e+02,1.7e-01,5.180e-03,5.8e-05
2.75,8.625e-01,5.678e+00,1.0e-01,nan,nan,7.510e+01,1.6e-01,3.460e-03,5.6e-05
3.25,8.249e-01,5.140e+00,8.9e-02,nan,nan,5.450e+01,1.4e-01,2.681e-03,5.0e-05
3.75,7.889e-01,2.315e+00,7.8e-02,nan,nan,3.804e+01,1.3e-01,1.950e-03,5.1e-05
4.25,7.545e-01,1.197e+00,7.9e-02,nan,nan,2.717e+01,1.3e-01,1.236e-03,4.4e-05
4.75,7.216e-01,5.493e-01,8.6e-02,nan,nan,1.893e+01,1.3e-01,5.862e-04,4.1e-05
5.25,6.901e-01,0.000e+00,1.1e-01,nan,nan,1.230e+01,1.3e-01,2.491e-04,3.3e-05
5.75,6.600e-01,0.000e+00,1.6e-01,nan,nan,8.629e+00,1.3e-01,1.333e-04,2.6e-05
6.25,6.312e-01,0.000e+00,2.6e-01,nan,nan,4.156e+00,8.5e-02,0.000e+00,2.5e-05
6.75,6.037e-01,0.000e+00,5.9e-01,nan,nan,2.796e+00,8.0e-02,0.000e+00,2.5e-05
7.25,5.774e-01,nan,nan,nan,nan,1.881e+00,7.7e-02,0.000e+00,2.3e-05
7.75,5.522e-01,nan,nan,nan,nan,1.147e+00,7.5e-02,0.000e+00,2.2e-05
8.25,5.281e-01,nan,nan,nan,nan,8.098e-01,7.2e-02,0.000e+00,2.1e-05
