r_gal,Zprime,Sigma_mol,e_Sigma_mol,Sigma_atom,e_Sigma_atom,Sigma_star,e_Sigma_star,Sigma_SFR_FUVW4recal,e_Sigma_SFR_FUVW4recal
0.25,1.057e+00,3.537e+01,3.6e-01,1.267e+01,3.8e-01,7.026e+02,5.0e-01,1.410e-02,1.6e-04
0.75,9.925e-01,2.337e+01,2.1e-01,1.258e+01,3.8e-01,3.209e+02,2.6e-01,1.426e-02,1.5e-04
1.25,9.322e-01,2.139e+01,1.6e-01,1.255e+01,3.6e-01,2.214e+02,1.8e-01,1.358e-02,1.2e-04
1.75,8.754e-01,1.403e+01,1.4e-01,1.277e+01,3.0e-01,1.298e+02,1.5e-01,1.016e-02,1.1e-04
2.25,8.222e-01,1.089e+01,1.2e-01,1.319e+01,2.6e-01,8.909e+01,1.3e-01,7.719e-03,9.6e-05
2.75,7.722e-01,8.066e+00,1.1e-01,1.334e+01,2.3e-01,6.328e+01,1.1e-01,7.063e-03,1.0e-04
3.25,7.252e-01,6.185e+00,1.0e-01,1.315e+01,2.1e-01,5.960e+01,1.4e-01,4.611e-03,7.6e-05
3.75,6.811e-01,5.276e+00,9.4e-02,1.227e+01,1.9e-01,3.334e+01,1.0e-01,2.946e-03,7.6e-05
4.25,6.396e-01,2.052e+00,8.8e-02,1.102e+01,1.8e-01,1.755e+01,9.0e-02,1.750e-03,7.3e-05
4.75,6.007e-01,1.336e+00,9.5e-02,9.543e+00,1.7e-01,1.126e+01,8.9e-02,9.908e-04,7.1e-05
5.25,5.642e-01,1.117e+00,1.2e-01,8.124e+00,1.6e-01,6.649e+00,9.6e-02,4.820e-04,6.5e-05
5.75,5.298e-01,0.000e+00,1.5e-01,6.826e+00,1.5e-01,3.376e+00,7.5e-02,0.000e+00,6.6e-05
6.25,4.976e-01,0.000e+00,2.4e-01,5.598e+00,1.4e-01,2.126e+00,7.2e-02,0.000e+00,6.5e-05
6.75,4.673e-01,0.000e+00,3.6e-01,4.477e+00,1.3e-01,1.254e+00,6.9e-02,0.000e+00,6.0e-05
7.25,4.389e-01,0.000e+00,6.2e-01,3.472e+00,1.2e-01,8.269e-01,6.7e-02,0.000e+00,5.5e-05
7.75,4.122e-01,0.000e+00,1.4e+00,2.648e+00,1.2e-01,4.921e-01,6.5e-02,0.000e+00,5.0e-05
8.25,3.871e-01,nan,nan,2.081e+00,1.1e-01,3.050e-01,6.4e-02,0.000e+00,4.7e-05
8.75,3.636e-01,nan,nan,1.659e+00,1.0e-01,2.355e-01,6.1e-02,0.000e+00,4.6e-05
9.25,3.414e-01,nan,nan,1.325e+00,9.5e-02,0.000e+00,5.9e-02,0.000e+00,4.3e-05
