r_gal,Zprime,Sigma_mol,e_Sigma_mol,Sigma_atom,e_Sigma_atom,Sigma_star,e_Sigma_star,Sigma_SFR_FUVW4recal,e_Sigma_SFR_FUVW4recal
0.25,1.202e+00,5.652e+01,3.3e-01,8.580e+00,1.2e-01,6.687e+02,4.4e-01,7.818e-03,6.6e-05
0.75,1.168e+00,2.821e+01,1.9e-01,8.651e+00,1.2e-01,4.064e+02,2.5e-01,7.132e-03,6.9e-05
1.25,1.135e+00,1.735e+01,1.4e-01,8.749e+00,1.2e-01,2.591e+02,1.9e-01,6.705e-03,7.8e-05
1.75,1.103e+00,1.215e+01,1.1e-01,8.785e+00,1.2e-01,1.718e+02,1.6e-01,5.476e-03,7.3e-05
2.25,1.072e+00,9.170e+00,9.6e-02,8.799e+00,1.2e-01,1.259e+02,1.4e-01,4.853e-03,8.1e-05
2.75,1.042e+00,1.010e+01,8.6e-02,8.768e+00,1.2e-01,1.095e+02,1.3e-01,4.643e-03,5.9e-05
3.25,1.012e+00,7.983e+00,7.9e-02,8.799e+00,1.2e-01,8.989e+01,1.2e-01,3.864e-03,6.3e-05
3.75,9.837e-01,6.352e+00,7.5e-02,8.827e+00,1.2e-01,7.989e+01,1.1e-01,3.303e-03,6.4e-05
4.25,9.559e-01,4.656e+00,6.9e-02,8.780e+00,1.1e-01,6.839e+01,1.1e-01,3.001e-03,5.5e-05
4.75,9.289e-01,3.726e+00,6.6e-02,8.855e+00,1.1e-01,5.701e+01,1.0e-01,2.562e-03,5.8e-05
5.25,9.027e-01,2.908e+00,6.1e-02,8.837e+00,1.1e-01,4.872e+01,9.5e-02,2.373e-03,5.5e-05
5.75,8.772e-01,2.243e+00,5.6e-02,8.707e+00,1.1e-01,4.235e+01,9.1e-02,2.168e-03,5.4e-05
6.25,8.525e-01,2.092e+00,5.1e-02,8.557e+00,1.0e-01,3.996e+01,8.7e-02,2.100e-03,5.5e-05
6.75,8.284e-01,1.600e+00,4.7e-02,8.242e+00,9.8e-02,3.384e+01,8.5e-02,1.889e-03,5.4e-05
7.25,8.050e-01,8.922e-01,4.3e-02,7.938e+00,9.4e-02,2.656e+01,8.1e-02,1.461e-03,5.0e-05
7.75,7.823e-01,8.906e-01,4.3e-02,7.506e+00,9.0e-02,2.160e+01,7.8e-02,1.173e-03,5.2e-05
8.25,7.602e-01,7.271e-01,4.6e-02,7.038e+00,8.6e-02,1.774e+01,7.6e-02,1.058e-03,4.8e-05
8.75,7.388e-01,6.434e-01,4.6e-02,6.543e+00,8.2e-02,1.419e+01,7.4e-02,8.062e-04,4.9e-05
9.25,7.179e-01,4.417e-01,4.8e-02,6.108e+00,8.0e-02,1.197e+01,7.3e-02,6.378e-04,4.7e-05
9.75,6.977e-01,2.436e-01,5.2e-02,5.675e+00,7.7e-02,9.953e+00,7.1e-02,6.204e-04,4.7e-05
10.25,6.780e-01,2.463e-01,5.7e-02,5.268e+00,7.5e-02,8.346e+00,6.9e-02,4.928e-04,4.4e-05
10.75,6.588e-01,2.394e-01,6.2e-02,4.912e+00,7.2e-02,6.793e+00,6.7e-02,4.323e-04,4.5e-05
11.25,6.402e-01,0.000e+00,7.2e-02,4.532e+00,7.0e-02,5.603e+00,6.5e-02,3.458e-04,4.3e-05
11.75,6.222e-01,0.000e+00,8.8e-02,4.296e+00,6.7e-02,3.187e+00,4.5e-02,0.000e+00,4.0e-05
12.25,6.046e-01,0.000e+00,1.1e-01,3.990e+00,6.4e-02,2.587e+00,4.4e-02,0.000e+00,3.9e-05
12.75,5.875e-01,0.000e+00,1.3e-01,3.627e+00,6.2e-02,2.181e+00,4.3e-02,0.000e+00,3.6e-05
13.25,5.709e-01,0.000e+00,1.7e-01,3.310e+00,5.9e-02,1.913e+00,4.2e-02,0.000e+00,3.8e-05
13.75,5.548e-01,0.000e+00,2.5e-01,2.899e+00,5.8e-02,1.558e+00,4.2e-02,0.000e+00,3.1e-05
14.25,5.392e-01,0.000e+00,4.1e-01,2.467e+00,5.5e-02,1.298e+00,4.2e-02,0.000e+00,3.3e-05
14.75,5.240e-01,0.000e+00,1.1e+00,2.146e+00,5.4e-02,1.078e+00,4.1e-02,0.000e+00,3.2e-05
15.25,5.092e-01,nan,nan,1.826e+00,5.2e-02,8.595e-01,4.0e-02,0.000e+00,3.1e-05
15.75,4.948e-01,nan,nan,1.568e+00,5.1e-02,8.197e-01,3.9e-02,0.000e+00,3.1e-05
16.25,4.808e-01,nan,nan,1.318e+00,4.9e-02,6.780e-01,3.9e-02,0.000e+00,2.9e-05
16.75,4.673e-01,nan,nan,1.163e+00,4.7e-02,5.575e-01,3.8e-02,0.000e+00,2.9e-05
17.25,4.541e-01,nan,nan,1.005e+00,4.5e-02,4.915e-01,3.7e-02,0.000e+00,2.8e-05
17.75,4.413e-01,nan,nan,8.710e-01,4.3e-02,4.360e-01,3.8e-02,0.000e+00,3.0e-05
18.25,4.288e-01,nan,nan,7.830e-01,4.2e-02,3.683e-01,3.8e-02,0.000e+00,2.7e-05
