r_gal,Zprime,Sigma_mol,e_Sigma_mol,Sigma_atom,e_Sigma_atom,Sigma_star,e_Sigma_star,Sigma_SFR_FUVW4recal,e_Sigma_SFR_FUVW4recal
0.25,1.301e+00,4.691e+02,1.3e+00,6.350e+00,3.1e-01,7.483e+03,8.5e-01,1.349e-01,2.9e-04
0.75,1.272e+00,1.560e+02,7.6e-01,6.543e+00,3.1e-01,9.568e+02,3.9e-01,5.254e-02,2.2e-04
1.25,1.244e+00,3.803e+01,5.4e-01,6.896e+00,3.1e-01,6.545e+02,3.6e-01,1.724e-02,1.7e-04
1.75,1.217e+00,2.023e+01,3.9e-01,7.428e+00,3.1e-01,5.290e+02,3.3e-01,1.347e-02,1.9e-04
2.25,1.191e+00,2.753e+01,3.2e-01,8.018e+00,2.9e-01,3.720e+02,2.6e-01,1.471e-02,1.7e-04
2.75,1.165e+00,3.671e+01,3.0e-01,8.700e+00,2.8e-01,2.986e+02,2.0e-01,1.860e-02,1.5e-04
3.25,1.139e+00,4.447e+01,2.9e-01,9.333e+00,2.7e-01,2.619e+02,1.6e-01,2.724e-02,1.6e-04
3.75,1.114e+00,5.447e+01,2.7e-01,9.954e+00,2.6e-01,2.541e+02,1.3e-01,3.909e-02,1.7e-04
4.25,1.090e+00,3.672e+01,2.5e-01,1.044e+01,2.5e-01,2.277e+02,1.2e-01,3.812e-02,1.6e-04
4.75,1.066e+00,3.260e+01,2.3e-01,1.077e+01,2.3e-01,1.630e+02,1.1e-01,2.898e-02,1.5e-04
5.25,1.043e+00,2.661e+01,2.2e-01,1.093e+01,2.1e-01,1.373e+02,1.1e-01,1.962e-02,1.4e-04
5.75,1.020e+00,2.763e+01,2.2e-01,1.092e+01,2.0e-01,1.117e+02,1.1e-01,1.588e-02,1.3e-04
6.25,9.978e-01,2.419e+01,2.3e-01,1.072e+01,1.9e-01,1.035e+02,1.1e-01,1.286e-02,1.3e-04
6.75,9.760e-01,1.998e+01,2.7e-01,1.042e+01,1.8e-01,8.007e+01,1.1e-01,9.979e-03,1.2e-04
7.25,9.547e-01,1.636e+01,3.5e-01,1.006e+01,1.6e-01,6.746e+01,1.1e-01,6.564e-03,1.2e-04
7.75,9.338e-01,7.205e+00,3.8e-01,9.612e+00,1.5e-01,5.193e+01,1.1e-01,4.355e-03,1.1e-04
8.25,9.134e-01,6.900e+00,4.4e-01,9.157e+00,1.4e-01,4.582e+01,1.2e-01,3.144e-03,1.0e-04
8.75,8.935e-01,4.856e+00,5.1e-01,8.704e+00,1.3e-01,4.011e+01,1.2e-01,2.695e-03,1.0e-04
9.25,8.739e-01,2.252e+00,7.2e-01,8.269e+00,1.1e-01,3.560e+01,1.2e-01,2.087e-03,9.9e-05
9.75,8.549e-01,0.000e+00,1.7e+00,7.924e+00,1.0e-01,2.864e+01,1.2e-01,1.691e-03,9.5e-05
10.25,8.362e-01,nan,nan,7.633e+00,9.3e-02,2.438e+01,1.2e-01,1.487e-03,9.6e-05
10.75,8.179e-01,nan,nan,7.382e+00,8.3e-02,2.032e+01,1.1e-01,1.461e-03,9.8e-05
11.25,8.000e-01,nan,nan,7.168e+00,7.6e-02,1.780e+01,1.1e-01,1.334e-03,9.7e-05
11.75,7.826e-01,nan,nan,6.982e+00,6.8e-02,1.582e+01,1.1e-01,1.073e-03,9.2e-05
12.25,7.655e-01,nan,nan,6.775e+00,6.3e-02,1.333e+01,1.0e-01,1.027e-03,9.4e-05
12.75,7.487e-01,nan,nan,6.566e+00,5.7e-02,1.201e+01,9.8e-02,1.059e-03,9.8e-05
13.25,7.324e-01,nan,nan,6.331e+00,5.2e-02,9.609e+00,1.0e-01,1.014e-03,9.5e-05
13.75,7.164e-01,nan,nan,6.072e+00,4.8e-02,7.302e+00,9.6e-02,9.248e-04,9.4e-05
14.25,7.007e-01,nan,nan,5.754e+00,4.5e-02,5.094e+00,9.2e-02,7.405e-04,9.2e-05
14.75,6.854e-01,nan,nan,5.420e+00,4.2e-02,4.446e+00,1.0e-01,0.000e+00,9.2e-05
15.25,6.705e-01,nan,nan,5.039e+00,3.9e-02,3.581e+00,1.0e-01,0.000e+00,8.8e-05
15.75,6.558e-01,nan,nan,4.636e+00,3.6e-02,2.849e+00,1.1e-01,0.000e+00,8.7e-05
16.25,6.415e-01,nan,nan,4.233e+00,3.3e-02,2.252e+00,1.1e-01,0.000e+00,8.4e-05
16.75,6.275e-01,nan,nan,3.810e+00,3.1e-02,2.033e+00,1.1e-01,0.000e+00,8.2e-05
17.25,6.138e-01,nan,nan,3.419e+00,2.9e-02,1.386e+00,1.1e-01,0.000e+00,7.8e-05
17.75,6.004e-01,nan,nan,3.032e+00,2.7e-02,9.904e-01,1.1e-01,0.000e+00,7.5e-05
18.25,5.872e-01,nan,nan,2.684e+00,2.5e-02,1.042e+00,1.2e-01,0.000e+00,6.9e-05
18.75,5.744e-01,nan,nan,2.355e+00,2.4e-02,1.489e+00,1.3e-01,0.000e+00,6.3e-05
19.25,5.619e-01,nan,nan,2.071e+00,2.3e-02,8.734e-01,1.5e-01,0.000e+00,5.9e-05
19.75,5.496e-01,nan,nan,1.819e+00,2.2e-02,2.364e+00,1.6e-01,0.000e+00,5.9e-05
20.25,5.376e-01,nan,nan,1.600e+00,2.0e-02,6.863e+00,1.8e-01,0.000e+00,5.9e-05
20.75,5.258e-01,nan,nan,1.411e+00,1.9e-02,1.447e+00,2.0e-01,0.000e+00,5.9e-05
21.25,5.144e-01,nan,nan,1.254e+00,1.8e-02,0.000e+00,2.2e-01,0.000e+00,6.4e-05
21.75,5.031e-01,nan,nan,1.109e+00,1.7e-02,0.000e+00,2.5e-01,0.000e+00,6.4e-05
22.25,4.921e-01,nan,nan,9.826e-01,1.6e-02,0.000e+00,2.9e-01,0.000e+00,6.3e-05
22.75,4.814e-01,nan,nan,8.630e-01,1.5e-02,0.000e+00,3.3e-01,0.000e+00,6.2e-05
