r_gal,Zprime,Sigma_mol,e_Sigma_mol,Sigma_atom,e_Sigma_atom,Sigma_star,e_Sigma_star,Sigma_SFR_FUVW4recal,e_Sigma_SFR_FUVW4recal
0.25,1.009e+00,8.305e+00,2.7e-01,2.218e+00,5.2e-02,1.481e+02,3.9e-01,1.648e-02,2.0e-04
0.75,9.862e-01,3.345e+00,1.4e-01,2.204e+00,5.5e-02,7.535e+01,2.4e-01,7.892e-03,1.8e-04
1.25,9.643e-01,2.157e+00,8.9e-02,2.172e+00,5.7e-02,5.716e+01,2.1e-01,4.242e-03,1.4e-04
1.75,9.428e-01,1.287e+00,6.5e-02,2.109e+00,5.5e-02,4.349e+01,1.9e-01,2.874e-03,1.1e-04
2.25,9.219e-01,6.647e-01,5.2e-02,2.051e+00,5.5e-02,3.404e+01,1.7e-01,2.593e-03,1.2e-04
2.75,9.014e-01,5.852e-01,5.0e-02,1.992e+00,5.4e-02,2.854e+01,1.5e-01,2.203e-03,1.0e-04
3.25,8.814e-01,9.675e-01,5.9e-02,1.948e+00,5.3e-02,2.332e+01,1.4e-01,1.736e-03,9.4e-05
3.75,8.618e-01,1.302e+00,6.7e-02,1.907e+00,5.1e-02,1.852e+01,1.2e-01,1.455e-03,9.4e-05
4.25,8.426e-01,1.006e+00,7.1e-02,1.902e+00,5.0e-02,1.572e+01,1.2e-01,1.225e-03,8.1e-05
4.75,8.239e-01,2.009e+00,7.9e-02,1.902e+00,4.8e-02,1.462e+01,1.1e-01,1.129e-03,7.7e-05
5.25,8.056e-01,1.459e+00,8.5e-02,1.872e+00,4.7e-02,1.401e+01,1.1e-01,9.052e-04,7.5e-05
5.75,7.877e-01,1.666e+00,9.4e-02,1.924e+00,4.6e-02,1.142e+01,1.1e-01,6.301e-04,7.0e-05
6.25,7.702e-01,1.339e+00,1.1e-01,1.917e+00,4.4e-02,9.724e+00,1.0e-01,5.548e-04,6.3e-05
6.75,7.531e-01,1.567e+00,1.2e-01,1.988e+00,4.3e-02,8.433e+00,9.1e-02,5.837e-04,6.5e-05
7.25,7.364e-01,2.106e+00,1.3e-01,2.031e+00,4.2e-02,7.598e+00,7.9e-02,6.556e-04,7.1e-05
7.75,7.200e-01,2.628e+00,1.3e-01,2.029e+00,4.0e-02,7.040e+00,7.0e-02,7.585e-04,6.0e-05
8.25,7.040e-01,6.561e-01,1.4e-01,2.084e+00,3.8e-02,5.971e+00,6.8e-02,7.365e-04,6.2e-05
8.75,6.884e-01,7.494e-01,1.4e-01,2.082e+00,3.5e-02,5.635e+00,7.1e-02,6.484e-04,6.1e-05
9.25,6.731e-01,0.000e+00,1.3e-01,2.059e+00,3.3e-02,5.175e+00,6.5e-02,0.000e+00,5.9e-05
9.75,6.581e-01,0.000e+00,1.5e-01,2.062e+00,3.2e-02,5.061e+00,6.2e-02,0.000e+00,5.4e-05
10.25,6.435e-01,0.000e+00,1.7e-01,1.986e+00,2.9e-02,4.626e+00,6.1e-02,0.000e+00,5.6e-05
10.75,6.292e-01,0.000e+00,1.9e-01,1.941e+00,2.8e-02,3.773e+00,5.9e-02,0.000e+00,5.6e-05
11.25,6.152e-01,0.000e+00,2.1e-01,1.830e+00,2.7e-02,3.135e+00,5.7e-02,0.000e+00,5.2e-05
11.75,6.015e-01,0.000e+00,2.4e-01,1.724e+00,2.5e-02,2.688e+00,5.7e-02,0.000e+00,5.1e-05
12.25,5.882e-01,0.000e+00,2.9e-01,1.582e+00,2.5e-02,2.299e+00,5.7e-02,0.000e+00,5.3e-05
12.75,5.751e-01,0.000e+00,3.5e-01,1.449e+00,2.3e-02,1.805e+00,5.6e-02,0.000e+00,4.9e-05
13.25,5.623e-01,0.000e+00,4.2e-01,1.312e+00,2.2e-02,1.465e+00,5.3e-02,0.000e+00,4.8e-05
13.75,5.498e-01,0.000e+00,5.5e-01,1.201e+00,2.2e-02,1.218e+00,5.2e-02,0.000e+00,5.0e-05
14.25,5.376e-01,0.000e+00,8.0e-01,1.109e+00,2.1e-02,1.050e+00,5.3e-02,0.000e+00,4.5e-05
14.75,5.257e-01,0.000e+00,1.8e+00,9.955e-01,2.0e-02,8.133e-01,5.1e-02,0.000e+00,4.7e-05
15.25,5.140e-01,nan,nan,9.372e-01,1.9e-02,7.245e-01,5.1e-02,0.000e+00,4.4e-05
15.75,5.026e-01,nan,nan,8.583e-01,1.9e-02,6.864e-01,4.9e-02,0.000e+00,4.4e-05
16.25,4.914e-01,nan,nan,7.711e-01,1.8e-02,4.541e-01,4.8e-02,0.000e+00,4.4e-05
16.75,4.805e-01,nan,nan,7.456e-01,1.7e-02,4.291e-01,4.7e-02,0.000e+00,4.0e-05
17.25,4.698e-01,nan,nan,6.572e-01,1.7e-02,4.734e-01,4.7e-02,0.000e+00,3.8e-05
17.75,4.594e-01,nan,nan,6.320e-01,1.6e-02,3.860e-01,4.6e-02,0.000e+00,3.4e-05
18.25,4.492e-01,nan,nan,5.788e-01,1.6e-02,3.716e-01,4.5e-02,0.000e+00,3.5e-05
