r_gal,Zprime,Sigma_mol,e_Sigma_mol,Sigma_atom,e_Sigma_atom,Sigma_star,e_Sigma_star,Sigma_SFR_FUVW4recal,e_Sigma_SFR_FUVW4recal
0.25,9.314e-01,1.192e+01,4.8e-01,1.136e+01,4.2e-01,3.320e+02,1.6e-01,1.170e-02,9.4e-05
0.75,8.731e-01,7.784e+00,2.9e-01,1.163e+01,2.1e-01,1.667e+02,8.7e-02,8.104e-03,5.8e-05
1.25,8.185e-01,6.789e+00,2.3e-01,1.307e+01,1.3e-01,9.666e+01,5.9e-02,7.874e-03,5.0e-05
1.75,7.672e-01,5.662e+00,1.9e-01,1.324e+01,1.1e-01,6.673e+01,4.7e-02,6.583e-03,4.4e-05
2.25,7.192e-01,4.025e+00,1.7e-01,1.285e+01,9.6e-02,4.901e+01,4.1e-02,4.989e-03,3.9e-05
2.75,6.742e-01,2.864e+00,1.5e-01,1.364e+01,8.3e-02,3.482e+01,3.6e-02,3.648e-03,3.5e-05
3.25,6.320e-01,1.829e+00,1.2e-01,1.241e+01,7.7e-02,2.281e+01,3.5e-02,2.234e-03,3.3e-05
3.75,5.925e-01,7.339e-01,1.1e-01,1.094e+01,6.9e-02,1.403e+01,3.1e-02,1.425e-03,3.0e-05
4.25,5.554e-01,0.000e+00,1.7e-01,9.192e+00,6.3e-02,8.538e+00,2.9e-02,1.035e-03,2.9e-05
4.75,5.206e-01,0.000e+00,2.6e-01,7.468e+00,6.2e-02,5.240e+00,2.8e-02,6.094e-04,2.7e-05
5.25,4.880e-01,0.000e+00,3.8e-01,6.662e+00,5.8e-02,3.077e+00,2.6e-02,3.921e-04,2.6e-05
5.75,4.575e-01,0.000e+00,5.7e-01,5.547e+00,5.1e-02,1.834e+00,2.6e-02,2.153e-04,2.4e-05
6.25,4.289e-01,0.000e+00,1.0e+00,4.162e+00,4.7e-02,1.128e+00,2.4e-02,1.296e-04,2.2e-05
6.75,4.020e-01,0.000e+00,4.2e+00,3.102e+00,4.3e-02,8.461e-01,2.5e-02,0.000e+00,2.0e-05
7.25,3.769e-01,nan,nan,2.112e+00,3.8e-02,6.148e-01,2.4e-02,0.000e+00,2.0e-05
7.75,3.533e-01,nan,nan,1.436e+00,3.4e-02,5.035e-01,2.3e-02,0.000e+00,1.9e-05
8.25,3.312e-01,nan,nan,1.080e+00,3.0e-02,3.404e-01,1.5e-02,7.326e-05,1.9e-05
