r_gal,Zprime,Sigma_mol,e_Sigma_mol,Sigma_atom,e_Sigma_atom,Sigma_star,e_Sigma_star,Sigma_SFR_FUVW4recal,e_Sigma_SFR_FUVW4recal
0.25,1.193e+00,9.480e+00,6.8e-01,3.572e+00,2.3e-01,3.924e+02,8.8e-01,5.871e-03,2.6e-04
0.75,1.155e+00,7.446e+00,3.6e-01,4.057e+00,2.3e-01,2.345e+02,4.9e-01,3.897e-03,1.8e-04
1.25,1.120e+00,4.869e+00,2.5e-01,4.973e+00,2.3e-01,1.766e+02,3.9e-01,3.465e-03,1.4e-04
1.75,1.085e+00,6.137e+00,2.2e-01,6.197e+00,2.1e-01,1.380e+02,2.8e-01,5.269e-03,1.3e-04
2.25,1.051e+00,5.048e+00,2.0e-01,7.515e+00,1.8e-01,9.753e+01,2.2e-01,6.659e-03,1.2e-04
2.75,1.018e+00,6.047e+00,1.9e-01,8.704e+00,1.7e-01,7.907e+01,1.8e-01,7.527e-03,1.2e-04
3.25,9.868e-01,4.507e+00,1.6e-01,9.553e+00,1.6e-01,5.918e+01,1.5e-01,7.066e-03,1.1e-04
3.75,9.561e-01,2.454e+00,1.3e-01,1.002e+01,1.4e-01,4.401e+01,1.4e-01,5.942e-03,1.1e-04
4.25,9.264e-01,1.467e+00,1.1e-01,1.029e+01,1.3e-01,3.471e+01,1.4e-01,4.461e-03,1.0e-04
4.75,8.976e-01,8.595e-01,1.2e-01,1.056e+01,1.3e-01,2.857e+01,1.4e-01,3.484e-03,9.7e-05
5.25,8.697e-01,0.000e+00,1.7e-01,1.081e+01,1.2e-01,2.469e+01,1.3e-01,3.093e-03,9.3e-05
5.75,8.427e-01,0.000e+00,2.2e-01,1.103e+01,1.1e-01,2.179e+01,1.3e-01,2.831e-03,8.9e-05
6.25,8.165e-01,0.000e+00,3.1e-01,1.132e+01,1.0e-01,1.858e+01,1.1e-01,2.689e-03,8.6e-05
6.75,7.912e-01,0.000e+00,4.3e-01,1.154e+01,1.0e-01,1.448e+01,1.1e-01,2.514e-03,8.3e-05
7.25,7.666e-01,0.000e+00,7.5e-01,1.159e+01,9.2e-02,1.173e+01,9.6e-02,2.496e-03,7.9e-05
7.75,7.428e-01,0.000e+00,2.5e+00,1.158e+01,8.8e-02,9.024e+00,8.4e-02,2.323e-03,7.7e-05
8.25,7.197e-01,nan,nan,1.154e+01,8.5e-02,7.404e+00,7.6e-02,2.421e-03,7.4e-05
8.75,6.973e-01,nan,nan,1.151e+01,8.1e-02,6.377e+00,8.0e-02,1.900e-03,7.1e-05
9.25,6.757e-01,nan,nan,1.141e+01,7.7e-02,5.048e+00,8.3e-02,1.314e-03,7.0e-05
9.75,6.547e-01,nan,nan,1.121e+01,7.5e-02,4.476e+00,7.5e-02,1.361e-03,6.8e-05
10.25,6.343e-01,nan,nan,1.074e+01,7.3e-02,4.027e+00,7.0e-02,1.335e-03,6.7e-05
10.75,6.146e-01,nan,nan,9.821e+00,7.0e-02,2.748e+00,6.6e-02,9.187e-04,6.5e-05
11.25,5.955e-01,nan,nan,8.745e+00,6.9e-02,2.144e+00,6.8e-02,6.004e-04,6.4e-05
11.75,5.770e-01,nan,nan,7.556e+00,6.7e-02,2.710e+00,1.0e-01,0.000e+00,6.2e-05
12.25,5.591e-01,nan,nan,6.387e+00,6.5e-02,2.223e+00,1.0e-01,0.000e+00,6.2e-05
12.75,5.417e-01,nan,nan,5.346e+00,6.3e-02,2.216e+00,1.0e-01,0.000e+00,5.6e-05
13.25,5.249e-01,nan,nan,4.470e+00,6.2e-02,1.796e+00,9.7e-02,0.000e+00,5.6e-05
13.75,5.086e-01,nan,nan,3.752e+00,6.0e-02,1.538e+00,9.9e-02,0.000e+00,5.3e-05
14.25,4.928e-01,nan,nan,3.169e+00,5.8e-02,1.423e+00,9.5e-02,0.000e+00,5.5e-05
14.75,4.775e-01,nan,nan,2.697e+00,5.6e-02,1.260e+00,9.3e-02,0.000e+00,5.1e-05
15.25,4.627e-01,nan,nan,2.215e+00,5.5e-02,1.275e+00,9.0e-02,0.000e+00,4.6e-05
15.75,4.483e-01,nan,nan,1.756e+00,5.2e-02,1.207e+00,9.0e-02,0.000e+00,4.4e-05
16.25,4.344e-01,nan,nan,1.396e+00,5.0e-02,1.265e+00,8.5e-02,0.000e+00,4.3e-05
16.75,4.209e-01,nan,nan,1.133e+00,4.7e-02,1.284e+00,8.3e-02,0.000e+00,4.3e-05
17.25,4.078e-01,nan,nan,9.279e-01,4.5e-02,1.145e+00,8.0e-02,0.000e+00,4.3e-05
