r_gal,Zprime,Sigma_mol,e_Sigma_mol,Sigma_atom,e_Sigma_atom,Sigma_star,e_Sigma_star,Sigma_SFR_FUVW4recal,e_Sigma_SFR_FUVW4recal
0.25,1.214e+00,1.339e+01,4.2e-01,nan,nan,3.866e+02,9.2e-01,nan,nan
0.75,1.187e+00,1.018e+01,2.5e-01,nan,nan,1.838e+02,4.9e-01,nan,nan
1.25,1.161e+00,4.246e+00,2.0e-01,nan,nan,1.145e+02,3.7e-01,nan,nan
1.75,1.135e+00,5.895e+00,1.6e-01,nan,nan,8.459e+01,2.8e-01,nan,nan
2.25,1.110e+00,4.565e+00,1.4e-01,nan,nan,6.433e+01,2.4e-01,nan,nan
2.75,1.086e+00,4.844e+00,1.2e-01,nan,nan,5.255e+01,2.1e-01,nan,nan
3.25,1.062e+00,3.171e+00,1.1e-01,nan,nan,5.076e+01,2.1e-01,nan,nan
3.75,1.038e+00,2.761e+00,9.6e-02,nan,nan,4.718e+01,2.0e-01,nan,nan
4.25,1.016e+00,2.489e+00,8.8e-02,nan,nan,4.283e+01,1.9e-01,nan,nan
4.75,9.931e-01,2.234e+00,8.0e-02,nan,nan,3.637e+01,1.8e-01,nan,nan
5.25,9.713e-01,1.232e+00,7.4e-02,nan,nan,2.895e+01,1.6e-01,nan,nan
5.75,9.499e-01,1.173e+00,8.8e-02,nan,nan,2.371e+01,1.5e-01,nan,nan
6.25,9.289e-01,1.899e+00,1.1e-01,nan,nan,2.075e+01,1.3e-01,nan,nan
6.75,9.085e-01,1.363e+00,1.3e-01,nan,nan,1.891e+01,1.3e-01,nan,nan
7.25,8.885e-01,1.266e+00,1.6e-01,nan,nan,1.607e+01,1.3e-01,nan,nan
7.75,8.689e-01,9.319e-01,2.2e-01,nan,nan,1.465e+01,1.4e-01,nan,nan
8.25,8.497e-01,0.000e+00,3.0e-01,nan,nan,1.170e+01,1.4e-01,nan,nan
8.75,8.310e-01,0.000e+00,4.8e-01,nan,nan,9.058e+00,1.2e-01,nan,nan
9.25,8.127e-01,0.000e+00,8.9e-01,nan,nan,7.420e+00,1.1e-01,nan,nan
9.75,7.948e-01,0.000e+00,nan,nan,nan,6.756e+00,1.3e-01,nan,nan
10.25,7.773e-01,nan,nan,nan,nan,5.678e+00,1.3e-01,nan,nan
10.75,7.602e-01,nan,nan,nan,nan,4.561e+00,1.3e-01,nan,nan
11.25,7.434e-01,nan,nan,nan,nan,3.416e+00,1.3e-01,nan,nan
11.75,7.270e-01,nan,nan,nan,nan,2.471e+00,1.2e-01,nan,nan
12.25,7.110e-01,nan,nan,nan,nan,1.741e+00,1.2e-01,nan,nan
12.75,6.954e-01,nan,nan,nan,nan,1.348e+00,1.2e-01,nan,nan
13.25,6.800e-01,nan,nan,nan,nan,9.623e-01,1.2e-01,nan,nan
