r_gal,Zprime,Sigma_mol,e_Sigma_mol,Sigma_atom,e_Sigma_atom,Sigma_star,e_Sigma_star,Sigma_SFR_FUVW4recal,e_Sigma_SFR_FUVW4recal
0.25,1.088e+00,5.234e+00,5.2e-01,nan,nan,2.675e+02,5.2e-01,3.013e-03,2.2e-04
0.75,1.062e+00,4.681e+00,2.9e-01,nan,nan,1.367e+02,3.0e-01,2.540e-03,1.4e-04
1.25,1.037e+00,2.774e+00,1.9e-01,nan,nan,8.154e+01,2.2e-01,2.076e-03,1.2e-04
1.75,1.012e+00,1.765e+00,1.6e-01,nan,nan,5.423e+01,1.6e-01,2.741e-03,1.1e-04
2.25,9.875e-01,7.962e-01,1.5e-01,nan,nan,4.339e+01,1.4e-01,2.136e-03,9.6e-05
2.75,9.638e-01,0.000e+00,1.8e-01,nan,nan,3.755e+01,1.3e-01,1.673e-03,8.7e-05
3.25,9.407e-01,0.000e+00,1.8e-01,nan,nan,2.883e+01,1.1e-01,1.676e-03,8.1e-05
3.75,9.180e-01,0.000e+00,2.2e-01,nan,nan,2.153e+01,9.8e-02,1.572e-03,8.0e-05
4.25,8.960e-01,1.208e+00,3.4e-01,nan,nan,1.760e+01,9.1e-02,1.256e-03,7.6e-05
4.75,8.745e-01,0.000e+00,4.9e-01,nan,nan,1.344e+01,8.3e-02,1.021e-03,7.1e-05
5.25,8.534e-01,0.000e+00,8.2e-01,nan,nan,1.252e+01,8.3e-02,7.422e-04,6.8e-05
5.75,8.329e-01,0.000e+00,2.4e+00,nan,nan,1.135e+01,7.6e-02,0.000e+00,6.4e-05
6.25,8.129e-01,nan,nan,nan,nan,9.409e+00,7.2e-02,6.441e-04,6.2e-05
6.75,7.934e-01,nan,nan,nan,nan,9.585e+00,7.0e-02,0.000e+00,6.3e-05
7.25,7.743e-01,nan,nan,nan,nan,6.295e+00,5.7e-02,7.092e-04,6.1e-05
7.75,7.557e-01,nan,nan,nan,nan,6.916e+00,5.4e-02,9.778e-04,5.9e-05
8.25,7.375e-01,nan,nan,nan,nan,4.731e+00,5.3e-02,6.912e-04,5.7e-05
8.75,7.198e-01,nan,nan,nan,nan,4.195e+00,4.9e-02,5.363e-04,5.6e-05
9.25,7.025e-01,nan,nan,nan,nan,4.480e+00,6.3e-02,0.000e+00,5.4e-05
9.75,6.856e-01,nan,nan,nan,nan,3.785e+00,6.0e-02,0.000e+00,5.3e-05
10.25,6.692e-01,nan,nan,nan,nan,2.981e+00,6.0e-02,0.000e+00,5.1e-05
10.75,6.531e-01,nan,nan,nan,nan,2.492e+00,6.2e-02,0.000e+00,5.0e-05
11.25,6.374e-01,nan,nan,nan,nan,2.031e+00,6.2e-02,0.000e+00,5.0e-05
11.75,6.221e-01,nan,nan,nan,nan,1.647e+00,6.1e-02,0.000e+00,4.9e-05
