r_gal,Zprime,Sigma_mol,e_Sigma_mol,Sigma_atom,e_Sigma_atom,Sigma_star,e_Sigma_star,Sigma_SFR_FUVW4recal,e_Sigma_SFR_FUVW4recal
0.25,1.248e+00,3.663e+01,7.7e-01,nan,nan,7.245e+02,6.2e-01,nan,nan
0.75,1.220e+00,3.117e+01,4.3e-01,nan,nan,2.664e+02,2.9e-01,nan,nan
1.25,1.193e+00,2.509e+01,3.1e-01,nan,nan,1.565e+02,2.0e-01,nan,nan
1.75,1.166e+00,2.011e+01,2.4e-01,nan,nan,1.072e+02,1.6e-01,nan,nan
2.25,1.139e+00,1.553e+01,2.0e-01,nan,nan,8.746e+01,1.4e-01,nan,nan
2.75,1.113e+00,7.996e+00,1.7e-01,nan,nan,7.461e+01,1.4e-01,nan,nan
3.25,1.088e+00,8.253e+00,1.5e-01,nan,nan,7.397e+01,1.4e-01,nan,nan
3.75,1.063e+00,7.240e+00,1.3e-01,nan,nan,6.960e+01,1.3e-01,nan,nan
4.25,1.039e+00,6.343e+00,1.2e-01,nan,nan,6.287e+01,1.3e-01,nan,nan
4.75,1.016e+00,5.744e+00,1.1e-01,nan,nan,5.909e+01,1.4e-01,nan,nan
5.25,9.928e-01,2.927e+00,1.1e-01,nan,nan,4.781e+01,1.4e-01,nan,nan
5.75,9.704e-01,1.126e+00,1.3e-01,nan,nan,4.163e+01,1.6e-01,nan,nan
6.25,9.484e-01,6.618e-01,1.8e-01,nan,nan,2.481e+01,1.1e-01,nan,nan
6.75,9.269e-01,0.000e+00,2.4e-01,nan,nan,2.006e+01,1.1e-01,nan,nan
7.25,9.059e-01,0.000e+00,3.7e-01,nan,nan,1.636e+01,1.1e-01,nan,nan
7.75,8.854e-01,0.000e+00,7.5e-01,nan,nan,1.363e+01,1.0e-01,nan,nan
8.25,8.653e-01,0.000e+00,3.2e+00,nan,nan,1.174e+01,1.0e-01,nan,nan
8.75,8.457e-01,nan,nan,nan,nan,1.017e+01,1.0e-01,nan,nan
9.25,8.266e-01,nan,nan,nan,nan,9.053e+00,9.7e-02,nan,nan
9.75,8.079e-01,nan,nan,nan,nan,8.000e+00,9.3e-02,nan,nan
10.25,7.896e-01,nan,nan,nan,nan,7.017e+00,9.1e-02,nan,nan
10.75,7.717e-01,nan,nan,nan,nan,6.045e+00,8.8e-02,nan,nan
11.25,7.542e-01,nan,nan,nan,nan,5.253e+00,8.7e-02,nan,nan
11.75,7.371e-01,nan,nan,nan,nan,4.561e+00,8.5e-02,nan,nan
12.25,7.204e-01,nan,nan,nan,nan,4.123e+00,8.3e-02,nan,nan
