r_gal,Zprime,Sigma_mol,e_Sigma_mol,Sigma_atom,e_Sigma_atom,Sigma_star,e_Sigma_star,Sigma_SFR_FUVW4recal,e_Sigma_SFR_FUVW4recal
0.25,9.566e-01,5.964e+00,4.0e-01,4.300e+00,2.1e-01,2.963e+02,2.2e-01,1.639e-02,1.6e-04
0.75,9.063e-01,6.330e+00,2.7e-01,5.523e+00,1.2e-01,1.647e+02,1.4e-01,5.775e-03,7.8e-05
1.25,8.586e-01,6.360e+00,2.5e-01,6.963e+00,9.5e-02,9.480e+01,1.0e-01,4.813e-03,6.6e-05
1.75,8.135e-01,6.294e+00,2.0e-01,8.204e+00,8.3e-02,6.483e+01,7.6e-02,4.961e-03,5.9e-05
2.25,7.707e-01,4.121e+00,1.7e-01,8.079e+00,7.4e-02,3.972e+01,5.8e-02,4.835e-03,5.7e-05
2.75,7.302e-01,3.489e+00,1.9e-01,8.673e+00,6.9e-02,2.938e+01,4.7e-02,4.969e-03,5.1e-05
3.25,6.918e-01,5.823e+00,2.4e-01,9.957e+00,6.4e-02,2.258e+01,4.3e-02,3.716e-03,4.8e-05
3.75,6.554e-01,5.610e+00,3.4e-01,1.042e+01,6.0e-02,1.548e+01,3.7e-02,2.989e-03,4.4e-05
4.25,6.210e-01,8.684e+00,4.5e-01,9.991e+00,5.6e-02,1.286e+01,4.1e-02,1.744e-03,4.2e-05
4.75,5.883e-01,5.165e+00,4.9e-01,9.196e+00,5.1e-02,1.068e+01,4.3e-02,1.088e-03,3.9e-05
5.25,5.574e-01,7.517e+00,9.7e-01,7.834e+00,5.0e-02,6.793e+00,4.2e-02,6.591e-04,3.7e-05
5.75,5.281e-01,0.000e+00,2.7e+00,5.812e+00,4.8e-02,4.125e+00,4.4e-02,0.000e+00,3.3e-05
6.25,5.003e-01,nan,nan,3.760e+00,4.7e-02,2.775e+00,4.3e-02,0.000e+00,3.0e-05
6.75,4.740e-01,nan,nan,2.345e+00,4.6e-02,1.950e+00,4.2e-02,0.000e+00,2.8e-05
7.25,4.491e-01,nan,nan,1.636e+00,4.4e-02,1.340e+00,4.0e-02,0.000e+00,2.7e-05
7.75,4.255e-01,nan,nan,1.189e+00,4.0e-02,8.504e-01,3.8e-02,0.000e+00,2.6e-05
8.25,4.031e-01,nan,nan,8.248e-01,3.7e-02,6.030e-01,3.7e-02,0.000e+00,2.4e-05
