r_gal,Zprime,Sigma_mol,e_Sigma_mol,Sigma_atom,e_Sigma_atom,Sigma_star,e_Sigma_star,Sigma_SFR_FUVW4recal,e_Sigma_SFR_FUVW4recal
0.25,1.278e+00,3.064e+01,8.1e-01,3.403e+00,2.5e-01,4.153e+03,1.2e+00,7.024e-03,2.1e-04
0.75,1.237e+00,1.489e+01,4.3e-01,3.596e+00,2.5e-01,1.084e+03,6.7e-01,4.732e-03,1.7e-04
1.25,1.198e+00,1.675e+01,3.1e-01,3.940e+00,2.6e-01,6.156e+02,5.3e-01,3.575e-03,1.6e-04
1.75,1.160e+00,7.231e+00,2.4e-01,4.223e+00,2.6e-01,4.033e+02,4.4e-01,3.400e-03,1.5e-04
2.25,1.124e+00,5.613e+00,2.0e-01,4.463e+00,2.6e-01,2.900e+02,3.9e-01,4.126e-03,1.4e-04
2.75,1.088e+00,6.015e+00,1.7e-01,4.501e+00,2.5e-01,2.203e+02,3.4e-01,4.755e-03,1.5e-04
3.25,1.054e+00,4.844e+00,1.5e-01,4.434e+00,2.5e-01,1.686e+02,2.9e-01,4.953e-03,1.4e-04
3.75,1.020e+00,5.124e+00,1.7e-01,4.244e+00,2.5e-01,1.338e+02,2.5e-01,4.933e-03,1.4e-04
4.25,9.882e-01,5.340e+00,1.9e-01,3.861e+00,2.4e-01,1.097e+02,2.4e-01,3.603e-03,1.2e-04
4.75,9.570e-01,4.994e+00,2.1e-01,3.383e+00,2.4e-01,8.711e+01,2.5e-01,1.975e-03,1.0e-04
5.25,9.268e-01,1.529e+00,2.2e-01,2.847e+00,2.2e-01,6.284e+01,2.6e-01,8.612e-04,8.5e-05
5.75,8.975e-01,8.662e-01,2.4e-01,2.439e+00,2.0e-01,2.927e+01,1.7e-01,0.000e+00,7.3e-05
6.25,8.691e-01,1.015e+00,3.2e-01,1.975e+00,1.9e-01,1.998e+01,1.7e-01,0.000e+00,7.5e-05
6.75,8.416e-01,0.000e+00,5.5e-01,1.570e+00,1.8e-01,1.365e+01,1.6e-01,0.000e+00,7.1e-05
7.25,8.150e-01,0.000e+00,1.8e+00,1.308e+00,1.7e-01,1.101e+01,1.5e-01,0.000e+00,5.2e-05
7.75,7.893e-01,nan,nan,1.119e+00,1.6e-01,9.332e+00,1.5e-01,0.000e+00,6.1e-05
8.25,7.643e-01,nan,nan,9.952e-01,1.5e-01,8.443e+00,1.4e-01,0.000e+00,7.2e-05
8.75,7.402e-01,nan,nan,9.188e-01,1.4e-01,7.665e+00,1.4e-01,0.000e+00,7.2e-05
9.25,7.168e-01,nan,nan,8.642e-01,1.3e-01,6.794e+00,1.4e-01,0.000e+00,6.6e-05
9.75,6.941e-01,nan,nan,8.246e-01,1.3e-01,5.957e+00,1.3e-01,0.000e+00,6.1e-05
10.25,6.722e-01,nan,nan,7.799e-01,1.2e-01,4.793e+00,1.3e-01,0.000e+00,5.2e-05
10.75,6.510e-01,nan,nan,7.688e-01,1.2e-01,3.783e+00,1.3e-01,0.000e+00,4.8e-05
11.25,6.304e-01,nan,nan,7.596e-01,1.1e-01,2.998e+00,1.3e-01,0.000e+00,6.2e-05
11.75,6.105e-01,nan,nan,7.665e-01,1.1e-01,2.221e+00,1.2e-01,0.000e+00,5.8e-05
