r_gal,Zprime,Sigma_mol,e_Sigma_mol,Sigma_atom,e_Sigma_atom,Sigma_star,e_Sigma_star,Sigma_SFR_FUVW4recal,e_Sigma_SFR_FUVW4recal
0.25,1.307e+00,2.182e+02,4.6e-01,nan,nan,2.920e+03,6.5e-01,2.060e-02,4.4e-05
0.75,1.270e+00,8.482e+01,2.8e-01,nan,nan,1.065e+03,3.7e-01,1.779e-02,4.8e-05
1.25,1.233e+00,5.787e+01,2.1e-01,nan,nan,6.847e+02,2.8e-01,1.562e-02,5.4e-05
1.75,1.198e+00,4.466e+01,1.8e-01,nan,nan,5.317e+02,2.3e-01,1.622e-02,5.3e-05
2.25,1.163e+00,4.079e+01,1.6e-01,nan,nan,4.795e+02,2.0e-01,1.586e-02,4.6e-05
2.75,1.130e+00,4.266e+01,1.5e-01,nan,nan,4.368e+02,1.8e-01,1.700e-02,4.4e-05
3.25,1.098e+00,4.124e+01,1.4e-01,nan,nan,3.783e+02,1.5e-01,1.939e-02,4.7e-05
3.75,1.066e+00,4.263e+01,1.3e-01,nan,nan,3.247e+02,1.3e-01,2.084e-02,4.0e-05
4.25,1.035e+00,4.487e+01,1.3e-01,nan,nan,3.571e+02,1.4e-01,1.626e-02,4.2e-05
4.75,1.006e+00,3.628e+01,1.2e-01,nan,nan,2.696e+02,1.2e-01,1.599e-02,4.2e-05
5.25,9.767e-01,2.329e+01,1.2e-01,nan,nan,1.932e+02,1.2e-01,1.241e-02,3.6e-05
5.75,9.487e-01,1.854e+01,1.1e-01,nan,nan,1.557e+02,1.2e-01,7.400e-03,3.5e-05
6.25,9.214e-01,1.392e+01,1.1e-01,nan,nan,1.292e+02,1.2e-01,4.648e-03,3.4e-05
6.75,8.950e-01,1.161e+01,1.0e-01,nan,nan,9.051e+01,1.1e-01,3.458e-03,3.0e-05
7.25,8.692e-01,8.721e+00,9.9e-02,nan,nan,7.916e+01,1.2e-01,2.311e-03,2.8e-05
7.75,8.443e-01,6.283e+00,9.5e-02,nan,nan,6.552e+01,1.2e-01,1.611e-03,2.8e-05
8.25,8.200e-01,5.894e+00,9.7e-02,nan,nan,5.511e+01,1.1e-01,1.326e-03,2.7e-05
8.75,7.965e-01,3.167e+00,9.4e-02,nan,nan,4.280e+01,1.1e-01,8.844e-04,2.5e-05
9.25,7.736e-01,1.694e+00,8.8e-02,nan,nan,3.310e+01,1.1e-01,6.323e-04,2.4e-05
9.75,7.514e-01,1.074e+00,8.4e-02,nan,nan,2.749e+01,1.0e-01,4.838e-04,2.2e-05
10.25,7.298e-01,7.425e-01,8.0e-02,nan,nan,2.322e+01,1.0e-01,4.079e-04,2.1e-05
10.75,7.088e-01,2.774e-01,7.9e-02,nan,nan,1.919e+01,9.9e-02,3.480e-04,2.0e-05
11.25,6.885e-01,0.000e+00,8.1e-02,nan,nan,1.559e+01,9.7e-02,2.914e-04,2.1e-05
11.75,6.687e-01,0.000e+00,9.0e-02,nan,nan,1.249e+01,9.5e-02,2.522e-04,2.0e-05
12.25,6.495e-01,0.000e+00,1.1e-01,nan,nan,9.878e+00,9.3e-02,2.022e-04,1.9e-05
12.75,6.308e-01,0.000e+00,1.3e-01,nan,nan,7.725e+00,9.2e-02,1.639e-04,1.9e-05
13.25,6.127e-01,0.000e+00,1.7e-01,nan,nan,6.260e+00,9.1e-02,1.642e-04,1.9e-05
13.75,5.951e-01,0.000e+00,2.1e-01,nan,nan,4.499e+00,8.2e-02,1.699e-04,1.9e-05
14.25,5.780e-01,0.000e+00,2.8e-01,nan,nan,3.498e+00,7.8e-02,1.507e-04,1.9e-05
14.75,5.614e-01,0.000e+00,3.9e-01,nan,nan,2.969e+00,7.7e-02,1.329e-04,1.9e-05
15.25,5.453e-01,0.000e+00,5.8e-01,nan,nan,2.367e+00,7.3e-02,1.292e-04,1.8e-05
15.75,5.296e-01,0.000e+00,1.1e+00,nan,nan,1.928e+00,7.0e-02,1.201e-04,1.8e-05
16.25,5.144e-01,0.000e+00,nan,nan,nan,1.701e+00,6.7e-02,1.208e-04,1.8e-05
16.75,4.996e-01,nan,nan,nan,nan,1.347e+00,6.5e-02,1.205e-04,1.7e-05
17.25,4.853e-01,nan,nan,nan,nan,1.111e+00,6.8e-02,9.585e-05,1.7e-05
17.75,4.713e-01,nan,nan,nan,nan,1.022e+00,7.0e-02,7.774e-05,1.9e-05
18.25,4.578e-01,nan,nan,nan,nan,6.910e-01,5.9e-02,9.183e-05,1.7e-05
18.75,4.446e-01,nan,nan,nan,nan,5.254e-01,5.9e-02,9.525e-05,1.6e-05
19.25,4.319e-01,nan,nan,nan,nan,4.753e-01,5.3e-02,1.002e-04,1.7e-05
19.75,4.195e-01,nan,nan,nan,nan,4.146e-01,5.3e-02,8.989e-05,1.8e-05
