r_gal,Zprime,Sigma_mol,e_Sigma_mol,Sigma_atom,e_Sigma_atom,Sigma_star,e_Sigma_star,Sigma_SFR_FUVW4recal,e_Sigma_SFR_FUVW4recal
0.25,1.277e+00,1.309e+02,1.2e+00,0.000e+00,7.3e-01,2.826e+03,1.4e+00,2.202e-02,2.6e-04
0.75,1.240e+00,2.728e+01,6.5e-01,0.000e+00,7.4e-01,7.183e+02,7.6e-01,1.157e-02,2.3e-04
1.25,1.203e+00,6.259e+00,4.6e-01,0.000e+00,7.5e-01,3.984e+02,6.1e-01,5.248e-03,2.1e-04
1.75,1.168e+00,4.849e+00,3.1e-01,0.000e+00,6.9e-01,2.784e+02,5.4e-01,2.659e-03,2.0e-04
2.25,1.134e+00,4.443e+00,2.4e-01,2.146e+00,5.9e-01,2.259e+02,5.0e-01,2.284e-03,1.9e-04
2.75,1.101e+00,8.509e+00,2.2e-01,3.173e+00,5.4e-01,2.030e+02,4.2e-01,3.370e-03,1.8e-04
3.25,1.069e+00,1.131e+01,2.0e-01,4.434e+00,4.8e-01,1.745e+02,3.6e-01,4.440e-03,1.9e-04
3.75,1.038e+00,1.137e+01,1.9e-01,5.453e+00,4.5e-01,1.394e+02,2.9e-01,5.270e-03,2.2e-04
4.25,1.007e+00,1.010e+01,1.8e-01,6.242e+00,4.2e-01,1.019e+02,2.5e-01,4.906e-03,1.9e-04
4.75,9.779e-01,7.910e+00,1.7e-01,6.913e+00,3.9e-01,7.719e+01,2.4e-01,3.971e-03,1.8e-04
5.25,9.493e-01,8.360e+00,1.6e-01,7.092e+00,3.7e-01,6.537e+01,2.3e-01,3.222e-03,1.8e-04
5.75,9.216e-01,6.076e+00,1.5e-01,6.867e+00,3.4e-01,5.532e+01,2.2e-01,2.912e-03,1.7e-04
6.25,8.947e-01,4.004e+00,1.5e-01,6.792e+00,3.3e-01,4.820e+01,2.1e-01,2.544e-03,1.7e-04
6.75,8.685e-01,3.391e+00,1.6e-01,6.779e+00,3.0e-01,4.399e+01,2.0e-01,2.282e-03,1.6e-04
7.25,8.432e-01,4.046e+00,2.0e-01,6.726e+00,2.9e-01,3.886e+01,2.0e-01,2.058e-03,1.6e-04
7.75,8.186e-01,3.998e+00,2.4e-01,6.460e+00,2.7e-01,3.509e+01,1.9e-01,1.714e-03,1.5e-04
8.25,7.946e-01,3.299e+00,2.8e-01,6.130e+00,2.7e-01,2.782e+01,1.9e-01,1.302e-03,1.5e-04
8.75,7.714e-01,1.762e+00,3.4e-01,5.336e+00,2.5e-01,2.236e+01,1.9e-01,9.605e-04,1.4e-04
9.25,7.489e-01,0.000e+00,4.8e-01,4.912e+00,2.5e-01,1.559e+01,1.6e-01,0.000e+00,1.3e-04
9.75,7.270e-01,0.000e+00,7.3e-01,4.295e+00,2.4e-01,1.265e+01,1.6e-01,0.000e+00,1.3e-04
10.25,7.058e-01,0.000e+00,1.1e+00,4.177e+00,2.3e-01,1.008e+01,1.5e-01,0.000e+00,1.3e-04
10.75,6.852e-01,0.000e+00,2.2e+00,3.643e+00,2.1e-01,7.444e+00,1.5e-01,0.000e+00,1.1e-04
11.25,6.652e-01,nan,nan,3.223e+00,2.0e-01,5.710e+00,1.5e-01,0.000e+00,1.0e-04
11.75,6.457e-01,nan,nan,2.715e+00,1.9e-01,4.287e+00,1.4e-01,0.000e+00,1.0e-04
12.25,6.269e-01,nan,nan,2.567e+00,1.9e-01,3.583e+00,1.4e-01,0.000e+00,1.0e-04
12.75,6.086e-01,nan,nan,2.415e+00,1.8e-01,2.572e+00,1.4e-01,0.000e+00,1.1e-04
13.25,5.908e-01,nan,nan,2.295e+00,1.8e-01,1.990e+00,1.4e-01,0.000e+00,1.0e-04
13.75,5.735e-01,nan,nan,2.060e+00,1.7e-01,1.359e+00,1.4e-01,0.000e+00,9.0e-05
14.25,5.568e-01,nan,nan,1.769e+00,1.6e-01,9.363e-01,1.3e-01,0.000e+00,9.4e-05
14.75,5.405e-01,nan,nan,1.433e+00,1.5e-01,4.421e-01,1.3e-01,0.000e+00,1.0e-04
