r_gal,Zprime,Sigma_mol,e_Sigma_mol,Sigma_atom,e_Sigma_atom,Sigma_star,e_Sigma_star,Sigma_SFR_FUVW4recal,e_Sigma_SFR_FUVW4recal
0.25,1.158e+00,1.324e+01,5.6e-01,8.719e+00,3.0e-01,2.614e+02,1.2e+00,nan,nan
0.75,1.118e+00,1.328e+01,3.1e-01,9.096e+00,3.1e-01,1.796e+02,5.8e-01,nan,nan
1.25,1.079e+00,8.273e+00,2.2e-01,9.629e+00,3.1e-01,1.271e+02,4.2e-01,nan,nan
1.75,1.041e+00,5.219e+00,1.8e-01,1.022e+01,2.9e-01,1.374e+02,4.1e-01,nan,nan
2.25,1.004e+00,6.068e+00,1.4e-01,1.095e+01,2.4e-01,9.095e+01,3.5e-01,nan,nan
2.75,9.693e-01,4.493e+00,1.2e-01,1.170e+01,2.2e-01,5.108e+01,2.8e-01,nan,nan
3.25,9.353e-01,3.353e+00,1.1e-01,1.225e+01,2.0e-01,3.024e+01,2.4e-01,nan,nan
3.75,9.026e-01,2.849e+00,8.9e-02,1.262e+01,1.9e-01,2.086e+01,2.2e-01,nan,nan
4.25,8.710e-01,1.698e+00,8.8e-02,1.292e+01,1.7e-01,1.724e+01,1.9e-01,nan,nan
4.75,8.405e-01,1.098e+00,1.1e-01,1.292e+01,1.6e-01,1.425e+01,1.9e-01,nan,nan
5.25,8.111e-01,1.080e+00,1.6e-01,1.257e+01,1.5e-01,1.151e+01,2.2e-01,nan,nan
5.75,7.827e-01,6.748e-01,2.2e-01,1.210e+01,1.4e-01,9.963e+00,2.4e-01,nan,nan
6.25,7.552e-01,0.000e+00,2.9e-01,1.150e+01,1.3e-01,9.557e+00,2.7e-01,nan,nan
6.75,7.288e-01,0.000e+00,3.7e-01,1.091e+01,1.2e-01,7.637e+00,2.6e-01,nan,nan
7.25,7.033e-01,0.000e+00,4.9e-01,1.044e+01,1.2e-01,6.752e+00,2.4e-01,nan,nan
7.75,6.787e-01,0.000e+00,7.2e-01,1.015e+01,1.2e-01,5.138e+00,2.0e-01,nan,nan
8.25,6.549e-01,0.000e+00,1.4e+00,1.006e+01,1.1e-01,4.478e+00,2.2e-01,nan,nan
