x, y
0.487422548414386, 3.217272628228157
0.976527882570821, 2.9728703533446605
1.4900701922857078, 2.726270498597086
2.3188055879461325, 2.4980361327135894
2.9897981114388275, 2.3262324783398025
3.445540389144203, 2.2205393515436853
3.992226261517708, 2.123453412548539
4.511694903628507, 2.0396314377330045
5.028749114022452, 2.0294283883640727
5.467078217527494, 2.027649395140771
5.886091867297711, 1.9612772509126155
6.489480302718522, 1.8582264522864014
7.0520428927452725, 1.8128882867572749
7.476031735144157, 1.783168635262129
7.865194229142373, 1.7048667717718375
8.264233943800443, 1.6270358182524194
8.49565356563093, 1.5747648114854291
8.814065893865605, 1.4814984755873701
9.076726798820221, 1.4025687321359133
9.508324759357066, 1.2803414330291165
10.012428835996982, 1.202955227815524
10.406786016416307, 1.1440129964611545
10.885648306925486, 1.0553511136116396
11.358511100441273, 0.9690699422815419
11.9200493861033, 0.8584060991262015
12.540850995724444, 0.7256094873397929
12.990081624254064, 0.6299886015873652
13.526158629992912, 0.5198741533980442
14.04548094290875, 0.4391130933931895
14.499759928664517, 0.3688428610728005
14.974744495507236, 0.1669271302281392
15.482653131216132, -0.043805081737881224
16.028241534627433, -0.17605229855827043
16.513322815922447, -0.2882858416165235
14.725253218099091, 0.2750271302087226
1.8923291492329148, 2.612179477320386
1.2236778928595926, 2.8544103340048537
2.634583990671514, 2.4153129478300936
