x, y
0.49306639813009856, 0.8580741150724791
1.4917406528025425, 0.7461405681155925
2.500254062693434, 0.6555035196807905
3.5037093153241377, 0.621998690298083
4.506471669700021, 0.6051470396469926
5.507155329311444, 0.5081958147973202
6.512134958102752, 0.3658914485349899
7.510739922949714, 0.24072490173787423
8.513848726453007, 0.09783896659522692
9.510860025313884, 0.042377604167535284
10.513737952953363, 0.023604311539215633
11.522043493367809, 0.012097555835800581
12.4908538332575, 0.005571060623354178
13.504425400408579, 0.003969438389465281
14.506217697227715, 0.0011354440044284407
